Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 00:46:49,3.136,3886,1,1,0,0.00 | 0.16 | 0.33,0.29 | 0.50 | 0.71,2.82 | 4.02 | 6.97
2024-04-10 00:46:50,2.196,3886,1,1,0,0.00 | 0.16 | 0.33,0.29 | 0.50 | 0.71,2.82 | 4.02 | 6.97
2024-04-10 00:46:50,2.196,3886,1,0.4,0,0.00 | 0.16 | 0.33,0.29 | 0.50 | 0.71,2.82 | 4.02 | 6.97
2024-04-10 00:46:51,7.124,3886,1,0.4,0,0.00 | 0.15 | 0.32,0.17 | 0.33 | 0.56,3.59 | 6.11 | 11.49
2024-04-10 00:46:51,7.124,3886,1,0.4,0,0.00 | 0.15 | 0.32,0.17 | 0.33 | 0.56,3.59 | 6.11 | 11.49
2024-04-10 00:46:52,8.264,3886,1,0.4,0,0.00 | 0.15 | 0.32,0.17 | 0.33 | 0.56,3.59 | 6.13 | 11.49
2024-04-10 00:46:52,8.264,3886,1,1,0,0.00 | 0.15 | 0.32,0.17 | 0.33 | 0.56,3.59 | 6.13 | 11.49
2024-04-10 00:46:53,11.145,3886,1,1,0,0.00 | 0.16 | 0.35,0.13 | 0.39 | 0.86,2.32 | 5.12 | 15.63
2024-04-10 00:46:53,11.145,3886,1,1,0,0.00 | 0.16 | 0.35,0.13 | 0.39 | 0.86,2.32 | 5.12 | 15.63
2024-04-10 00:46:54,18.145,3886,1,1,0,0.00 | 0.00 | 0.00,0.28 | 0.30 | 0.35,5.76 | 6.56 | 7.02
2024-04-10 00:46:54,18.145,3886,1,1,0,0.00 | 0.00 | 0.00,0.28 | 0.30 | 0.35,5.76 | 6.56 | 7.02
2024-04-10 00:46:55,19.15,3886,1,1,0,0.00 | 0.08 | 0.33,0.28 | 0.31 | 0.35,5.76 | 6.45 | 7.02
2024-04-10 00:46:55,19.15,3886,1,1,0,0.00 | 0.08 | 0.33,0.28 | 0.31 | 0.35,5.76 | 6.45 | 7.02
2024-04-10 00:46:56,24.206,3886,1,1,0,0.28 | 0.31 | 0.33,0.03 | 0.16 | 0.32,6.23 | 12.80 | 60.61
2024-04-10 00:46:56,24.206,3886,1,1,0,0.28 | 0.31 | 0.33,0.03 | 0.16 | 0.32,6.23 | 12.80 | 60.61
2024-04-10 00:46:57,27.117,3886,1,1,0,0.28 | 0.31 | 0.37,0.02 | 0.06 | 0.10,19.05 | 33.61 | 95.24
2024-04-10 00:46:57,27.117,3886,1,1,0,0.28 | 0.31 | 0.37,0.02 | 0.06 | 0.10,19.05 | 33.61 | 95.24
2024-04-10 00:46:58,30.222,3886,1,1,0,0.28 | 0.30 | 0.37,0.02 | 0.09 | 0.15,12.99 | 22.28 | 95.24
2024-04-10 00:46:58,30.222,3886,1,1,0,0.28 | 0.30 | 0.37,0.02 | 0.09 | 0.15,12.99 | 22.28 | 95.24
2024-04-10 00:46:59,31.158,3886,1,1,0,0.28 | 0.29 | 0.32,0.02 | 0.11 | 0.17,11.83 | 18.91 | 95.24
2024-04-10 00:46:59,31.158,3886,1,1,0,0.28 | 0.29 | 0.32,0.02 | 0.11 | 0.17,11.83 | 18.91 | 95.24
2024-04-10 00:47:00,30.226,3886,1,1,0,0.28 | 0.29 | 0.32,0.02 | 0.11 | 0.17,11.83 | 18.91 | 95.24
2024-04-10 00:47:00,30.226,3886,1,1,0,0.28 | 0.29 | 0.32,0.02 | 0.11 | 0.17,11.83 | 18.91 | 95.24
2024-04-10 00:47:01,29.296,3886,1,1,0,0.28 | 0.29 | 0.32,0.02 | 0.11 | 0.17,11.83 | 18.91 | 95.24
2024-04-10 00:47:01,29.296,3886,1,1,0,0.28 | 0.29 | 0.32,0.02 | 0.11 | 0.17,11.83 | 18.91 | 95.24
2024-04-10 00:47:02,30.246,3886,1,1,0,0.28 | 0.29 | 0.32,0.08 | 0.25 | 0.60,3.32 | 7.97 | 25.32
2024-04-10 00:47:02,30.246,3886,1,1,0,0.28 | 0.29 | 0.32,0.08 | 0.25 | 0.60,3.32 | 7.97 | 25.32
2024-04-10 00:47:03,29.18,3886,1,1,0,0.28 | 0.29 | 0.32,0.08 | 0.25 | 0.60,3.32 | 7.97 | 25.32
2024-04-10 00:47:03,29.18,3886,1,1,0,0.28 | 0.29 | 0.32,0.08 | 0.25 | 0.60,3.32 | 7.97 | 25.32
2024-04-10 00:47:04,30.12,3886,1,1,0,0.28 | 0.29 | 0.32,0.15 | 0.37 | 0.60,3.32 | 5.47 | 12.99
2024-04-10 00:47:04,30.12,3886,1,1,0,0.28 | 0.29 | 0.32,0.15 | 0.37 | 0.60,3.32 | 5.47 | 12.99
2024-04-10 00:47:05,29.319,3886,1,1,0,0.28 | 0.29 | 0.32,0.15 | 0.37 | 0.60,3.32 | 5.47 | 12.99
2024-04-10 00:47:05,29.319,3886,1,1,0,0.28 | 0.29 | 0.32,0.15 | 0.37 | 0.60,3.32 | 5.47 | 12.99
2024-04-10 00:47:06,30.255,3886,1,1,0,0.28 | 0.30 | 0.32,0.17 | 0.42 | 0.60,3.32 | 4.71 | 11.83
2024-04-10 00:47:06,30.255,3886,1,1,0,0.28 | 0.30 | 0.32,0.17 | 0.42 | 0.60,3.32 | 4.71 | 11.83
2024-04-10 00:47:07,29.206,3886,1,1,0,0.28 | 0.30 | 0.32,0.17 | 0.42 | 0.60,3.32 | 4.71 | 11.83
2024-04-10 00:47:07,29.206,3886,1,1,0,0.28 | 0.30 | 0.32,0.17 | 0.42 | 0.60,3.32 | 4.71 | 11.83
2024-04-10 00:47:08,30.14,3886,1,1,0,0.28 | 0.29 | 0.29,0.33 | 0.47 | 0.60,3.32 | 4.30 | 6.04
2024-04-10 00:47:08,30.14,3886,1,1,0,0.28 | 0.29 | 0.29,0.33 | 0.47 | 0.60,3.32 | 4.30 | 6.04
2024-04-10 00:47:09,29.326,3886,1,1,0,0.28 | 0.29 | 0.29,0.33 | 0.47 | 0.60,3.32 | 4.30 | 6.04
2024-04-10 00:47:09,29.326,3886,1,1,0,0.28 | 0.29 | 0.29,0.33 | 0.47 | 0.60,3.32 | 4.30 | 6.04
2024-04-10 00:47:10,30.274,3886,1,1,0,0.29 | 0.29 | 0.29,0.15 | 0.35 | 0.54,3.72 | 5.67 | 13.07
2024-04-10 00:47:10,30.274,3886,1,1,0,0.29 | 0.29 | 0.29,0.15 | 0.35 | 0.54,3.72 | 5.67 | 13.07
2024-04-10 00:47:11,29.209,3886,1,1,0,0.29 | 0.29 | 0.29,0.15 | 0.35 | 0.54,3.72 | 5.67 | 13.07
2024-04-10 00:47:11,29.209,3886,1,1,0,0.29 | 0.29 | 0.29,0.15 | 0.35 | 0.54,3.72 | 5.67 | 13.07
2024-04-10 00:47:12,30.144,3886,1,1,0,0.28 | 0.29 | 0.29,0.15 | 0.36 | 0.55,3.64 | 5.63 | 13.07
2024-04-10 00:47:12,30.144,3886,1,1,0,0.28 | 0.29 | 0.29,0.15 | 0.36 | 0.55,3.64 | 5.63 | 13.07
2024-04-10 00:47:13,29.353,3886,1,1,0,0.28 | 0.29 | 0.29,0.15 | 0.36 | 0.55,3.64 | 5.63 | 13.07
2024-04-10 00:47:13,29.353,3886,1,1,0,0.28 | 0.29 | 0.29,0.15 | 0.36 | 0.55,3.64 | 5.63 | 13.07
2024-04-10 00:47:14,30.282,3886,1,1,0,0.28 | 0.29 | 0.31,0.15 | 0.40 | 0.55,3.64 | 5.06 | 13.07
2024-04-10 00:47:14,30.282,3886,1,1,0,0.28 | 0.29 | 0.31,0.15 | 0.40 | 0.55,3.64 | 5.06 | 13.07
2024-04-10 00:47:15,29.229,3886,1,1,0,0.28 | 0.29 | 0.31,0.15 | 0.41 | 0.55,3.64 | 4.91 | 13.07
2024-04-10 00:47:15,29.229,3886,1,1,0,0.28 | 0.29 | 0.31,0.15 | 0.41 | 0.55,3.64 | 4.91 | 13.07
2024-04-10 00:47:16,30.133,3886,1,1,0,0.28 | 0.29 | 0.31,0.15 | 0.41 | 0.55,3.64 | 4.91 | 13.07
2024-04-10 00:47:16,30.133,3886,1,1,0,0.28 | 0.29 | 0.31,0.15 | 0.41 | 0.55,3.64 | 4.91 | 13.07
2024-04-10 00:47:17,29.368,3886,1,1,0,0.28 | 0.29 | 0.31,0.15 | 0.41 | 0.55,3.64 | 4.91 | 13.07
2024-04-10 00:47:17,29.368,3886,1,1,0,0.28 | 0.29 | 0.31,0.15 | 0.41 | 0.55,3.64 | 4.91 | 13.07
2024-04-10 00:47:18,30.302,3886,1,1,0,0.28 | 0.29 | 0.31,0.38 | 0.50 | 0.55,3.64 | 3.99 | 5.29
2024-04-10 00:47:18,30.302,3886,1,1,0,0.28 | 0.29 | 0.31,0.38 | 0.50 | 0.55,3.64 | 3.99 | 5.29
2024-04-10 00:47:19,29.237,3886,1,1,0,0.28 | 0.29 | 0.31,0.38 | 0.50 | 0.55,3.64 | 3.99 | 5.29
2024-04-10 00:47:19,29.237,3886,1,1,0,0.28 | 0.29 | 0.31,0.38 | 0.50 | 0.55,3.64 | 3.99 | 5.29
2024-04-10 00:47:20,30.171,3886,1,1,0,0.28 | 0.29 | 0.31,0.36 | 0.45 | 0.55,3.64 | 4.40 | 5.49
2024-04-10 00:47:20,30.171,3886,1,1,0,0.28 | 0.29 | 0.31,0.36 | 0.45 | 0.55,3.64 | 4.40 | 5.49
2024-04-10 00:47:21,29.372,3886,1,1,0,0.28 | 0.29 | 0.31,0.36 | 0.45 | 0.55,3.64 | 4.40 | 5.49
2024-04-10 00:47:21,29.372,3886,1,1,0,0.28 | 0.29 | 0.31,0.36 | 0.45 | 0.55,3.64 | 4.40 | 5.49
2024-04-10 00:47:22,30.217,3886,1,1,0,0.27 | 0.29 | 0.29,0.36 | 0.41 | 0.53,3.78 | 4.83 | 5.49
2024-04-10 00:47:22,30.217,3886,1,1,0,0.27 | 0.29 | 0.29,0.36 | 0.41 | 0.53,3.78 | 4.83 | 5.49
2024-04-10 00:47:23,29.242,3886,1,1,0,0.27 | 0.29 | 0.29,0.36 | 0.41 | 0.53,3.78 | 4.83 | 5.49
2024-04-10 00:47:23,29.242,3886,1,1,0,0.27 | 0.29 | 0.29,0.36 | 0.41 | 0.53,3.78 | 4.83 | 5.49
2024-04-10 00:47:24,30.181,3886,1,1,0,0.27 | 0.28 | 0.29,0.36 | 0.41 | 0.53,3.78 | 4.83 | 5.49
2024-04-10 00:47:24,30.181,3886,1,1,0,0.27 | 0.28 | 0.29,0.36 | 0.41 | 0.53,3.78 | 4.83 | 5.49
2024-04-10 00:47:25,29.379,3886,1,1,0,0.27 | 0.28 | 0.29,0.36 | 0.41 | 0.53,3.78 | 4.83 | 5.49
2024-04-10 00:47:25,29.379,3886,1,1,0,0.27 | 0.28 | 0.29,0.36 | 0.41 | 0.53,3.78 | 4.83 | 5.49
2024-04-10 00:47:26,30.23,3886,1,1,0,0.27 | 0.28 | 0.29,0.34 | 0.37 | 0.38,5.21 | 5.45 | 5.88
2024-04-10 00:47:26,30.23,3886,1,1,0,0.27 | 0.28 | 0.29,0.34 | 0.37 | 0.38,5.21 | 5.45 | 5.88
2024-04-10 00:47:27,29.263,3886,1,1,0,0.27 | 0.28 | 0.29,0.34 | 0.37 | 0.38,5.21 | 5.45 | 5.88
2024-04-10 00:47:27,29.263,3886,1,1,0,0.27 | 0.28 | 0.29,0.34 | 0.37 | 0.38,5.21 | 5.45 | 5.88
2024-04-10 00:47:28,30.197,3886,1,1,0,0.27 | 0.28 | 0.29,0.34 | 0.41 | 0.55,3.63 | 4.83 | 5.88
