id,time,direction,rx_bytes,rx_frames,rx_rate,rx_rate_frames,tx_bytes,tx_frames,tx_rate,tx_rate_frames,loss_frames,drop_frames,queue_bytes,queue_frames,modify_frames,reordered_frames,duplicated_frames,corruption_frames,background_rx_bytes,background_rx_frames,background_tx_bytes,background_tx_frames,background_tx_rate,background_drop_frames
1,1712647894500,left,558,5,4464,5,474,4,3792,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1712647895500,left,726,7,1344,2,726,7,2016,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1712647896500,left,1224,12,3984,5,1224,12,3984,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1712647897500,left,1476,15,2016,3,1392,14,1344,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1712647898500,left,4703,39,25816,24,4703,39,26488,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1712647899500,left,5117,43,3312,4,5117,43,3312,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1712647900500,left,6007,52,7120,9,6007,52,7120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1712647901500,left,6799,61,6336,9,6799,61,6336,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1712647902500,left,7195,65,3168,4,7195,65,3168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1712647903500,left,8322,72,9016,7,8238,71,8344,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1712647904500,left,8906,77,4672,5,8906,77,5344,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1712648432500,left,501,5,4008,5,417,4,3336,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1712648433500,left,1198,12,5576,7,1198,12,6248,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1712648434500,left,4170,24,23776,12,4060,23,22896,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1712648435500,left,4700,30,4240,6,4616,29,4448,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1712648436500,left,5731,39,8248,9,5647,38,8248,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1712648437500,left,6948,48,9736,9,6948,48,10408,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1712648438500,left,49872,134,343392,86,46742,129,318352,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1712648439500,left,155174,223,842416,89,155090,222,866784,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1712648440500,left,614354,570,3673440,347,502544,483,2779632,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1712648441500,left,1490537,1190,7009464,620,1339729,1091,6697480,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1712648442500,left,3173439,2336,13463216,1146,3172077,2329,14658784,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1712648443500,left,4157977,3051,7876304,715,4143883,3039,7774448,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1712648444500,left,6597267,4662,19514320,1611,6595989,4656,19616848,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1712648445500,left,7864088,5562,10134568,900,7682496,5389,8692056,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1712648446500,left,9439726,6611,12605104,1049,8792018,6189,8876176,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1712648447500,left,10793051,7602,10826600,991,10723493,7517,15451800,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1712648448500,left,12019275,8569,9809792,967,11984292,8544,10086392,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1712648449500,left,12019689,8573,3312,4,12019689,8573,283176,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1712648450500,left,12312419,8779,2341840,206,12312419,8779,2341840,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1712648451500,left,13074015,9339,6092768,560,13074015,9339,6092768,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1712648452500,left,14952180,10604,15025320,1265,14952180,10604,15025320,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1712648453500,left,14989399,10638,297752,34,14989399,10638,297752,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1712648454500,left,15820333,11219,6647472,581,15683451,11130,5552416,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1712648455500,left,15909345,11327,712096,108,15909151,11325,1805600,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1712648456500,left,16748773,11974,6715424,647,16748773,11974,6716976,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1712648457500,left,16749115,11978,2736,4,16749115,11978,2736,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1712648458500,left,17615677,12593,6932496,615,17124229,12252,3000912,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1712648459500,left,18268747,13130,5224560,537,18268747,13130,9156144,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1712648460500,left,18846886,13552,4625112,422,18846886,13552,4625112,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1712648461500,left,18883503,13583,292936,31,18883419,13582,292264,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1712648462500,left,18933523,13622,400160,39,18885663,13590,17952,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1712648463500,left,19184525,13821,2008016,199,19148091,13794,2099424,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1712648464500,left,19467075,14047,2260400,226,19466991,14046,2551200,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1712648465500,left,19502585,14074,284080,27,19502585,14074,284752,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1712648466500,left,19908106,14386,3244168,312,19907828,14385,3241944,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1712648467500,left,19946569,14421,307704,35,19946569,14421,309928,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1712648468500,left,20090439,14531,1150960,110,20008081,14469,492096,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1712648469500,left,20344330,14742,2031128,211,20344246,14741,2689320,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1712648470500,left,20620284,14956,2207632,214,20493217,14867,1191768,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1712648471500,left,21069137,15304,3590824,348,20933242,15185,3520200,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1712648472500,left,21473356,15616,3233752,312,21473356,15616,4320912,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1712648473500,left,21474315,15622,7672,6,21474315,15622,7672,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1712648474500,left,21699964,15792,1805192,170,21699880,15791,1804520,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1712648475500,left,21741627,15847,333304,55,21741485,15846,332840,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1712648476500,left,21963592,16039,1775720,192,21963592,16039,1776856,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1712648477500,left,22000487,16070,295160,31,22000403,16069,294488,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1712648478500,left,22242275,16276,1934304,206,22241848,16274,1931560,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1712648479500,left,22289226,16322,375608,46,22289142,16321,378352,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1712648480500,left,22485459,16484,1569864,162,22485273,16482,1569048,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1712648481500,left,22535016,16574,396456,90,22534906,16573,397064,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1712648482500,left,22623949,16656,711464,82,22623949,16656,712344,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1712648483500,left,23220330,17122,4771048,466,23220137,17120,4769504,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1712648484500,left,23907785,17641,5499640,519,23872299,17616,5217296,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1712648485500,left,23908858,17651,8584,10,23908858,17651,292472,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1712648486500,left,24654792,18215,5967472,564,24648010,18210,5913216,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1712648487500,left,24690330,18244,284304,29,24690246,18243,337888,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1712648488500,left,25033304,18497,2743792,253,25033220,18496,2743792,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1712648489500,left,25449441,18851,3329096,354,25449441,18851,3329768,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1712648490500,left,26545118,19713,8765416,862,26544641,19708,8761600,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1712648491500,left,26581480,19744,290896,31,26581144,19740,292024,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1712648492500,left,27474105,20351,7141000,607,27474105,20351,7143688,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1712648493500,left,27640014,20510,1327272,159,27639716,20508,1324888,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1712648494500,left,28776560,21344,9092368,834,28741325,21321,8812872,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1712648495500,left,28776812,21347,2016,3,28776812,21347,283896,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1712648496500,left,29806372,22052,8236480,705,29725452,21991,7589120,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1712648497500,left,30034940,22237,1828544,185,30034940,22237,2475904,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1712648498500,left,31022370,22995,7899440,758,31022370,22995,7899440,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1712648499500,left,31022784,22999,3312,4,31022784,22999,3312,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1712648500500,left,32169186,23837,9171216,838,32028377,23690,8044744,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1712648501500,left,32219476,23905,402320,68,32219303,23904,1527408,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1712648502500,left,33382094,24742,9300944,837,33190923,24570,7772960,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1712648503500,left,33427648,24807,364432,65,33427564,24806,1893128,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1712648504500,left,34479713,25587,8416520,780,34479713,25587,8417192,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1712648505500,left,34515224,25616,284088,29,34515224,25616,284088,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1712648506500,left,35687976,26435,9382016,819,35064136,26008,4391296,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1712648507500,left,35868893,26637,1447336,202,35868569,26635,6435464,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1712648508500,left,38176461,28216,18460544,1579,38117769,28176,17993600,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1712648509500,left,39283637,29022,8857408,806,39283553,29021,9326272,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1712648510500,left,41588635,30528,18439984,1506,41588635,30528,18440656,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1712648511500,left,41627392,30561,310056,33,41627114,30560,307832,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1712648512500,left,41738600,30652,889664,91,41738600,30652,891888,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1712648513500,left,41968368,30826,1838144,174,41968284,30825,1837472,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
