id,time,direction,rx_bytes,rx_frames,rx_rate,rx_rate_frames,tx_bytes,tx_frames,tx_rate,tx_rate_frames,loss_frames,drop_frames,queue_bytes,queue_frames,modify_frames,reordered_frames,duplicated_frames,corruption_frames,background_rx_bytes,background_rx_frames,background_tx_bytes,background_tx_frames,background_tx_rate,background_drop_frames
1,2024-04-09 15:31:35,left,558,5,4464,5,474,4,3792,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2024-04-09 15:31:35,right,84,1,672,1,84,1,672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-04-09 15:31:36,left,726,7,1344,2,726,7,2016,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-04-09 15:31:36,right,194,2,880,1,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-04-09 15:31:37,left,1224,12,3984,5,1224,12,3984,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-04-09 15:31:37,right,634,6,3520,4,634,6,4400,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-04-09 15:31:38,left,1476,15,2016,3,1392,14,1344,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-04-09 15:31:38,right,718,7,672,1,718,7,672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-04-09 15:31:39,left,4703,39,25816,24,4703,39,26488,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-04-09 15:31:39,right,5829,33,40888,26,5829,33,40888,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-04-09 15:31:40,left,5117,43,3312,4,5117,43,3312,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-04-09 15:31:40,right,5913,34,672,1,5913,34,672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-04-09 15:31:41,left,6007,52,7120,9,6007,52,7120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-04-09 15:31:41,right,6467,40,4432,6,6358,39,3560,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-04-09 15:31:42,left,6799,61,6336,9,6799,61,6336,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-04-09 15:31:42,right,6776,43,2472,3,6776,43,3344,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-04-09 15:31:43,left,7195,65,3168,4,7195,65,3168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-04-09 15:31:43,right,6776,43,0,0,6776,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-04-09 15:31:44,left,8322,72,9016,7,8238,71,8344,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-04-09 15:31:44,right,6860,44,672,1,6860,44,672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-04-09 15:31:45,left,8906,77,4672,5,8906,77,5344,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-04-09 15:31:45,right,7420,49,4480,5,7420,49,4480,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2024-04-09 15:40:33,left,501,5,4008,5,417,4,3336,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2024-04-09 15:40:33,right,109,1,872,1,109,1,872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2024-04-09 15:40:34,left,1198,12,5576,7,1198,12,6248,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2024-04-09 15:40:34,right,891,8,6256,7,891,8,6256,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2024-04-09 15:40:35,left,4170,24,23776,12,4060,23,22896,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2024-04-09 15:40:35,right,1445,14,4432,6,1445,14,4432,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2024-04-09 15:40:36,left,4700,30,4240,6,4616,29,4448,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2024-04-09 15:40:36,right,1529,15,672,1,1445,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2024-04-09 15:40:37,left,5731,39,8248,9,5647,38,8248,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2024-04-09 15:40:37,right,1826,18,2376,3,1826,18,3048,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2024-04-09 15:40:38,left,6948,48,9736,9,6948,48,10408,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2024-04-09 15:40:38,right,2213,22,3096,4,2123,21,2376,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2024-04-09 15:40:39,left,49872,134,343392,86,46742,129,318352,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2024-04-09 15:40:39,right,15955,94,109936,72,15955,94,110656,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2024-04-09 15:40:40,left,155174,223,842416,89,155090,222,866784,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2024-04-09 15:40:40,right,21106,134,41208,40,20503,132,36384,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2024-04-09 15:40:41,left,614354,570,3673440,347,502544,483,2779632,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2024-04-09 15:40:41,right,33163,257,96456,123,33163,257,101280,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2024-04-09 15:40:42,left,1490537,1190,7009464,620,1339729,1091,6697480,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2024-04-09 15:40:42,right,55078,496,175320,239,55078,496,175320,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2024-04-09 15:40:43,left,3173439,2336,13463216,1146,3172077,2329,14658784,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2024-04-09 15:40:43,right,104059,1048,391848,552,98064,987,343888,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2024-04-09 15:40:44,left,4157977,3051,7876304,715,4143883,3039,7774448,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2024-04-09 15:40:44,right,135387,1390,250624,342,135387,1390,298584,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2024-04-09 15:40:45,left,6597267,4662,19514320,1611,6595989,4656,19616848,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2024-04-09 15:40:45,right,193888,2042,468008,652,182529,1917,377136,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2024-04-09 15:40:46,left,7864088,5562,10134568,900,7682496,5389,8692056,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2024-04-09 15:40:46,right,225812,2396,255392,354,210104,2209,220600,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2024-04-09 15:40:47,left,9439726,6611,12605104,1049,8792018,6189,8876176,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2024-04-09 15:40:47,right,255454,2723,237136,327,254520,2717,355328,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2024-04-09 15:40:48,left,10793051,7602,10826600,991,10723493,7517,15451800,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2024-04-09 15:40:48,right,304968,3297,396112,574,303792,3283,394176,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2024-04-09 15:40:49,left,12019275,8569,9809792,967,11984292,8544,10086392,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2024-04-09 15:40:49,right,345338,3751,322960,454,344834,3745,328336,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2024-04-09 15:40:50,left,12019689,8573,3312,4,12019689,8573,283176,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
