Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-09 15:43:19,0,0,NaN,NaN,0,,,
2024-04-09 15:43:19,0,0,NaN,NaN,0,,,
2024-04-09 15:43:20,0,0,NaN,NaN,0,,,
2024-04-09 15:43:20,0,0,NaN,NaN,0,,,
2024-04-09 15:43:21,0,3886,1,NaN,0,,,
2024-04-09 15:43:21,0,3886,1,NaN,0,,,
2024-04-09 15:43:22,0,3886,1,0,0,,,
2024-04-09 15:43:22,0,3886,1,1,0,,,
2024-04-09 15:43:23,3.304,3886,1,1,0,0.21 | 0.22 | 0.23,0.00 | 0.41 | 0.82,2.43 | 4.87 | Infinity
2024-04-09 15:43:23,3.304,3886,1,1,0,0.21 | 0.22 | 0.23,0.00 | 0.41 | 0.82,2.43 | 4.87 | Infinity
2024-04-09 15:43:24,6.226,3886,1,1,0,0.21 | 0.23 | 0.26,0.00 | 0.36 | 0.82,2.43 | 5.53 | Infinity
2024-04-09 15:43:24,6.226,3886,1,0.2,0,0.21 | 0.23 | 0.26,0.00 | 0.36 | 0.82,2.43 | 5.53 | Infinity
2024-04-09 15:43:25,11.178,1093,0.6,0.2,0,0.21 | 0.21 | 0.21,0.07 | 0.12 | 0.21,9.57 | 16.91 | 30.77
2024-04-09 15:43:25,11.178,3886,1,0.2,0,0.21 | 0.21 | 0.21,0.07 | 0.12 | 0.21,9.57 | 16.91 | 30.77
2024-04-09 15:43:26,14.38,1093,0.6,0.2,0,0.21 | 0.23 | 0.25,0.01 | 0.06 | 0.09,22.47 | 33.90 | 153.85
2024-04-09 15:43:26,14.38,1093,0.6,1,0,0.21 | 0.23 | 0.25,0.01 | 0.06 | 0.09,22.47 | 33.90 | 153.85
2024-04-09 15:43:27,19.21,3886,1,1,0,0.21 | 0.24 | 0.29,0.01 | 0.09 | 0.21,9.71 | 22.79 | 285.71
2024-04-09 15:43:27,19.21,1093,0.6,1,0,0.21 | 0.24 | 0.29,0.01 | 0.09 | 0.21,9.71 | 22.79 | 285.71
2024-04-09 15:43:28,20.257,1093,0.6,1,0,0.21 | 0.23 | 0.29,0.01 | 0.09 | 0.21,9.71 | 21.28 | 285.71
2024-04-09 15:43:28,20.257,1093,0.6,1,0,0.21 | 0.23 | 0.29,0.01 | 0.09 | 0.21,9.71 | 21.28 | 285.71
