id,time,buffer,bitrate,throughput
494,1712649081500,0.0,0,2177.432
495,1712649083500,0.0,3886,4610.68
497,1712649085000,0.0,142,21575.128
497,1712649085500,0.0,3886,21575.128
498,1712649086000,3.314,3886,16752.104
499,1712649087000,10.229,3886,31063.352
500,1712649088000,17.175,3886,22454.96
501,1712649089000,22.384,3886,360.072
502,1712649090000,27.28,3886,4032.632
503,1712649091000,30.267,3886,3285.992
503,1712649091500,30.267,1093,3285.992
504,1712649092000,29.205,1093,1856.648
505,1712649093000,30.408,1093,4403.768
506,1712649094000,29.346,1093,296.352
507,1712649095000,30.283,1093,1779.632
508,1712649096000,31.221,1093,6039.752
509,1712649097000,30.159,1904,5046.824
510,1712649098000,29.362,1904,2138.224
511,1712649099000,30.3,1904,2572.392
512,1712649100000,29.237,1904,4136.216
513,1712649101000,30.175,1904,2.896
514,1712649102000,29.378,1904,5906.576
515,1712649103000,30.315,1904,16.768
516,1712649104000,29.252,1904,4606.368
517,1712649105000,30.19,1904,2116.336
517,1712649105500,30.19,3886,2116.336
518,1712649106000,29.19,3886,2867.664
519,1712649107000,30.331,3886,6864.448
520,1712649108000,29.269,3886,336.752
521,1712649109000,30.206,3886,5293.792
522,1712649110000,31.237,3886,5062.712
523,1712649111000,30.347,3886,9694.112
524,1712649112000,29.284,3886,370.256
525,1712649113000,30.221,3886,7188.688
526,1712649114000,31.158,3886,3650.168
527,1712649115000,30.362,3886,8852.32
528,1712649116000,29.3,3886,380.624
529,1712649117000,30.237,3886,7281.344
530,1712649118000,31.174,3886,368.136
531,1712649119000,30.377,3886,2463.928
532,1712649120000,31.162,3886,5000.8
533,1712649121000,30.251,3886,7811.648
534,1712649122000,29.19,3886,367.384
535,1712649123000,30.392,3886,2791.944
536,1712649124000,31.157,3886,3151.184
537,1712649125000,30.268,3886,696.64
538,1712649126000,29.206,3886,4406.768
539,1712649127000,30.33,3886,4534.776
540,1712649128000,29.346,3886,1228.488
541,1712649129000,30.284,3886,2132.12
542,1712649130000,29.221,3886,4091.472
543,1712649131000,30.158,3886,4547.08
544,1712649132000,29.361,3886,1413.128
545,1712649133000,30.299,3886,2212.24
546,1712649134000,29.158,3886,6687.32
547,1712649135000,30.174,3886,5295.144
548,1712649136000,29.377,3886,3133.064
549,1712649137000,30.267,3886,2612.952
550,1712649138000,29.252,3886,6520.904
551,1712649139000,30.189,3886,7081.496
552,1712649140000,29.393,3886,3032.176
553,1712649141000,30.315,3886,1581.664
554,1712649142000,29.267,3886,6282.496
555,1712649143000,30.205,3886,6388.816
556,1712649144000,29.158,3886,3070.096
557,1712649145000,30.346,3886,2879.016
558,1712649146000,29.283,3886,6758.848
559,1712649147000,30.221,3886,7274.264
560,1712649148000,29.159,3886,1363.576
561,1712649149000,30.361,3886,3064.904
562,1712649150000,29.3,3886,7388.52
563,1712649151000,30.236,3886,8421.336
564,1712649152000,29.174,3886,19131.536
565,1712649153000,30.376,3886,18437.336
566,1712649154000,29.158,3886,312.616
567,1712649155000,30.253,3886,8752.912
568,1712649156000,31.173,3886,3109.208
569,1712649157000,30.376,3886,1492.304
570,1712649158000,29.314,3886,10484.304
571,1712649159000,30.253,3886,9123.168
572,1712649160000,29.189,3886,551.896
573,1712649161000,30.158,3886,4618.336
574,1712649162000,29.33,3886,9987.888
575,1712649163000,30.268,3886,5040.744
576,1712649164000,29.156,3886,15751.136
577,1712649165000,30.204,3886,671.816
578,1712649166000,29.346,3886,2950.632
579,1712649167000,30.283,3886,8554.248
580,1712649168000,29.221,1093,9582.048
581,1712649169000,28.158,1093,312.64
582,1712649170000,27.361,1093,6669.408
583,1712649171000,30.299,1093,19979.888
584,1712649172000,29.236,1093,284.536
585,1712649173000,28.174,1093,129.92
586,1712649174000,31.156,1093,6890.808
587,1712649175000,30.315,1093,2638.36
588,1712649176000,29.253,1093,5402.4
589,1712649177000,28.189,1093,14.464
590,1712649178000,29.392,1093,6188.584
591,1712649179000,30.33,1093,19500.864
591,1712649179500,30.33,3886,19500.864
592,1712649180000,29.185,3886,18229.216
593,1712649181000,28.205,3886,20399.536
594,1712649182000,27.408,3886,21946.88
595,1712649183000,28.221,3886,21601.776
596,1712649184000,29.158,3886,17809.552
597,1712649185000,28.221,3886,18728.024
598,1712649186000,27.159,3886,4.696
