id,time,buffer,bitrate,throughput
1,0,0.0,934.5,2673.1
2,1,5.05518725,2835.8,8693.3
3,2,7.7710627,3562.1,9072.2
4,3,10.918648066666666,3724.0,9304.7
5,4,14.125695533333337,3886.0,11748.0
6,5,17.3216476,3886.0,9591.9
7,6,20.520071700000003,3886.0,12989.7
8,7,23.07253965,3886.0,14500.2
9,8,24.7384689,3886.0,16383.7
10,9,26.2354036,3886.0,17713.4
11,10,27.549732200000005,3886.0,15248.2
12,11,28.6233846,3886.0,17187.5
13,12,29.56735045,3886.0,16547.9
14,13,29.921763899999995,3886.0,15694.8
15,14,30.337275100000006,3886.0,14561.8
16,15,30.0,3886.0,15282.6
17,16,30.0,3886.0,12435.1
18,17,30.0,3886.0,10037.3
19,18,30.0,3886.0,10912.3
20,19,30.0,3886.0,11990.6
21,20,30.0,3886.0,12579.7
22,21,30.0,3886.0,10968.4
23,22,30.0,3886.0,10560.2
24,23,30.0,3886.0,10284.6
25,24,30.0,3886.0,9390.1
26,25,30.0,3886.0,9393.777777777777
27,26,30.0,3886.0,7916.9
28,27,30.0,3886.0,8801.272727272728
29,28,30.0,3886.0,8165.5
30,29,30.0,3886.0,9322.8
31,30,30.0,3886.0,6048.0
32,31,30.0,3886.0,4426.181818181818
33,32,30.0,3886.0,6433.125
34,33,30.0,3886.0,3085.3333333333335
35,34,30.0,3886.0,6532.833333333333
36,35,30.0,3886.0,3903.0
37,36,30.0,3886.0,3975.4
38,37,30.0,3886.0,1502.6666666666667
39,38,30.0,3886.0,6968.4
40,39,30.0,3886.0,2482.7
41,40,30.0,3886.0,14569.2
42,41,30.0,3886.0,12952.636363636364
43,42,30.0,3886.0,10691.0
44,43,30.0,3886.0,4192.714285714285
45,44,30.0,3886.0,7025.583333333333
46,45,30.0,3886.0,3415.0833333333335
47,46,30.0,3886.0,8776.777777777777
48,47,30.0,3886.0,880.3333333333334
49,48,30.0,3886.0,6657.9
50,49,30.0,3886.0,3358.6363636363635
51,50,30.0,3886.0,9736.625
52,51,30.0,3886.0,5483.0
53,52,30.0,3886.0,15561.333333333334
54,53,30.0,3886.0,7573.071428571428
55,54,30.0,3886.0,17144.5
56,55,30.0,3886.0,9342.5
57,56,30.0,3886.0,16603.2
58,57,30.0,3886.0,14824.9
59,58,30.0,3886.0,23627.333333333332
60,59,30.0,3886.0,18195.11111111111
61,60,30.0,3886.0,19017.75
