Time,Buffer,BandWidth,BitrateLevel,Clientnum
1712877078.0214736,2,2992.611295681063,1,1
1712877078.6533885,4,3559.3458657853143,1,1
1712877079.434493,5.248145,5440.622438016933,4,1
1712877079.9000227,6.7607859999999995,6120.399184689634,5,1
1712877080.3528745,8.315404000000001,6774.220270045492,5,1
1712877080.8123739,9.872926,19844.63925479205,5,1
1712877081.2657359,11.416668,27368.635460247067,5,1
1712877081.720605,12.965179,46358.887944170645,5,1
1712877082.1869252,14.477637,46609.2205336991,5,1
1712877082.6439779,16.031682,46419.82140527389,5,1
1712877083.0971057,17.583334,46741.15048192169,5,1
1712877083.5652778,19.122219,45053.17944656399,5,1
1712877084.0295937,20.666668,45246.06244240548,5,1
1712877084.4965627,22.174945,44865.70132121481,5,1
1712877085.1710925,23.518940999999998,44858.911063667336,5,1
1712877085.8740678,24.818852,43980.73830839035,5,1
1712877086.563924,26.125001,43704.005010652676,5,1
1712877087.1465564,27.514664,43267.46737073029,5,1
1712877087.9490938,28.745193,41133.321335722016,5,1
1712877088.8386166,29.833334,36727.40060738547,5,1
1712877089.6402774,31.025945999999998,36148.472135809854,5,1
1712877090.4363008,32.250001,35301.61965476362,5,1
1712877091.2227798,33.473981,34136.67363116486,5,1
1712877091.8957136,34.790104,34355.07850682939,5,1
1712877092.5776684,36.098209,35957.483519612506,5,1
1712877093.0377119,37.654111,35996.23349740352,5,1
1712877093.5072036,39.166668,36628.323041209514,5,1
1712877094.0785174,40.593612,37191.11518348804,5,1
1712877094.7566423,41.905437,34748.949449445834,5,1
1712877095.4341197,43.250001,32836.61442606665,5,1
1712877096.1023936,44.581542,32021.453924797504,5,1
1712877096.7626863,45.930538,30868.88246809159,5,1
1712877097.3302073,47.326989,31088.523468119187,5,1
1712877097.9070563,48.791668,31072.421768522407,5,1
1712877098.56288,50.125001,29666.999330358998,5,1
1712877099.120264,51.558507,28619.431346022084,5,1
1712877099.6781108,52.990544,28045.274607104915,5,1
1712877100.2398722,54.458334,26865.359473036016,5,1
1712877100.8045347,55.883292,26142.829413631247,5,1
1712877101.3611772,57.317662,26544.240358428688,5,1
1712877102.0325193,58.625001,26616.872178560476,5,1
1712877102.748353,59.930527,25256.392481303996,5,1
1712877105.010605,59.791668,23632.243066106326,5,1
1712877107.0946794,59.791668,17843.46833639492,5,1
1712877109.0624003,59.833334,15257.411386855076,5,1
1712877111.0458019,59.833334,14305.273417155067,5,1
1712877113.0155215,59.875001,13721.252368198164,5,1
1712877114.9909594,59.875001,12995.206910556632,5,1
1712877116.9766123,59.875001,13524.58687297787,5,1
1712877119.1112535,59.583334,15783.33718564652,5,1
1712877120.824385,59.869045,17067.23767726691,5,1
1712877123.2077603,59.583334,18198.68336971424,5,1
1712877124.778559,59.958334,18871.448924560507,5,1
1712877127.1447432,59.708334,19313.583999259434,5,1
1712877129.030662,59.750001,16902.65616394143,5,1
1712877130.7098591,59.958334,15610.505527267136,5,1
1712877132.9548488,59.750001,14861.909881351747,5,1
1712877135.81087,58.875001,14140.491723337762,5,1
1712877139.3111043,57.375001,14451.520520570784,5,1
1712877142.6899526,56.000001,14780.130274833058,5,1
1712877144.6821985,56.000001,15053.633041591418,5,1
1712877146.0736809,56.621752,15628.46372831274,5,1
1712877147.4075742,57.291668,17169.907238129552,5,1
1712877149.1635804,57.499393,18823.791256864126,5,1
1712877151.241852,57.458333999999994,22896.46993087333,5,1
1712877152.9985435,57.666668,26158.99451331089,5,1
1712877155.1092613,57.583333999999994,26166.48384583875,5,1
1712877156.7531428,57.916668,25754.667929123152,5,1
1712877157.5214274,59.139396000000005,25977.637844207187,5,1
