id,time,buffer,bitrate,throughput
1,1712877078000,0.0,647,923
2,1712877079000,6.0044655,3886,11275
3,1712877080000,9.094165,3886,9474
4,1712877081000,12.1909235,3886,9949
5,1712877082000,15.254659499999999,3886,14869
6,1712877083000,18.3527765,3886,6444
7,1712877084000,21.4208065,3886,15286
8,1712877085000,24.168896500000002,3886,20336
9,1712877086000,26.125001,3886,14956
10,1712877087000,28.1299285,3886,22448
11,1712877088000,29.833334,3886,16071
12,1712877089000,30.0,3886,17596
13,1712877090000,30.0,3886,22071
14,1712877091000,30.0,3886,17471
15,1712877092000,30.0,3886,13463
16,1712877093000,30.0,3886,11852
17,1712877094000,30.0,3886,11507
18,1712877095000,30.0,3886,18996
19,1712877096000,30.0,3886,9567
20,1712877097000,30.0,3886,14290
21,1712877098000,30.0,3886,10115
22,1712877099000,30.0,3886,8217
23,1712877100000,30.0,3886,10843
24,1712877101000,30.0,3886,13946
25,1712877102000,30.0,3886,8043
26,1712877104000,30.0,3886,1
27,1712877105000,30.0,3886,8749
28,1712877106000,30.0,3886,861
29,1712877107000,30.0,3886,7307
30,1712877108000,30.0,3886,77
31,1712877109000,30.0,3886,7244
32,1712877110000,30.0,3886,1771
33,1712877111000,30.0,3886,9181
34,1712877113000,30.0,3886,8190
35,1712877113000,30.0,3886,8190
36,1712877114000,30.0,3886,2
37,1712877114000,30.0,3886,2
38,1712877115000,30.0,3886,10258
39,1712877116000,30.0,3886,1
40,1712877118000,30.0,3886,16013
41,1712877119000,30.0,3886,10284
42,1712877119000,30.0,3886,10284
43,1712877120000,30.0,3886,8315
44,1712877122000,30.0,3886,5
45,1712877123000,30.0,3886,3824
46,1712877123000,30.0,3886,3824
47,1712877124000,30.0,3886,7930
48,1712877126000,30.0,3886,0
49,1712877127000,30.0,3886,5821
50,1712877129000,30.0,3886,10258
51,1712877129000,30.0,3886,10258
52,1712877130000,30.0,3886,10673
53,1712877130000,30.0,3886,10673
54,1712877131000,30.0,3886,15068
55,1712877132000,30.0,3886,12884
56,1712877132000,30.0,3886,12884
57,1712877133000,30.0,3886,9485
58,1712877134000,30.0,3886,12826
59,1712877135000,30.0,3886,11284
60,1712877137000,30.0,3886,16835
61,1712877138000,30.0,3886,16862
62,1712877139000,30.0,3886,8269
63,1712877141000,30.0,3886,16555
64,1712877142000,30.0,3886,9727
65,1712877143000,30.0,3886,17255
66,1712877144000,30.0,3886,12397
67,1712877146000,30.0,3886,16876
68,1712877146000,30.0,3886,16876
69,1712877147000,30.0,3886,18674
70,1712877148000,30.0,3886,25288
71,1712877149000,30.0,3886,13785
72,1712877151000,30.0,3886,19324
73,1712877152000,30.0,3886,26373
74,1712877155000,30.0,3886,14233
75,1712877156000,30.0,3886,16936
76,1712877157000,30.0,3886,14949
