id,time,buffer,bitrate,throughput
1,0,0.0,647.0,1784.5
2,1,5.5848762,1589.6,4305.4
3,2,8.4271932,2895.0,6993.3
4,3,11.299819150000001,2994.1,6864.9
5,4,14.123814166666667,2964.0,7262.7
6,5,17.12168305,2391.4,6557.9
7,6,19.883463100000004,2904.6,7390.3
8,7,21.96988338888889,3555.6666666666665,13969.111111111111
9,8,23.530189799999995,3886.0,13927.0
10,9,25.352252666666672,3665.777777777778,13027.555555555555
11,10,25.984447714285714,3886.0,13232.714285714286
12,11,26.750291200000003,3886.0,13361.6
13,12,27.403210083333338,3720.8333333333335,12663.666666666666
14,13,28.3599905,3886.0,13086.666666666666
15,14,29.561294,3886.0,14872.5
16,15,28.564815111111116,3886.0,11811.555555555555
17,16,28.8854428,3886.0,12053.2
18,17,29.466415444444447,3886.0,10518.333333333334
19,18,29.155668900000002,3886.0,11876.8
20,19,29.2672241,3886.0,10684.1
21,20,29.464268500000003,3886.0,11312.6
22,21,29.747916850000003,3886.0,11476.7
23,22,29.783333400000004,3886.0,10754.1
24,23,29.914393,3886.0,10538.6
25,24,30.0,3886.0,10245.3
26,25,30.0,3886.0,10166.6
27,26,30.0,3886.0,10607.6
28,27,30.0,3886.0,10422.5
29,28,30.0,3886.0,7291.727272727273
30,29,30.0,3886.0,7842.6
31,30,30.0,3886.0,9897.76923076923
32,31,30.0,3886.0,6856.545454545455
33,32,30.0,3886.0,7864.3
34,33,30.0,3886.0,5315.111111111111
35,34,30.0,3886.0,6334.909090909091
36,35,30.0,3886.0,4029.6363636363635
37,36,30.0,3886.0,7689.555555555556
38,37,30.0,3886.0,3252.6
39,38,30.0,3886.0,7987.4
40,39,30.0,3886.0,3812.6
41,40,30.0,3886.0,18921.272727272728
42,41,30.0,3886.0,9232.916666666666
43,42,30.0,3886.0,12773.4
44,43,30.0,3886.0,3163.714285714286
45,44,30.0,3886.0,5978.8
46,45,30.0,3886.0,4099.363636363636
47,46,30.0,3886.0,6689.272727272727
48,47,30.0,3886.0,2850.3
49,48,30.0,3886.0,5713.8
50,49,30.0,3886.0,2401.8
51,50,30.0,3886.0,10663.222222222223
52,51,30.0,3886.0,4693.5
53,52,30.0,3886.0,13496.555555555555
54,53,30.0,3886.0,8333.818181818182
55,54,30.0,3886.0,17739.0
56,55,30.0,3886.0,10687.0
57,56,30.0,3886.0,20679.2
58,57,30.0,3886.0,12512.857142857143
59,58,30.0,3886.0,26416.444444444445
60,59,30.0,3886.0,17860.5
61,60,30.0,3886.0,25852.333333333332
