id,time,direction,rx_bytes,rx_frames,rx_rate,rx_rate_frames,tx_bytes,tx_frames,tx_rate,tx_rate_frames,loss_frames,drop_frames,queue_bytes,queue_frames,modify_frames,reordered_frames,duplicated_frames,corruption_frames,background_rx_bytes,background_rx_frames,background_tx_bytes,background_tx_frames,background_tx_rate,background_drop_frames
1,1712876527000,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1712876528000,right,435,3,3480,3,435,3,3480,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1712876529000,right,747,6,2496,3,747,6,2496,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1712876530000,right,1566,12,6552,6,1566,12,6552,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1712876531000,right,1794,14,1824,2,1794,14,1824,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1712876532000,right,2423,17,5032,3,2423,17,5032,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1712876533000,right,3184,22,6088,5,3184,22,6088,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1712876534000,right,3352,24,1344,2,3352,24,1344,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1712876535000,right,3664,27,2496,3,3664,27,2496,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1712876536000,right,3930,30,2128,3,3832,29,1344,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1712876537000,right,4607,34,5416,4,4607,34,6200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1712876538000,right,4775,36,1344,2,4775,36,1344,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1712876539000,right,5313,41,4304,5,5313,41,4304,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1712876540000,right,5944,45,5048,4,5944,45,5048,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1712876541000,right,6340,49,3168,4,6340,49,3168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1712876542000,right,7173,57,6664,8,7173,57,6664,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1712876543000,right,7948,62,6200,5,7948,62,6200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1712876544000,right,8032,63,672,1,8032,63,672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1712876545000,right,8428,67,3168,4,8344,66,2496,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1712876546000,right,9143,72,5720,5,9059,71,5720,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1712876547000,right,9287,73,1152,1,9287,73,1824,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1712876548000,right,9455,75,1344,2,9455,75,1344,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1712876549000,right,9767,78,2496,3,9767,78,2496,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1712876550000,right,10398,82,5048,4,10398,82,5048,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1712876551000,right,10626,84,1824,2,10626,84,1824,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1712876552000,right,10878,87,2016,3,10878,87,2016,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1712876553000,right,11795,93,7336,6,11795,93,7336,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1712876554000,right,12148,96,2824,3,12148,96,2824,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1712876555000,right,134728,190,980640,94,134728,190,980640,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1712876556000,right,646013,536,4090280,346,461453,416,2613800,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1712876557000,right,1420968,1054,6199640,518,1420878,1053,7675400,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1712876558000,right,2748298,1933,10618640,879,2748298,1933,10619360,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1712876559000,right,4351910,2994,12828896,1061,3860943,2672,8901160,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1712876560000,right,5867705,4003,12126360,1009,5867347,4000,16051232,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1712876561000,right,7401656,5022,12271608,1019,6913849,4703,8372016,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1712876562000,right,9834334,6619,19461424,1597,8797722,5945,15070984,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1712876563000,right,13019392,8709,25480464,2090,11650401,7818,22821432,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1712876564000,right,16325264,10876,26446976,2167,15654088,10439,32029496,2621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1712876565000,right,20295416,13474,31761216,2598,20295306,13473,37129744,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1712876566000,right,23866257,15812,28566728,2338,23866257,15812,28567608,2339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1712876567000,right,26922486,17817,24449832,2005,26913258,17811,24376008,1999,0,6,0,0,0,0,0,0,0,0,0,0,0,0
42,1712876568000,right,28540585,18893,12944792,1076,28003562,18542,8722432,731,0,6,0,0,0,0,0,0,0,0,0,0,0,0
43,1712876569000,right,30095265,19922,12437440,1029,30079787,19911,16609800,1369,0,10,0,0,0,0,0,0,0,0,0,0,0,0
44,1712876570000,right,32630751,21589,20283888,1667,32553590,21537,19790424,1626,0,10,0,0,0,0,0,0,0,0,0,0,0,0
45,1712876571000,right,34575572,22869,15558568,1280,34555468,22855,16015024,1318,0,13,0,0,0,0,0,0,0,0,0,0,0,0
46,1712876572000,right,36439762,24092,14913520,1223,36402850,24068,14779056,1213,0,24,0,0,0,0,0,0,0,0,0,0,0,0
47,1712876573000,right,37638310,24890,9588384,798,37275342,24654,6979936,586,0,24,0,0,0,0,0,0,0,0,0,0,0,0
48,1712876574000,right,38574747,25516,7491496,626,38363780,25377,8707504,723,0,24,0,0,0,0,0,0,0,0,0,0,0,0
49,1712876575000,right,39814733,26333,9919888,817,39776283,26308,11300024,931,0,25,0,0,0,0,0,0,0,0,0,0,0,0
50,1712876576000,right,39815831,26340,8784,7,39777381,26315,8784,7,0,25,0,0,0,0,0,0,0,0,0,0,0,0
