id,time,buffer,bitrate,throughput
1,0,3.1476956521739132,837.3913043478261,5238.269913043477
2,1,7.3102,1227.64,5874.446399999999
3,2,10.334869565217392,1708.0869565217392,10081.527652173916
4,3,13.389499999999996,2454.5555555555557,21529.414222222218
5,4,16.52555,3291.4,25731.340799999998
6,5,19.086315789473684,3886.0,24827.330105263158
7,6,22.224066666666666,3886.0,17823.668266666664
8,7,25.1746,3886.0,11207.410666666667
9,8,28.70413333333334,3886.0,5388.914666666667
10,9,29.713444444444445,3886.0,7229.1973333333335
11,10,30.249266666666674,3886.0,9488.115733333334
12,11,30.258642857142856,3886.0,7618.1211428571405
13,12,29.91428571428571,3886.0,6959.182857142858
14,13,30.067444444444448,3886.0,7334.6688888888875
15,14,29.67835714285714,3886.0,6765.575428571428
16,15,29.990785714285717,3886.0,5919.546285714286
17,16,29.777071428571436,3886.0,5497.110857142857
18,17,30.08936842105263,3886.0,3125.2593684210524
19,18,29.855733333333326,3886.0,2013.5733333333333
20,19,30.227105263157892,3886.0,1836.9136842105263
21,20,30.077800000000003,3886.0,3053.987733333334
22,21,30.193928571428568,3886.0,3543.1862857142864
23,22,29.562142857142856,3886.0,4158.340571428571
24,23,30.032611111111116,3886.0,4086.988888888889
25,24,29.672642857142858,3886.0,6304.317142857144
26,25,30.33478571428571,3886.0,4031.1542857142854
27,26,29.576142857142855,3886.0,5968.961142857143
28,27,29.982071428571427,3886.0,4390.4628571428575
29,28,29.541214285714286,3886.0,6190.803999999999
30,29,30.194499999999998,3886.0,5204.321142857143
31,30,29.725785714285713,3886.0,3884.9634285714283
32,31,30.104214285714285,3886.0,2581.413142857143
33,32,29.732214285714285,3886.0,4960.878285714285
34,33,30.33528571428571,3886.0,3398.7337142857145
35,34,29.736214285714283,3886.0,3719.6548571428575
36,35,29.97214285714286,3886.0,3730.691428571429
37,36,29.434500000000003,3886.0,4532.418857142858
38,37,30.20335714285714,3886.0,3132.8879999999995
39,38,29.429928571428576,3886.0,2843.5342857142855
40,39,30.13685714285714,3886.0,2417.7148571428575
41,40,30.121785714285714,3886.0,2869.516
42,41,30.210285714285714,3886.0,2861.758857142857
43,42,29.490285714285715,3886.0,2698.532
44,43,30.00271428571429,3886.0,2657.4845714285716
45,44,29.81707142857143,3886.0,3451.732
46,45,30.200785714285708,3886.0,3390.8771428571426
47,46,29.507285714285718,3886.0,2760.857714285714
48,47,30.014857142857135,3886.0,3529.346857142857
49,48,29.813000000000006,3886.0,4997.6720000000005
50,49,30.062571428571424,3886.0,4808.749142857143
51,50,29.496928571428576,3886.0,3941.993714285714
52,51,30.161,3886.0,4321.012571428571
53,52,30.24985714285714,3886.0,4429.3165714285715
54,53,30.058071428571427,3886.0,4899.414285714287
55,54,29.643071428571425,3886.0,5047.140571428571
56,55,30.018785714285713,3886.0,3605.293714285715
57,56,29.974500000000003,3886.0,4142.124
58,57,30.01057142857143,3886.0,4562.9439999999995
59,58,29.458357142857142,3886.0,5030.418285714285
60,59,30.03807142857143,3886.0,5101.235428571429
61,60,29.910800000000002,3886.0,4245.469599999999
