Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 03:43:45,0,647,0.4,1,0,,,
2024-04-10 03:43:46,3.278,647,0.4,1,0,0.00 | 0.18 | 0.36,0.45 | 0.57 | 0.68,2.94 | 3.53 | 4.43
2024-04-10 03:43:46,3.278,647,0.4,1,0,0.00 | 0.18 | 0.36,0.45 | 0.57 | 0.68,2.94 | 3.53 | 4.43
2024-04-10 03:43:47,8.189,647,0.4,0.4,0,0.00 | 0.09 | 0.37,0.04 | 0.30 | 0.45,4.43 | 6.68 | 44.44
2024-04-10 03:43:47,8.189,1093,0.6,0.4,0,0.00 | 0.09 | 0.37,0.04 | 0.30 | 0.45,4.43 | 6.68 | 44.44
2024-04-10 03:43:48,11.147,1093,0.6,0.4,0,0.00 | 0.09 | 0.37,0.04 | 0.24 | 0.32,6.25 | 8.38 | 44.44
2024-04-10 03:43:48,11.147,1904,0.8,0.4,0,0.00 | 0.09 | 0.37,0.04 | 0.24 | 0.32,6.25 | 8.38 | 44.44
2024-04-10 03:43:49,14.216,1904,0.8,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.30 | 0.30,6.56 | 6.77 | 7.02
2024-04-10 03:43:49,14.216,1904,0.8,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.30 | 0.30,6.56 | 6.77 | 7.02
2024-04-10 03:43:50,17.292,3886,1,0.4,0,0.00 | 0.07 | 0.27,0.14 | 0.26 | 0.30,6.56 | 7.72 | 14.29
2024-04-10 03:43:50,17.292,3886,1,0.4,0,0.00 | 0.07 | 0.27,0.14 | 0.26 | 0.30,6.56 | 7.72 | 14.29
2024-04-10 03:43:51,18.225,3886,1,0.4,0,0.00 | 0.16 | 0.37,0.14 | 0.30 | 0.46,4.40 | 6.66 | 14.29
2024-04-10 03:43:51,18.225,3886,1,0.4,0,0.00 | 0.16 | 0.37,0.14 | 0.30 | 0.46,4.40 | 6.66 | 14.29
2024-04-10 03:43:52,21.157,3886,1,0.4,1,0.00 | 0.25 | 0.37,0.17 | 0.32 | 0.46,4.40 | 6.35 | 11.90
