Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 03:51:59,3.144,647,0.4,1,0,0.00 | 0.18 | 0.37,0.40 | 0.54 | 0.68,2.95 | 3.73 | 5.06
2024-04-10 03:51:59,8.202,647,0.4,0.4,0,0.00 | 0.10 | 0.41,0.05 | 0.29 | 0.41,4.88 | 6.99 | 41.67
2024-04-10 03:52:00,8.202,1093,0.6,0.4,0,0.00 | 0.10 | 0.41,0.05 | 0.29 | 0.41,4.88 | 6.99 | 41.67
2024-04-10 03:52:00,11.136,1093,0.6,0.4,0,0.00 | 0.10 | 0.41,0.05 | 0.23 | 0.29,6.87 | 8.87 | 41.67
2024-04-10 03:52:01,11.136,1904,0.8,0.4,0,0.00 | 0.10 | 0.41,0.05 | 0.23 | 0.29,6.87 | 8.87 | 41.67
2024-04-10 03:52:01,14.266,1904,0.8,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.29 | 0.30,6.76 | 7.01 | 7.22
2024-04-10 03:52:02,14.266,1904,0.8,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.29 | 0.30,6.76 | 7.01 | 7.22
2024-04-10 03:52:02,17.189,3886,1,0.4,0,0.00 | 0.07 | 0.28,0.13 | 0.25 | 0.30,6.76 | 8.06 | 15.50
2024-04-10 03:52:03,17.189,3886,1,0.4,0,0.00 | 0.07 | 0.28,0.13 | 0.25 | 0.30,6.76 | 8.06 | 15.50
2024-04-10 03:52:03,18.223,3886,1,0.4,0,0.00 | 0.16 | 0.36,0.13 | 0.29 | 0.45,4.42 | 6.88 | 15.50
2024-04-10 03:52:04,18.223,3886,1,0.4,0,0.00 | 0.16 | 0.36,0.13 | 0.29 | 0.45,4.42 | 6.88 | 15.50
2024-04-10 03:52:04,21.154,3886,1,0.4,0,0.00 | 0.23 | 0.36,0.13 | 0.32 | 0.45,4.42 | 6.35 | 15.15
2024-04-10 03:52:05,21.154,3886,1,0.4,0,0.00 | 0.23 | 0.36,0.13 | 0.32 | 0.45,4.42 | 6.35 | 15.15
2024-04-10 03:52:05,26.214,3886,1,0.4,0,0.28 | 0.29 | 0.29,0.05 | 0.11 | 0.19,10.31 | 18.31 | 40.00
