id,time,buffer,bitrate,throughput
832,1712692418000,0.0,647,4651.608
832,1712692418500,3.261,647,4651.608
833,1712692419500,8.192,647,3750.464
834,1712692420000,8.192,1093,6742.16
834,1712692420500,11.137,1904,6742.16
835,1712692421500,14.13,1904,33334.48
836,1712692422500,17.273,3886,13357.072
837,1712692423500,20.206,3886,33654.568
838,1712692424500,23.154,3886,9255.088
839,1712692425500,24.131,3886,15567.008
840,1712692426500,29.295,3886,292.016
841,1712692427500,30.222,3886,2928.544
842,1712692428500,31.169,3886,12006.72
843,1712692429500,30.368,3886,9203.92
844,1712692430500,29.313,3886,4796.936
845,1712692431500,30.245,3886,12774.272
846,1712692432500,29.178,3886,293.536
847,1712692433500,30.124,3886,11409.448
848,1712692434500,31.23,3886,290.136
849,1712692435500,30.263,3886,4003.016
850,1712692436500,29.196,3886,759.984
851,1712692437500,30.129,3886,345.168
852,1712692438500,29.343,3886,4148.2
853,1712692439500,30.271,3886,2895.24
854,1712692440500,29.216,3886,4139.776
855,1712692441500,30.141,3886,9767.568
856,1712692442500,29.344,3886,303.016
857,1712692443500,30.277,3886,2967.344
858,1712692444500,29.209,3886,6769.376
859,1712692445500,30.142,3886,7702.96
860,1712692446500,29.359,3886,2785.736
861,1712692447500,30.289,3886,3931.832
862,1712692448500,29.231,3886,5076.232
863,1712692449500,30.17,3886,1207.744
864,1712692450500,29.371,3886,6271.488
865,1712692451500,30.211,3886,5476.064
866,1712692452500,29.248,3886,1819.688
867,1712692453500,30.18,3886,2818.144
868,1712692454500,29.382,3886,4866.336
869,1712692455500,30.195,3886,5851.352
870,1712692456500,29.261,3886,302.072
871,1712692457500,30.203,3886,1451.984
872,1712692458500,31.136,3886,3859.304
873,1712692459500,30.335,3886,5162.6
874,1712692460500,29.28,3886,295.864
875,1712692461500,30.214,3886,1602.448
876,1712692462500,31.146,3886,4414.304
877,1712692463500,30.152,3886,5551.0
878,1712692464500,29.296,3886,564.48
879,1712692465500,30.234,3886,2169.936
880,1712692466500,29.122,3886,6854.12
881,1712692467500,30.164,3886,7928.48
882,1712692468500,29.277,3886,290.12
883,1712692469500,30.209,3886,3113.696
884,1712692470500,29.154,3886,5718.392
885,1712692471500,30.357,3886,9529.6
886,1712692472500,29.291,3886,290.768
887,1712692473500,30.223,3886,1641.36
888,1712692474500,29.158,3886,5977.392
889,1712692475500,30.373,3886,8502.64
890,1712692476500,29.123,3886,735.808
891,1712692477500,30.245,3886,2745.248
892,1712692478500,29.176,3886,6654.608
893,1712692479500,30.124,3886,5733.728
894,1712692480500,29.327,3886,2688.064
895,1712692481500,30.257,3886,10180.76
896,1712692482500,29.203,3886,337.312
897,1712692483500,30.138,3886,548.576
898,1712692484500,31.236,3886,18240.056
899,1712692485500,30.275,3886,26308.896
