id,time,direction,rx_bytes,rx_frames,rx_rate,rx_rate_frames,tx_bytes,tx_frames,tx_rate,tx_rate_frames,loss_frames,drop_frames,queue_bytes,queue_frames,modify_frames,reordered_frames,duplicated_frames,corruption_frames,background_rx_bytes,background_rx_frames,background_tx_bytes,background_tx_frames,background_tx_rate,background_drop_frames
1,2024-04-10 03:39:28,left,909,6,7272,6,825,5,6600,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2024-04-10 03:39:28,right,147,1,1176,1,147,1,1176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-04-10 03:39:29,left,2936,21,16216,15,2936,21,16888,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-04-10 03:39:29,right,2137,15,15920,14,2137,15,15920,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-04-10 03:39:30,left,4239,32,10424,11,4239,32,10424,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-04-10 03:39:30,right,3976,28,14712,13,3976,28,14712,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-04-10 03:39:31,left,5946,43,13656,11,5946,43,13656,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-04-10 03:39:31,right,5482,40,12048,12,5392,39,11328,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-04-10 03:39:32,left,7604,55,13264,12,7520,54,12592,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-04-10 03:39:32,right,6952,51,11760,11,6952,51,12480,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-04-10 03:39:33,left,10972,72,26944,17,10755,71,25880,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-04-10 03:39:33,right,15536,73,68672,22,15536,73,68672,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-04-10 03:39:34,left,17486,122,52112,50,17486,122,53848,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-04-10 03:39:34,right,79957,133,515368,60,71184,126,445184,53,0,6,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-04-10 03:39:35,left,22287,161,38408,39,22287,161,38408,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-04-10 03:39:35,right,139615,186,477264,53,122058,174,406992,48,0,12,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-04-10 03:39:36,left,25376,196,24712,35,24924,191,21096,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-04-10 03:39:36,right,193108,236,427944,50,171007,220,391592,46,0,15,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-04-10 03:39:37,left,26254,205,7024,9,26254,205,10640,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-04-10 03:39:37,right,195772,247,21312,11,173781,232,22192,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-04-10 03:39:57,left,853,7,6824,7,451,3,3608,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-04-10 03:39:57,right,7846,12,62768,12,7464,10,59712,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2024-04-10 03:39:58,left,4934,44,32648,37,4700,42,33992,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
