id,time,direction,rx_bytes,rx_frames,rx_rate,rx_rate_frames,tx_bytes,tx_frames,tx_rate,tx_rate_frames,loss_frames,drop_frames,queue_bytes,queue_frames,modify_frames,reordered_frames,duplicated_frames,corruption_frames,background_rx_bytes,background_rx_frames,background_tx_bytes,background_tx_frames,background_tx_rate,background_drop_frames
1,1712691568000,right,147,1,1176,1,147,1,1176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1712691569000,right,2137,15,15920,14,2137,15,15920,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1712691570000,right,3976,28,14712,13,3976,28,14712,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1712691571000,right,5482,40,12048,12,5392,39,11328,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1712691572000,right,6952,51,11760,11,6952,51,12480,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1712691573000,right,15536,73,68672,22,15536,73,68672,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1712691574000,right,79957,133,515368,60,71184,126,445184,53,0,6,0,0,0,0,0,0,0,0,0,0,0,0
8,1712691575000,right,139615,186,477264,53,122058,174,406992,48,0,12,0,0,0,0,0,0,0,0,0,0,0,0
9,1712691576000,right,193108,236,427944,50,171007,220,391592,46,0,15,0,0,0,0,0,0,0,0,0,0,0,0
10,1712691577000,right,195772,247,21312,11,173781,232,22192,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0
11,1712691597000,right,7846,12,62768,12,7464,10,59712,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1712691598000,right,14566,42,53760,30,14375,41,55288,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1712691599000,right,17755,61,25512,19,17564,60,25512,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1712691600000,right,21489,84,29872,23,21298,83,29872,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1712691601000,right,26262,115,38184,31,25543,110,33960,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1712691602000,right,30529,144,34136,29,30228,142,37480,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1712691603000,right,42574,180,96360,36,42285,178,96456,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1712691604000,right,45781,199,25656,19,45590,198,26440,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1712691605000,right,48986,218,25640,19,48795,217,25640,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
