Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 03:58:19,0,647,0.4,0,0,,,
2024-04-10 03:58:20,0,647,0.4,1,0,,,
2024-04-10 03:58:20,3.256,647,0.4,1,0,0.00 | 0.18 | 0.36,0.38 | 0.53 | 0.67,2.99 | 3.81 | 5.25
2024-04-10 03:58:21,3.256,1093,0.6,1,0,0.00 | 0.18 | 0.36,0.38 | 0.53 | 0.67,2.99 | 3.81 | 5.25
2024-04-10 03:58:21,6.193,1093,0.6,1,0,0.00 | 0.09 | 0.36,0.28 | 0.43 | 0.67,2.99 | 4.67 | 7.04
2024-04-10 03:58:22,6.193,1904,0.8,0.4,0,0.00 | 0.09 | 0.36,0.28 | 0.43 | 0.67,2.99 | 4.67 | 7.04
2024-04-10 03:58:22,9.121,1904,0.8,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.34 | 0.39,5.17 | 5.96 | 7.04
2024-04-10 03:58:23,9.121,1904,0.8,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.34 | 0.39,5.17 | 5.96 | 7.04
2024-04-10 03:58:23,12.16,1904,0.8,0.4,0,0.00 | 0.17 | 0.35,0.10 | 0.27 | 0.39,5.17 | 7.48 | 20.20
2024-04-10 03:58:24,12.16,1904,0.8,0.4,0,0.00 | 0.17 | 0.35,0.10 | 0.27 | 0.39,5.17 | 7.48 | 20.20
2024-04-10 03:58:24,15.244,3886,1,0.4,0,0.27 | 0.33 | 0.38,0.08 | 0.16 | 0.29,6.90 | 12.18 | 25.64
2024-04-10 03:58:25,15.244,3886,1,0.4,0,0.27 | 0.33 | 0.38,0.08 | 0.16 | 0.29,6.90 | 12.18 | 25.64
2024-04-10 03:58:25,18.135,3886,1,0.4,0,0.00 | 0.23 | 0.38,0.08 | 0.17 | 0.29,6.94 | 11.56 | 25.64
2024-04-10 03:58:26,18.135,3886,1,0.6,0,0.00 | 0.23 | 0.38,0.08 | 0.17 | 0.29,6.94 | 11.56 | 25.64
2024-04-10 03:58:26,21.138,3886,1,0.6,2,0.00 | 0.14 | 0.29,0.00 | 0.18 | 0.29,6.78 | 11.10 | 1000.00
2024-04-10 03:58:27,21.138,3886,1,0.6,2,0.00 | 0.14 | 0.29,0.00 | 0.18 | 0.29,6.78 | 11.10 | 1000.00
2024-04-10 03:58:27,26.16,3886,1,0.6,2,0.28 | 0.31 | 0.36,0.00 | 0.03 | 0.07,26.67 | 57.14 | 1000.00
2024-04-10 03:58:28,26.16,3886,1,0.6,2,0.28 | 0.31 | 0.36,0.00 | 0.03 | 0.07,26.67 | 57.14 | 1000.00
2024-04-10 03:58:28,27.289,3886,1,0.6,2,0.30 | 0.33 | 0.36,0.00 | 0.03 | 0.07,26.67 | 57.55 | 2000.00
2024-04-10 03:58:29,27.289,3886,1,0.6,2,0.30 | 0.33 | 0.36,0.00 | 0.03 | 0.07,26.67 | 57.55 | 2000.00
2024-04-10 03:58:29,30.223,3886,1,0.6,2,0.30 | 0.33 | 0.37,0.00 | 0.22 | 0.71,2.80 | 8.96 | 2000.00
2024-04-10 03:58:30,30.223,3886,1,0.8,2,0.30 | 0.33 | 0.37,0.00 | 0.22 | 0.71,2.80 | 8.96 | 2000.00
2024-04-10 03:58:30,31.157,3886,1,0.8,3,0.30 | 0.33 | 0.37,0.00 | 0.26 | 0.71,2.80 | 7.72 | 2000.00
2024-04-10 03:58:31,31.157,3886,1,0.8,3,0.30 | 0.33 | 0.37,0.00 | 0.26 | 0.71,2.80 | 7.72 | 2000.00
2024-04-10 03:58:31,30.366,3886,1,0.8,3,0.30 | 0.33 | 0.37,0.00 | 0.26 | 0.71,2.80 | 7.72 | 2000.00
2024-04-10 03:58:32,30.366,3886,1,0.8,3,0.30 | 0.33 | 0.37,0.00 | 0.26 | 0.71,2.80 | 7.72 | 2000.00
2024-04-10 03:58:32,29.295,3886,1,0.8,3,0.30 | 0.33 | 0.37,0.00 | 0.26 | 0.71,2.80 | 7.72 | 2000.00
2024-04-10 03:58:33,29.295,3886,1,0.8,3,0.30 | 0.33 | 0.37,0.00 | 0.26 | 0.71,2.80 | 7.72 | 2000.00
