id,time,buffer,bitrate,throughput
1404,1712692990000,3.248,1093,5236.256
1405,1712692991000,6.17,1093,4043.12
1405,1712692991500,6.17,1904,4043.12
1406,1712692992000,9.151,1904,9039.616
1407,1712692993000,12.239,1904,10262.232
1408,1712692994000,15.241,3886,15784.896
1409,1712692995000,18.155,3886,35803.224
1409,1712692995500,18.155,3886,35803.224
1410,1712692996000,19.176,3886,32405.072
1411,1712692997000,22.201,3886,9930.896
1412,1712692998000,27.212,3886,6588.936
1413,1712692999000,28.136,3886,14636.952
1413,1712692999500,28.136,3886,14636.952
1414,1712693000000,29.173,3886,317.832
1415,1712693001000,30.326,3886,6367.712
1416,1712693002000,31.168,3886,7647.0
1417,1712693003000,30.162,3886,12777.872
1418,1712693004000,29.207,3886,299.504
1419,1712693005000,30.13,3886,5298.744
1420,1712693006000,29.348,3886,6480.328
1421,1712693007000,30.133,3886,1543.952
1422,1712693008000,29.215,3886,3226.968
1423,1712693009000,30.151,3886,740.816
1423,1712693009500,30.151,3886,740.816
1424,1712693010000,29.35,3886,3760.944
1425,1712693011000,30.289,3886,6743.632
1426,1712693012000,29.23,3886,361.784
1427,1712693013000,30.166,3886,1383.008
1428,1712693014000,29.365,3886,8377.744
1429,1712693015000,30.304,3886,5957.728
1430,1712693016000,29.246,3886,4077.416
1431,1712693017000,30.185,3886,1162.12
1432,1712693018000,29.389,3886,9339.76
1433,1712693019000,30.323,3886,7109.056
1434,1712693020000,29.251,3886,1941.696
1435,1712693021000,30.206,3886,606.512
1436,1712693022000,29.137,3886,6891.368
1437,1712693023000,30.334,3886,4636.216
1438,1712693024000,29.267,3886,2712.072
1439,1712693025000,30.216,3886,957.792
1440,1712693026000,29.146,3886,6817.04
1441,1712693027000,30.354,3886,5858.736
1442,1712693028000,29.294,3886,325.576
1443,1712693029000,30.232,3886,2673.488
1444,1712693030000,29.164,3886,2569.528
1445,1712693031000,30.372,3886,5047.552
1446,1712693032000,29.289,3886,312.112
1447,1712693033000,30.223,3886,4117.152
1448,1712693034000,31.16,3886,1967.0
1449,1712693035000,30.371,3886,5515.632
1450,1712693036000,29.304,3886,291.248
1451,1712693037000,30.241,3886,3779.904
1452,1712693038000,31.12,3886,4912.504
1453,1712693039000,30.392,3886,1025.128
1454,1712693040000,29.319,3886,7194.816
1455,1712693041000,30.232,3886,8541.88
1456,1712693042000,29.2,3886,297.88
1457,1712693043000,30.134,3886,310.176
1458,1712693044000,31.267,3886,9236.752
1459,1712693045000,30.275,3886,7610.032
1460,1712693046000,29.22,3886,292.984
1461,1712693047000,30.146,3886,3706.448
1462,1712693048000,29.126,3886,5537.968
1463,1712693049000,30.299,3886,9113.888
1464,1712693050000,29.23,3886,295.68
1465,1712693051000,30.159,3886,1935.056
1466,1712693052000,29.372,3886,6488.512
1467,1712693053000,30.13,3886,7201.712
1468,1712693054000,29.238,3886,3279.096
1469,1712693055000,30.184,3886,3560.368
1470,1712693056000,29.391,3886,22682.184
1471,1712693057000,30.137,3886,18736.888
1472,1712693058000,29.256,3886,317.784
1473,1712693059000,30.2,3886,1664.12
1474,1712693060000,31.137,3886,10232.768
