Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 00:28:11,1.718,142,0.2,0.4,0,0.35 | 0.35 | 0.35,0.26 | 0.26 | 0.26,7.75 | 7.75 | 7.75
2024-04-10 00:28:12,1.718,1904,0.8,0.4,0,0.35 | 0.35 | 0.35,0.26 | 0.26 | 0.26,7.75 | 7.75 | 7.75
2024-04-10 00:28:12,2.829,1904,0.8,0.4,0,0.00 | 0.18 | 0.35,0.26 | 0.32 | 0.37,5.35 | 6.33 | 7.75
2024-04-10 00:28:13,2.829,1904,0.8,0.4,0,0.00 | 0.18 | 0.35,0.26 | 0.32 | 0.37,5.35 | 6.33 | 7.75
2024-04-10 00:28:13,5.761,1904,0.8,0.2,0,0.00 | 0.24 | 0.35,0.12 | 0.27 | 0.37,5.35 | 7.35 | 16.26
2024-04-10 00:28:14,5.761,1904,0.8,0.2,0,0.00 | 0.24 | 0.35,0.12 | 0.27 | 0.37,5.35 | 7.35 | 16.26
2024-04-10 00:28:14,10.695,1904,0.8,0.2,0,0.00 | 0.15 | 0.31,0.12 | 0.22 | 0.29,6.94 | 9.30 | 16.26
2024-04-10 00:28:15,10.695,3886,1,0.2,0,0.00 | 0.15 | 0.31,0.12 | 0.22 | 0.29,6.94 | 9.30 | 16.26
2024-04-10 00:28:15,13.675,3886,1,0.8,0,0.00 | 0.00 | 0.00,0.28 | 0.29 | 0.29,6.92 | 7.01 | 7.14
2024-04-10 00:28:16,13.675,3886,1,0.8,0,0.00 | 0.00 | 0.00,0.28 | 0.29 | 0.29,6.92 | 7.01 | 7.14
2024-04-10 00:28:16,14.804,3886,1,0.8,3,0.00 | 0.10 | 0.40,0.28 | 0.37 | 0.62,3.22 | 5.40 | 7.04
2024-04-10 00:28:17,14.804,3886,1,0.8,3,0.00 | 0.10 | 0.40,0.28 | 0.37 | 0.62,3.22 | 5.40 | 7.04
2024-04-10 00:28:17,19.758,3886,1,0.8,3,0.00 | 0.24 | 0.40,0.01 | 0.27 | 0.62,3.22 | 7.31 | 285.71
2024-04-10 00:28:18,19.758,3886,1,0.8,3,0.00 | 0.24 | 0.40,0.01 | 0.27 | 0.62,3.22 | 7.31 | 285.71
2024-04-10 00:28:18,20.724,3886,1,0.8,3,0.00 | 0.14 | 0.28,0.01 | 0.20 | 0.33,6.06 | 9.95 | 285.71
2024-04-10 00:28:19,20.724,3886,1,0.8,3,0.00 | 0.14 | 0.28,0.01 | 0.20 | 0.33,6.06 | 9.95 | 285.71
2024-04-10 00:28:19,23.698,3886,1,0.8,3,0.00 | 0.23 | 0.36,0.01 | 0.30 | 0.69,2.89 | 6.71 | 285.71
2024-04-10 00:28:20,23.698,3886,1,0.8,3,0.00 | 0.23 | 0.36,0.01 | 0.30 | 0.69,2.89 | 6.71 | 285.71
2024-04-10 00:28:20,28.849,3886,1,0.8,3,0.28 | 0.28 | 0.29,0.02 | 0.08 | 0.16,12.20 | 24.24 | 90.91
2024-04-10 00:28:21,28.849,3886,1,0.8,3,0.28 | 0.28 | 0.29,0.02 | 0.08 | 0.16,12.20 | 24.24 | 90.91
2024-04-10 00:28:21,29.779,3886,1,0.8,3,0.28 | 0.30 | 0.34,0.02 | 0.14 | 0.41,4.89 | 13.91 | 90.91
2024-04-10 00:28:22,29.779,3886,1,0.8,3,0.28 | 0.30 | 0.34,0.02 | 0.14 | 0.41,4.89 | 13.91 | 90.91
2024-04-10 00:28:22,30.729,3886,1,0.8,3,0.28 | 0.30 | 0.34,0.02 | 0.18 | 0.41,4.89 | 11.14 | 90.91
2024-04-10 00:28:23,30.729,3886,1,0.8,3,0.28 | 0.30 | 0.34,0.02 | 0.18 | 0.41,4.89 | 11.14 | 90.91
2024-04-10 00:28:23,29.903,3886,1,0.8,3,0.28 | 0.30 | 0.34,0.02 | 0.18 | 0.41,4.89 | 11.14 | 90.91
