Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 00:32:53,0,647,0.4,1,0,,,
2024-04-10 00:32:53,0,3886,1,1,0,,,
2024-04-10 00:32:54,3.275,3886,1,1,0,0.00 | 0.17 | 0.35,0.41 | 0.55 | 0.70,2.87 | 3.62 | 4.88
2024-04-10 00:32:54,3.275,3886,1,1,0,0.00 | 0.17 | 0.35,0.41 | 0.55 | 0.70,2.87 | 3.62 | 4.88
2024-04-10 00:32:55,2.21,3886,1,0.4,0,0.00 | 0.17 | 0.35,0.41 | 0.55 | 0.70,2.87 | 3.62 | 4.88
2024-04-10 00:32:55,2.21,3886,1,0.4,0,0.00 | 0.17 | 0.35,0.41 | 0.55 | 0.70,2.87 | 3.62 | 4.88
2024-04-10 00:32:56,7.139,3886,1,0.4,0,0.00 | 0.15 | 0.29,0.21 | 0.37 | 0.54,3.72 | 5.38 | 9.66
2024-04-10 00:32:56,7.139,1904,0.8,0.4,0,0.00 | 0.15 | 0.29,0.21 | 0.37 | 0.54,3.72 | 5.38 | 9.66
2024-04-10 00:32:57,10.359,1904,0.8,1,0,0.00 | 0.07 | 0.29,0.21 | 0.30 | 0.35,5.73 | 6.60 | 9.66
2024-04-10 00:32:57,10.359,3886,1,1,0,0.00 | 0.07 | 0.29,0.21 | 0.30 | 0.35,5.73 | 6.60 | 9.66
2024-04-10 00:32:58,13.283,3886,1,1,0,0.00 | 0.00 | 0.00,0.31 | 0.35 | 0.40,5.00 | 5.79 | 6.49
2024-04-10 00:32:58,13.283,3886,1,1,0,0.00 | 0.00 | 0.00,0.31 | 0.35 | 0.40,5.00 | 5.79 | 6.49
2024-04-10 00:32:59,14.158,3886,1,1,0,0.00 | 0.00 | 0.00,0.30 | 0.34 | 0.40,5.00 | 5.90 | 6.71
2024-04-10 00:32:59,14.158,3886,1,1,0,0.00 | 0.00 | 0.00,0.30 | 0.34 | 0.40,5.00 | 5.90 | 6.71
2024-04-10 00:33:00,17.167,3886,1,1,0,0.00 | 0.16 | 0.37,0.14 | 0.32 | 0.46,4.36 | 6.30 | 14.18
2024-04-10 00:33:00,17.167,3886,1,1,0,0.00 | 0.16 | 0.37,0.14 | 0.32 | 0.46,4.36 | 6.30 | 14.18
2024-04-10 00:33:01,20.341,3886,1,1,0,0.00 | 0.25 | 0.37,0.14 | 0.31 | 0.46,4.36 | 6.36 | 14.18
2024-04-10 00:33:01,20.341,3886,1,1,0,0.00 | 0.25 | 0.37,0.14 | 0.31 | 0.46,4.36 | 6.36 | 14.18
2024-04-10 00:33:02,23.261,3886,1,1,0,0.00 | 0.26 | 0.41,0.00 | 0.23 | 0.37,5.38 | 8.88 | 1000.00
2024-04-10 00:33:02,23.261,3886,1,1,0,0.00 | 0.26 | 0.41,0.00 | 0.23 | 0.37,5.38 | 8.88 | 1000.00
2024-04-10 00:33:03,26.187,3886,1,1,0,0.27 | 0.33 | 0.41,0.00 | 0.15 | 0.33,6.13 | 13.72 | 1000.00
2024-04-10 00:33:03,26.187,3886,1,1,0,0.27 | 0.33 | 0.41,0.00 | 0.15 | 0.33,6.13 | 13.72 | 1000.00
2024-04-10 00:33:04,31.139,3886,1,1,0,0.28 | 0.33 | 0.39,0.01 | 0.08 | 0.16,12.58 | 24.24 | 400.00
2024-04-10 00:33:04,31.139,3886,1,1,0,0.28 | 0.33 | 0.39,0.01 | 0.08 | 0.16,12.58 | 24.24 | 400.00
2024-04-10 00:33:05,30.123,3886,1,1,0,0.28 | 0.33 | 0.39,0.01 | 0.08 | 0.16,12.58 | 24.24 | 400.00
2024-04-10 00:33:05,30.123,3886,1,1,0,0.28 | 0.33 | 0.39,0.01 | 0.08 | 0.16,12.58 | 24.24 | 400.00
2024-04-10 00:33:06,29.327,3886,1,1,0,0.28 | 0.33 | 0.39,0.01 | 0.08 | 0.16,12.58 | 24.24 | 400.00
2024-04-10 00:33:06,29.327,3886,1,1,0,0.28 | 0.33 | 0.39,0.01 | 0.08 | 0.16,12.58 | 24.24 | 400.00
2024-04-10 00:33:07,30.262,3886,1,0.8,0,0.28 | 0.32 | 0.39,0.01 | 0.17 | 0.36,5.48 | 11.75 | 400.00
2024-04-10 00:33:07,30.262,3886,1,0.8,0,0.28 | 0.32 | 0.39,0.01 | 0.17 | 0.36,5.48 | 11.75 | 400.00
2024-04-10 00:33:08,31.196,3886,1,0.8,0,0.28 | 0.33 | 0.39,0.01 | 0.21 | 0.36,5.48 | 9.52 | 400.00
2024-04-10 00:33:08,31.196,3886,1,0.8,0,0.28 | 0.33 | 0.39,0.01 | 0.21 | 0.36,5.48 | 9.52 | 400.00
2024-04-10 00:33:09,30.131,3886,1,0.8,0,0.28 | 0.33 | 0.39,0.01 | 0.21 | 0.36,5.48 | 9.52 | 400.00
2024-04-10 00:33:09,30.131,3886,1,0.8,0,0.28 | 0.33 | 0.39,0.01 | 0.21 | 0.36,5.48 | 9.52 | 400.00
2024-04-10 00:33:10,29.122,3886,1,0.8,0,0.28 | 0.31 | 0.35,0.15 | 0.30 | 0.38,5.33 | 6.61 | 13.16
2024-04-10 00:33:10,29.122,3886,1,0.8,0,0.28 | 0.31 | 0.35,0.15 | 0.30 | 0.38,5.33 | 6.61 | 13.16
2024-04-10 00:33:11,30.269,3886,1,0.8,0,0.28 | 0.31 | 0.35,0.15 | 0.30 | 0.38,5.33 | 6.61 | 13.16
2024-04-10 00:33:11,30.269,3886,1,1,0,0.28 | 0.31 | 0.35,0.15 | 0.30 | 0.38,5.33 | 6.61 | 13.16
2024-04-10 00:33:12,29.204,3886,1,1,0,0.28 | 0.31 | 0.35,0.15 | 0.30 | 0.38,5.33 | 6.61 | 13.16
2024-04-10 00:33:12,29.204,3886,1,1,0,0.28 | 0.31 | 0.35,0.15 | 0.30 | 0.38,5.33 | 6.61 | 13.16
2024-04-10 00:33:13,30.158,3886,1,1,0,0.27 | 0.29 | 0.30,0.32 | 0.40 | 0.55,3.66 | 4.99 | 6.29
2024-04-10 00:33:13,30.158,3886,1,1,0,0.27 | 0.29 | 0.30,0.32 | 0.40 | 0.55,3.66 | 4.99 | 6.29
2024-04-10 00:33:14,31.161,3886,1,1,0,0.27 | 0.28 | 0.30,0.15 | 0.35 | 0.55,3.66 | 5.75 | 13.16
2024-04-10 00:33:14,31.161,3886,1,1,0,0.27 | 0.28 | 0.30,0.15 | 0.35 | 0.55,3.66 | 5.75 | 13.16
2024-04-10 00:33:15,30.29,3886,1,1,0,0.27 | 0.28 | 0.30,0.15 | 0.35 | 0.55,3.66 | 5.75 | 13.16
2024-04-10 00:33:15,30.29,3886,1,1,0,0.27 | 0.28 | 0.30,0.15 | 0.35 | 0.55,3.66 | 5.75 | 13.16
2024-04-10 00:33:16,29.225,3886,1,1,0,0.27 | 0.28 | 0.30,0.15 | 0.35 | 0.55,3.66 | 5.75 | 13.16
2024-04-10 00:33:16,29.225,3886,1,1,0,0.27 | 0.28 | 0.30,0.15 | 0.35 | 0.55,3.66 | 5.75 | 13.16
2024-04-10 00:33:17,30.171,3886,1,1,0,0.27 | 0.28 | 0.30,0.15 | 0.45 | 0.75,2.68 | 4.40 | 13.16
2024-04-10 00:33:17,30.171,3886,1,1,0,0.27 | 0.28 | 0.30,0.15 | 0.45 | 0.75,2.68 | 4.40 | 13.16
2024-04-10 00:33:18,31.141,3886,1,1,0,0.27 | 0.28 | 0.28,0.15 | 0.44 | 0.75,2.68 | 4.51 | 13.16
2024-04-10 00:33:18,31.141,3886,1,1,0,0.27 | 0.28 | 0.28,0.15 | 0.44 | 0.75,2.68 | 4.51 | 13.16
2024-04-10 00:33:19,30.3,3886,1,1,0,0.27 | 0.28 | 0.28,0.15 | 0.44 | 0.75,2.68 | 4.51 | 13.16
2024-04-10 00:33:19,30.3,3886,1,1,0,0.27 | 0.28 | 0.28,0.15 | 0.44 | 0.75,2.68 | 4.51 | 13.16
2024-04-10 00:33:20,29.246,3886,1,1,0,0.27 | 0.28 | 0.28,0.15 | 0.44 | 0.75,2.68 | 4.51 | 13.16
2024-04-10 00:33:20,29.246,3886,1,1,0,0.27 | 0.28 | 0.28,0.15 | 0.44 | 0.75,2.68 | 4.51 | 13.16
2024-04-10 00:33:21,30.185,3886,1,1,0,0.27 | 0.28 | 0.30,0.15 | 0.44 | 0.75,2.68 | 4.51 | 13.16
2024-04-10 00:33:21,30.185,3886,1,1,0,0.27 | 0.28 | 0.30,0.15 | 0.44 | 0.75,2.68 | 4.51 | 13.16
2024-04-10 00:33:22,29.385,3886,1,1,0,0.27 | 0.28 | 0.30,0.15 | 0.44 | 0.75,2.68 | 4.51 | 13.16
2024-04-10 00:33:22,29.385,3886,1,1,0,0.27 | 0.28 | 0.30,0.15 | 0.44 | 0.75,2.68 | 4.51 | 13.16
2024-04-10 00:33:23,30.319,3886,1,1,0,0.28 | 0.28 | 0.30,0.33 | 0.51 | 0.75,2.68 | 3.96 | 6.04
2024-04-10 00:33:23,30.319,3886,1,1,0,0.28 | 0.28 | 0.30,0.33 | 0.51 | 0.75,2.68 | 3.96 | 6.04
2024-04-10 00:33:24,29.258,3886,1,1,0,0.28 | 0.28 | 0.30,0.33 | 0.51 | 0.75,2.68 | 3.96 | 6.04
2024-04-10 00:33:24,29.258,3886,1,1,0,0.28 | 0.28 | 0.30,0.33 | 0.51 | 0.75,2.68 | 3.96 | 6.04
2024-04-10 00:33:25,30.201,3886,1,1,0,0.28 | 0.29 | 0.30,0.33 | 0.46 | 0.55,3.62 | 4.37 | 6.04
2024-04-10 00:33:25,30.201,3886,1,1,0,0.28 | 0.29 | 0.30,0.33 | 0.46 | 0.55,3.62 | 4.37 | 6.04
2024-04-10 00:33:26,29.136,3886,1,1,0,0.28 | 0.29 | 0.30,0.33 | 0.46 | 0.55,3.62 | 4.37 | 6.04
2024-04-10 00:33:26,29.136,3886,1,1,0,0.28 | 0.29 | 0.30,0.33 | 0.46 | 0.55,3.62 | 4.37 | 6.04
2024-04-10 00:33:27,30.34,3886,1,1,0,0.27 | 0.28 | 0.30,0.36 | 0.46 | 0.55,3.62 | 4.31 | 5.57
2024-04-10 00:33:27,30.34,3886,1,1,0,0.27 | 0.28 | 0.30,0.36 | 0.46 | 0.55,3.62 | 4.31 | 5.57
2024-04-10 00:33:28,29.275,3886,1,1,0,0.27 | 0.28 | 0.30,0.36 | 0.46 | 0.55,3.62 | 4.31 | 5.57
2024-04-10 00:33:28,29.275,3886,1,1,0,0.27 | 0.28 | 0.30,0.36 | 0.46 | 0.55,3.62 | 4.31 | 5.57
2024-04-10 00:33:29,30.209,3886,1,1,0,0.27 | 0.27 | 0.28,0.36 | 0.42 | 0.55,3.62 | 4.76 | 5.57
2024-04-10 00:33:29,30.209,3886,1,1,0,0.27 | 0.27 | 0.28,0.36 | 0.42 | 0.55,3.62 | 4.76 | 5.57
2024-04-10 00:33:30,31.151,3886,1,1,0,0.27 | 0.27 | 0.28,0.36 | 0.41 | 0.55,3.62 | 4.86 | 5.57
2024-04-10 00:33:30,31.151,3886,1,1,0,0.27 | 0.27 | 0.28,0.36 | 0.41 | 0.55,3.62 | 4.86 | 5.57
2024-04-10 00:33:31,30.287,3886,1,1,0,0.27 | 0.27 | 0.28,0.36 | 0.41 | 0.55,3.62 | 4.86 | 5.57
2024-04-10 00:33:31,30.287,3886,1,1,0,0.27 | 0.27 | 0.28,0.36 | 0.41 | 0.55,3.62 | 4.86 | 5.57
2024-04-10 00:33:32,29.296,3886,1,1,0,0.27 | 0.27 | 0.28,0.36 | 0.41 | 0.55,3.62 | 4.86 | 5.57
2024-04-10 00:33:32,29.296,3886,1,1,0,0.27 | 0.27 | 0.28,0.36 | 0.41 | 0.55,3.62 | 4.86 | 5.57
2024-04-10 00:33:33,30.23,3886,1,1,0,0.27 | 0.27 | 0.27,0.36 | 0.46 | 0.75,2.66 | 4.34 | 5.57
2024-04-10 00:33:33,30.23,3886,1,1,0,0.27 | 0.27 | 0.27,0.36 | 0.46 | 0.75,2.66 | 4.34 | 5.57
2024-04-10 00:33:34,29.164,3886,1,1,0,0.27 | 0.27 | 0.27,0.36 | 0.46 | 0.75,2.66 | 4.34 | 5.57
2024-04-10 00:33:34,29.164,3886,1,1,0,0.27 | 0.27 | 0.27,0.36 | 0.46 | 0.75,2.66 | 4.34 | 5.57
2024-04-10 00:33:35,30.192,3886,1,1,0,0.27 | 0.28 | 0.30,0.32 | 0.45 | 0.75,2.66 | 4.43 | 6.23
2024-04-10 00:33:35,30.192,3886,1,1,0,0.27 | 0.28 | 0.30,0.32 | 0.45 | 0.75,2.66 | 4.43 | 6.23
2024-04-10 00:33:36,29.304,3886,1,1,0,0.27 | 0.28 | 0.30,0.32 | 0.45 | 0.75,2.66 | 4.43 | 6.23
2024-04-10 00:33:36,29.304,3886,1,1,0,0.27 | 0.28 | 0.30,0.32 | 0.45 | 0.75,2.66 | 4.43 | 6.23
2024-04-10 00:33:37,30.244,3886,1,1,0,0.27 | 0.28 | 0.30,0.32 | 0.50 | 0.75,2.66 | 4.02 | 6.23
2024-04-10 00:33:37,30.244,3886,1,1,0,0.27 | 0.28 | 0.30,0.32 | 0.50 | 0.75,2.66 | 4.02 | 6.23
