Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 00:36:27,3.215,3886,1,1,0,0.00 | 0.19 | 0.38,0.44 | 0.56 | 0.68,2.96 | 3.58 | 4.54
2024-04-10 00:36:28,3.215,3886,1,1,0,0.00 | 0.19 | 0.38,0.44 | 0.56 | 0.68,2.96 | 3.58 | 4.54
2024-04-10 00:36:28,4.239,3886,1,1,0,0.00 | 0.23 | 0.38,0.31 | 0.48 | 0.68,2.96 | 4.20 | 6.37
2024-04-10 00:36:29,4.239,3886,1,0.4,0,0.00 | 0.23 | 0.38,0.31 | 0.48 | 0.68,2.96 | 4.20 | 6.37
2024-04-10 00:36:29,9.173,647,0.4,0.4,0,0.00 | 0.07 | 0.30,0.31 | 0.33 | 0.35,5.75 | 6.13 | 6.37
2024-04-10 00:36:30,9.173,647,0.4,0.4,0,0.00 | 0.07 | 0.30,0.31 | 0.33 | 0.35,5.75 | 6.13 | 6.37
2024-04-10 00:36:30,10.288,1904,0.8,0.4,0,0.00 | 0.10 | 0.38,0.08 | 0.27 | 0.35,5.75 | 7.48 | 25.00
2024-04-10 00:36:31,10.288,3886,1,1,0,0.00 | 0.10 | 0.38,0.08 | 0.27 | 0.35,5.75 | 7.48 | 25.00
2024-04-10 00:36:31,11.239,3886,1,1,0,0.00 | 0.16 | 0.38,0.08 | 0.23 | 0.35,5.75 | 8.53 | 25.00
2024-04-10 00:36:32,11.239,3886,1,1,0,0.00 | 0.16 | 0.38,0.08 | 0.23 | 0.35,5.75 | 8.53 | 25.00
2024-04-10 00:36:32,14.258,3886,1,1,0,0.28 | 0.31 | 0.38,0.08 | 0.19 | 0.38,5.25 | 10.27 | 25.00
2024-04-10 00:36:33,14.258,1904,0.8,1,0,0.28 | 0.31 | 0.38,0.08 | 0.19 | 0.38,5.25 | 10.27 | 25.00
2024-04-10 00:36:33,17.192,3886,1,1,0,0.00 | 0.14 | 0.29,0.13 | 0.28 | 0.38,5.25 | 7.16 | 15.15
2024-04-10 00:36:34,17.192,3886,1,1,0,0.00 | 0.14 | 0.29,0.13 | 0.28 | 0.38,5.25 | 7.16 | 15.15
2024-04-10 00:36:34,20.247,3886,1,1,0,0.00 | 0.00 | 0.00,0.29 | 0.32 | 0.38,5.24 | 6.25 | 6.90
2024-04-10 00:36:35,20.247,3886,1,1,0,0.00 | 0.00 | 0.00,0.29 | 0.32 | 0.38,5.24 | 6.25 | 6.90
2024-04-10 00:36:35,21.3,3886,1,1,0,0.00 | 0.10 | 0.41,0.29 | 0.43 | 0.74,2.69 | 4.68 | 6.90
2024-04-10 00:36:36,21.3,3886,1,1,0,0.00 | 0.10 | 0.41,0.29 | 0.43 | 0.74,2.69 | 4.68 | 6.90
2024-04-10 00:36:36,26.204,3886,1,1,0,0.28 | 0.32 | 0.41,0.02 | 0.24 | 0.74,2.69 | 8.33 | 95.24
2024-04-10 00:36:37,26.204,3886,1,1,0,0.28 | 0.32 | 0.41,0.02 | 0.24 | 0.74,2.69 | 8.33 | 95.24
2024-04-10 00:36:37,27.201,3886,1,1,0,0.28 | 0.28 | 0.29,0.02 | 0.08 | 0.15,13.25 | 24.69 | 95.24
2024-04-10 00:36:38,27.201,3886,1,1,0,0.28 | 0.28 | 0.29,0.02 | 0.08 | 0.15,13.25 | 24.69 | 95.24
2024-04-10 00:36:38,30.222,3886,1,1,0,0.28 | 0.31 | 0.36,0.02 | 0.26 | 0.75,2.66 | 7.78 | 95.24
2024-04-10 00:36:39,30.222,3886,1,0.4,0,0.28 | 0.31 | 0.36,0.02 | 0.26 | 0.75,2.66 | 7.78 | 95.24
2024-04-10 00:36:39,29.34,3886,1,0.4,0,0.28 | 0.31 | 0.36,0.02 | 0.26 | 0.75,2.66 | 7.78 | 95.24
2024-04-10 00:36:40,29.34,3886,1,0.4,0,0.28 | 0.31 | 0.36,0.02 | 0.26 | 0.75,2.66 | 7.78 | 95.24
2024-04-10 00:36:40,30.294,3886,1,0.4,0,0.27 | 0.30 | 0.36,0.11 | 0.34 | 0.75,2.66 | 5.82 | 18.52
2024-04-10 00:36:41,30.294,3886,1,0.8,0,0.27 | 0.30 | 0.36,0.11 | 0.34 | 0.75,2.66 | 5.82 | 18.52
2024-04-10 00:36:41,29.224,3886,1,0.8,0,0.27 | 0.30 | 0.36,0.11 | 0.34 | 0.75,2.66 | 5.82 | 18.52
2024-04-10 00:36:42,29.224,3886,1,0.8,0,0.27 | 0.30 | 0.36,0.11 | 0.34 | 0.75,2.66 | 5.82 | 18.52
2024-04-10 00:36:42,30.159,3886,1,0.8,0,0.27 | 0.30 | 0.36,0.15 | 0.42 | 0.75,2.66 | 4.77 | 13.61
