id,time,buffer,bitrate,throughput
848,1712680909000,3.267,3886,7930.912
848,1712680909500,4.203,3886,7930.912
849,1712680910500,9.135,1093,2765.24
850,1712680911000,9.135,1904,9275.304
850,1712680911500,10.145,1904,9275.304
851,1712680912000,10.145,3886,20642.44
851,1712680912500,13.235,3886,20642.44
852,1712680913000,13.235,1904,11518.096
852,1712680913500,14.21,1904,11518.096
853,1712680914000,14.21,3886,23518.384
853,1712680914500,17.151,3886,23518.384
854,1712680915500,20.36,3886,22855.464
855,1712680916500,21.285,3886,27765.448
856,1712680917500,24.234,3886,15093.144
857,1712680918500,27.149,3886,478.168
858,1712680919500,30.117,3886,14093.4
859,1712680920000,30.117,3886,310.2
859,1712680920500,29.307,3886,310.2
860,1712680921500,30.242,3886,12990.248
861,1712680922500,31.148,3886,433.008
862,1712680923500,30.383,3886,5408.296
863,1712680924500,29.324,3886,6649.184
864,1712680925500,30.253,3886,4591.624
865,1712680926500,29.202,3886,331.784
866,1712680927500,30.137,3886,1205.672
867,1712680928000,30.137,3886,3155.84
867,1712680928500,31.192,3886,3155.84
868,1712680929500,30.282,3886,2793.872
869,1712680930000,30.282,3886,4698.592
869,1712680930500,29.21,3886,4698.592
870,1712680931500,30.145,3886,9892.112
871,1712680932500,29.348,3886,429.384
872,1712680933500,30.298,3886,3521.248
873,1712680934500,29.234,3886,6151.568
874,1712680935500,30.168,3886,10641.416
875,1712680936500,29.377,3886,336.728
876,1712680937500,30.311,3886,8964.576
877,1712680938500,29.241,3886,299.888
878,1712680939500,30.18,3886,7078.304
879,1712680940500,31.131,3886,613.024
880,1712680941500,30.334,3886,7135.936
881,1712680942500,29.263,3886,300.68
882,1712680943500,30.197,3886,5579.224
883,1712680944500,31.141,3886,2523.048
884,1712680945500,30.334,3886,5784.168
885,1712680946500,29.121,3886,295.224
886,1712680947500,30.218,3886,5044.728
887,1712680948500,31.151,3886,367.416
888,1712680949500,30.354,3886,3220.856
889,1712680950500,29.287,3886,2304.056
890,1712680951500,30.22,3886,5804.304
891,1712680952500,29.169,3886,346.768
892,1712680953500,30.375,3886,991.256
893,1712680954500,29.304,3886,4733.888
894,1712680955500,30.213,3886,4304.248
895,1712680956500,29.188,3886,4940.344
896,1712680957500,30.123,3886,8162.472
897,1712680958500,29.332,3886,293.456
898,1712680959500,30.156,3886,4050.792
899,1712680960500,29.199,3886,4869.04
900,1712680961500,30.129,3886,9991.536
901,1712680962500,29.334,3886,427.344
902,1712680963500,30.281,3886,3634.032
903,1712680964500,29.215,3886,4226.496
904,1712680965500,30.148,3886,9146.896
905,1712680966500,29.359,3886,288.504
906,1712680967500,30.292,3886,6887.216
907,1712680968500,29.221,3886,2718.112
908,1712680969500,30.176,3886,8292.592
909,1712680970500,29.373,3886,332.048
910,1712680971500,30.293,3886,7111.912
911,1712680972500,29.228,3886,3660.88
912,1712680973500,30.167,3886,14633.736
913,1712680974500,29.373,3886,12566.64
914,1712680975500,30.137,3886,18925.136
915,1712680976500,29.251,3886,433.712
916,1712680977500,30.19,3886,8096.16
917,1712680978500,29.119,3886,3504.656
919,1712680980000,30.324,3886,297.688
