Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 00:43:33,1.2,647,0.4,1,0,0.35 | 0.35 | 0.35,0.70 | 0.70 | 0.70,2.87 | 2.87 | 2.87
2024-04-10 00:43:33,4.224,3886,1,1,0,0.00 | 0.23 | 0.35,0.46 | 0.56 | 0.70,2.87 | 3.59 | 4.36
2024-04-10 00:43:34,4.224,3886,1,0.4,0,0.00 | 0.23 | 0.35,0.46 | 0.56 | 0.70,2.87 | 3.59 | 4.36
2024-04-10 00:43:34,3.157,3886,1,0.4,0,0.00 | 0.23 | 0.35,0.46 | 0.56 | 0.70,2.87 | 3.59 | 4.36
2024-04-10 00:43:35,3.157,3886,1,0.4,0,0.00 | 0.23 | 0.35,0.46 | 0.56 | 0.70,2.87 | 3.59 | 4.36
2024-04-10 00:43:35,8.241,1904,0.8,0.4,0,0.00 | 0.15 | 0.32,0.18 | 0.37 | 0.52,3.88 | 5.37 | 11.36
2024-04-10 00:43:36,8.241,1904,0.8,0.4,0,0.00 | 0.15 | 0.32,0.18 | 0.37 | 0.52,3.88 | 5.37 | 11.36
2024-04-10 00:43:36,13.145,3886,1,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.29 | 0.30,6.58 | 6.80 | 7.04
2024-04-10 00:43:37,13.145,3886,1,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.29 | 0.30,6.58 | 6.80 | 7.04
2024-04-10 00:43:37,12.231,3886,1,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.29 | 0.30,6.58 | 6.80 | 7.04
2024-04-10 00:43:38,12.231,3886,1,1,0,0.00 | 0.00 | 0.00,0.28 | 0.29 | 0.30,6.58 | 6.80 | 7.04
2024-04-10 00:43:38,15.172,3886,1,1,0,0.00 | 0.17 | 0.36,0.11 | 0.31 | 0.48,4.16 | 6.45 | 18.35
2024-04-10 00:43:39,15.172,3886,1,1,0,0.00 | 0.17 | 0.36,0.11 | 0.31 | 0.48,4.16 | 6.45 | 18.35
2024-04-10 00:43:39,20.265,3886,1,1,0,0.00 | 0.17 | 0.36,0.10 | 0.23 | 0.36,5.51 | 8.75 | 20.83
2024-04-10 00:43:40,20.265,3886,1,1,0,0.00 | 0.17 | 0.36,0.10 | 0.23 | 0.36,5.51 | 8.75 | 20.83
2024-04-10 00:43:40,25.185,3886,1,1,0,0.00 | 0.24 | 0.38,0.03 | 0.13 | 0.36,5.51 | 15.97 | 76.92
2024-04-10 00:43:41,25.185,3886,1,1,0,0.00 | 0.24 | 0.38,0.03 | 0.13 | 0.36,5.51 | 15.97 | 76.92
2024-04-10 00:43:41,28.255,3886,1,1,0,0.29 | 0.30 | 0.31,0.01 | 0.05 | 0.12,16.13 | 40.00 | 200.00
2024-04-10 00:43:42,28.255,3886,1,1,0,0.29 | 0.30 | 0.31,0.01 | 0.05 | 0.12,16.13 | 40.00 | 200.00
2024-04-10 00:43:42,31.174,3886,1,1,0,0.29 | 0.32 | 0.38,0.01 | 0.18 | 0.47,4.25 | 11.07 | 200.00
2024-04-10 00:43:43,31.174,3886,1,1,0,0.29 | 0.32 | 0.38,0.01 | 0.18 | 0.47,4.25 | 11.07 | 200.00
2024-04-10 00:43:43,30.249,3886,1,1,0,0.29 | 0.32 | 0.38,0.01 | 0.18 | 0.47,4.25 | 11.07 | 200.00
2024-04-10 00:43:44,30.249,3886,1,1,0,0.29 | 0.32 | 0.38,0.01 | 0.18 | 0.47,4.25 | 11.07 | 200.00
2024-04-10 00:43:44,29.313,3886,1,1,0,0.29 | 0.32 | 0.38,0.01 | 0.18 | 0.47,4.25 | 11.07 | 200.00
2024-04-10 00:43:45,29.313,3886,1,1,0,0.29 | 0.32 | 0.38,0.01 | 0.18 | 0.47,4.25 | 11.07 | 200.00
2024-04-10 00:43:45,30.254,3886,1,1,0,0.29 | 0.32 | 0.38,0.12 | 0.26 | 0.47,4.25 | 7.63 | 16.95
2024-04-10 00:43:46,30.254,3886,1,0.8,0,0.29 | 0.32 | 0.38,0.12 | 0.26 | 0.47,4.25 | 7.63 | 16.95
2024-04-10 00:43:46,29.185,3886,1,0.8,0,0.29 | 0.32 | 0.38,0.12 | 0.26 | 0.47,4.25 | 7.63 | 16.95
2024-04-10 00:43:47,29.185,3886,1,0.8,0,0.29 | 0.32 | 0.38,0.12 | 0.26 | 0.47,4.25 | 7.63 | 16.95
2024-04-10 00:43:47,30.19,3886,1,0.8,0,0.26 | 0.31 | 0.38,0.12 | 0.34 | 0.47,4.25 | 5.91 | 16.95
2024-04-10 00:43:48,30.19,3886,1,0.8,0,0.26 | 0.31 | 0.38,0.12 | 0.34 | 0.47,4.25 | 5.91 | 16.95
2024-04-10 00:43:48,29.335,3886,1,0.8,0,0.26 | 0.31 | 0.38,0.12 | 0.34 | 0.47,4.25 | 5.91 | 16.95
2024-04-10 00:43:49,29.335,3886,1,0.8,0,0.26 | 0.31 | 0.38,0.12 | 0.34 | 0.47,4.25 | 5.91 | 16.95
2024-04-10 00:43:49,30.266,3886,1,0.8,0,0.26 | 0.29 | 0.31,0.12 | 0.30 | 0.43,4.65 | 6.63 | 16.95
2024-04-10 00:43:50,30.266,3886,1,1,0,0.26 | 0.29 | 0.31,0.12 | 0.30 | 0.43,4.65 | 6.63 | 16.95
2024-04-10 00:43:50,29.201,3886,1,1,0,0.26 | 0.29 | 0.31,0.12 | 0.30 | 0.43,4.65 | 6.63 | 16.95
2024-04-10 00:43:51,29.201,3886,1,1,0,0.26 | 0.29 | 0.31,0.12 | 0.30 | 0.43,4.65 | 6.63 | 16.95
2024-04-10 00:43:51,30.137,3886,1,1,0,0.26 | 0.29 | 0.31,0.32 | 0.37 | 0.43,4.65 | 5.44 | 6.19
2024-04-10 00:43:52,30.137,3886,1,1,0,0.26 | 0.29 | 0.31,0.32 | 0.37 | 0.43,4.65 | 5.44 | 6.19
2024-04-10 00:43:52,29.34,3886,1,1,0,0.26 | 0.29 | 0.31,0.32 | 0.37 | 0.43,4.65 | 5.44 | 6.19
2024-04-10 00:43:53,29.34,3886,1,1,0,0.26 | 0.29 | 0.31,0.32 | 0.37 | 0.43,4.65 | 5.44 | 6.19
2024-04-10 00:43:53,30.258,3886,1,1,0,0.26 | 0.28 | 0.30,0.32 | 0.37 | 0.43,4.65 | 5.44 | 6.19
2024-04-10 00:43:54,30.258,3886,1,1,0,0.26 | 0.28 | 0.30,0.32 | 0.37 | 0.43,4.65 | 5.44 | 6.19
2024-04-10 00:43:54,29.222,3886,1,1,0,0.26 | 0.28 | 0.30,0.32 | 0.37 | 0.43,4.65 | 5.44 | 6.19
2024-04-10 00:43:55,29.222,3886,1,1,0,0.26 | 0.28 | 0.30,0.32 | 0.37 | 0.43,4.65 | 5.44 | 6.19
2024-04-10 00:43:55,30.162,3886,1,1,0,0.28 | 0.29 | 0.30,0.32 | 0.40 | 0.56,3.57 | 5.00 | 6.19
2024-04-10 00:43:56,30.162,3886,1,1,0,0.28 | 0.29 | 0.30,0.32 | 0.40 | 0.56,3.57 | 5.00 | 6.19
2024-04-10 00:43:56,29.361,3886,1,1,0,0.28 | 0.29 | 0.30,0.32 | 0.40 | 0.56,3.57 | 5.00 | 6.19
2024-04-10 00:43:57,29.361,3886,1,1,0,0.28 | 0.29 | 0.30,0.32 | 0.40 | 0.56,3.57 | 5.00 | 6.19
2024-04-10 00:43:57,30.299,3886,1,1,0,0.28 | 0.28 | 0.28,0.34 | 0.46 | 0.56,3.54 | 4.34 | 5.95
2024-04-10 00:43:58,30.299,3886,1,1,0,0.28 | 0.28 | 0.28,0.34 | 0.46 | 0.56,3.54 | 4.34 | 5.95
2024-04-10 00:43:58,29.24,3886,1,1,0,0.28 | 0.28 | 0.28,0.34 | 0.46 | 0.56,3.54 | 4.34 | 5.95
2024-04-10 00:43:59,29.24,3886,1,1,0,0.28 | 0.28 | 0.28,0.34 | 0.46 | 0.56,3.54 | 4.34 | 5.95
2024-04-10 00:43:59,30.178,3886,1,1,0,0.28 | 0.28 | 0.29,0.34 | 0.46 | 0.56,3.54 | 4.39 | 5.95
2024-04-10 00:44:00,30.178,3886,1,1,0,0.28 | 0.28 | 0.29,0.34 | 0.46 | 0.56,3.54 | 4.39 | 5.95
2024-04-10 00:44:00,31.202,3886,1,1,0,0.28 | 0.29 | 0.31,0.33 | 0.45 | 0.56,3.54 | 4.40 | 6.04
2024-04-10 00:44:01,31.202,3886,1,1,0,0.28 | 0.29 | 0.31,0.33 | 0.45 | 0.56,3.54 | 4.40 | 6.04
2024-04-10 00:44:01,30.199,3886,1,1,0,0.28 | 0.29 | 0.31,0.33 | 0.45 | 0.56,3.54 | 4.40 | 6.04
2024-04-10 00:44:02,30.199,3886,1,1,0,0.28 | 0.29 | 0.31,0.33 | 0.45 | 0.56,3.54 | 4.40 | 6.04
2024-04-10 00:44:02,29.262,3886,1,1,0,0.28 | 0.29 | 0.31,0.33 | 0.45 | 0.56,3.54 | 4.40 | 6.04
2024-04-10 00:44:03,29.262,3886,1,1,0,0.28 | 0.29 | 0.31,0.33 | 0.45 | 0.56,3.54 | 4.40 | 6.04
2024-04-10 00:44:03,30.188,3886,1,1,0,0.28 | 0.29 | 0.31,0.33 | 0.45 | 0.56,3.54 | 4.44 | 6.04
2024-04-10 00:44:04,30.188,3886,1,1,0,0.28 | 0.29 | 0.31,0.33 | 0.45 | 0.56,3.54 | 4.44 | 6.04
2024-04-10 00:44:04,31.194,3886,1,1,0,0.28 | 0.30 | 0.31,0.33 | 0.39 | 0.54,3.69 | 5.11 | 6.06
2024-04-10 00:44:05,31.194,3886,1,1,0,0.28 | 0.30 | 0.31,0.33 | 0.39 | 0.54,3.69 | 5.11 | 6.06
