id,time,direction,rx_bytes,rx_frames,rx_rate,rx_rate_frames,tx_bytes,tx_frames,tx_rate,tx_rate_frames,loss_frames,drop_frames,queue_bytes,queue_frames,modify_frames,reordered_frames,duplicated_frames,corruption_frames,background_rx_bytes,background_rx_frames,background_tx_bytes,background_tx_frames,background_tx_rate,background_drop_frames
1,2024-04-10 00:27:42,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2024-04-10 00:27:42,right,130,1,1040,1,130,1,1040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-04-10 00:27:43,left,1128,12,9024,12,1128,12,9024,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-04-10 00:27:43,right,2239,17,16872,16,2109,16,15832,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-04-10 00:27:44,left,3014,25,15088,13,1944,20,6528,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-04-10 00:27:44,right,3829,29,12720,12,3703,28,12752,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-04-10 00:27:45,left,5094,40,16640,15,4012,35,16544,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-04-10 00:27:45,right,5832,44,16024,15,5832,44,17032,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-04-10 00:27:46,left,5808,48,5712,8,5808,48,14368,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-04-10 00:27:46,right,7472,57,13120,13,7472,57,13120,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-04-10 00:27:47,left,7630,61,14576,13,6650,57,6736,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-04-10 00:27:47,right,9008,68,12288,11,9008,68,12288,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-04-10 00:27:48,left,9569,75,15512,14,9569,75,23352,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-04-10 00:27:48,right,12379,90,26968,22,11128,83,16960,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-04-10 00:27:49,left,11007,88,11504,13,10905,87,10688,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-04-10 00:27:49,right,14619,105,17920,15,14619,105,27928,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-04-10 00:27:50,left,11733,96,5808,8,11547,94,5136,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-04-10 00:27:50,right,16281,118,13296,13,16281,118,13296,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-04-10 00:27:51,left,13369,107,13088,11,12389,103,6736,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-04-10 00:27:51,right,18065,131,14272,13,17935,130,13232,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-04-10 00:27:52,left,14553,119,9472,12,14553,119,17312,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-04-10 00:27:52,right,19705,144,13120,13,19579,143,13152,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2024-04-10 00:27:53,left,16147,136,12752,17,16037,135,11872,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2024-04-10 00:27:53,right,21706,157,16008,13,21706,157,17016,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2024-04-10 00:27:54,left,21488,164,42728,28,20795,157,38064,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2024-04-10 00:27:54,right,31871,184,81320,27,31871,184,81320,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2024-04-10 00:27:55,left,24203,183,21720,19,23867,179,24576,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2024-04-10 00:27:55,right,35205,209,26672,25,35075,208,25632,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2024-04-10 00:27:56,left,25219,193,8128,10,24709,188,6736,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2024-04-10 00:27:56,right,36571,219,10928,10,36571,219,11968,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2024-04-10 00:27:57,left,27091,210,14976,17,26755,206,16368,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2024-04-10 00:27:57,right,38820,234,17992,15,38676,233,16840,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2024-04-10 00:27:58,left,28350,222,10072,12,27912,217,9256,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2024-04-10 00:27:58,right,40736,247,15328,13,40736,247,16480,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2024-04-10 00:27:59,left,30189,234,14712,12,28771,225,6872,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2024-04-10 00:27:59,right,42264,258,12224,11,42134,257,11184,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2024-04-10 00:28:00,left,31999,246,14480,12,30509,237,13904,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2024-04-10 00:28:00,right,43690,268,11408,10,43690,268,12448,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2024-04-10 00:28:01,left,33026,256,8216,10,32690,252,17448,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2024-04-10 00:28:01,right,45326,280,13088,12,45326,280,13088,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2024-04-10 00:28:02,left,34848,269,14576,13,33532,261,6736,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2024-04-10 00:28:02,right,46694,290,10944,10,46694,290,10944,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2024-04-10 00:28:03,left,35716,278,6944,9,35278,273,13968,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2024-04-10 00:28:03,right,48468,303,14192,13,48468,303,14192,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2024-04-10 00:28:04,left,36727,288,8088,10,36217,283,7512,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2024-04-10 00:28:04,right,50340,317,14976,14,49880,313,11296,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2024-04-10 00:28:05,left,38862,305,17080,17,38442,300,17800,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2024-04-10 00:28:05,right,55903,336,44504,19,55903,336,48184,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2024-04-10 00:28:06,left,46739,342,63016,37,45534,336,56736,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
