id,time,direction,rx_bytes,rx_frames,rx_rate,rx_rate_frames,tx_bytes,tx_frames,tx_rate,tx_rate_frames,loss_frames,drop_frames,queue_bytes,queue_frames,modify_frames,reordered_frames,duplicated_frames,corruption_frames,background_rx_bytes,background_rx_frames,background_tx_bytes,background_tx_frames,background_tx_rate,background_drop_frames
1,2024-04-10 22:51:48,left,600,6,4800,6,600,6,4800,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2024-04-10 22:51:48,right,1504,11,12032,11,1504,11,12032,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-04-10 22:51:49,left,1379,14,6232,8,1379,14,6232,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-04-10 22:51:49,right,3822,29,18544,18,3822,29,18544,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-04-10 22:51:50,left,2065,21,5488,7,2065,21,5488,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-04-10 22:51:50,right,5869,45,16376,16,5869,45,16376,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-04-10 22:51:51,left,3219,31,9232,10,3219,31,9232,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-04-10 22:51:51,right,7828,62,15672,17,7828,62,15672,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-04-10 22:51:52,left,5643,47,19392,16,5643,47,19392,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-04-10 22:51:52,right,10575,81,21976,19,10575,81,21976,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-04-10 22:51:53,left,7951,63,18464,16,7615,59,15776,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-04-10 22:51:53,right,12972,98,19176,17,12972,98,19176,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-04-10 22:51:54,left,8933,70,7856,7,8933,70,10544,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-04-10 22:51:54,right,15190,114,17744,16,15190,114,17744,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-04-10 22:51:55,left,10275,78,10736,8,10275,78,10736,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-04-10 22:51:55,right,17883,130,21544,16,16731,122,12328,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-04-10 22:51:56,left,11486,91,9688,13,11486,91,9688,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-04-10 22:51:56,right,18621,138,5904,8,18621,138,15120,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-04-10 22:51:57,left,15006,102,28160,11,15006,102,28160,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-04-10 22:51:57,right,20666,155,16360,17,20582,154,15688,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
