Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 23:13:18,3.627,1904,0.8,1,0,0.03 | 0.03 | 0.03,0.06 | 0.26 | 0.47,4.28 | 7.62 | 34.48
2024-04-10 23:13:19,3.627,3886,1,1,0,0.03 | 0.03 | 0.03,0.06 | 0.26 | 0.47,4.28 | 7.62 | 34.48
2024-04-10 23:13:19,6.74,3886,1,1,0,0.03 | 0.03 | 0.04,0.06 | 0.37 | 0.57,3.48 | 5.45 | 34.48
2024-04-10 23:13:20,6.74,1904,0.8,0.2,0,0.03 | 0.03 | 0.04,0.06 | 0.37 | 0.57,3.48 | 5.45 | 34.48
2024-04-10 23:13:20,9.668,1904,0.8,0.2,0,0.03 | 0.03 | 0.04,0.29 | 0.50 | 0.76,2.62 | 4.02 | 6.99
2024-04-10 23:13:21,9.668,1904,0.8,0.2,0,0.03 | 0.03 | 0.04,0.29 | 0.50 | 0.76,2.62 | 4.02 | 6.99
2024-04-10 23:13:21,12.607,3886,1,0.2,0,0.03 | 0.03 | 0.03,0.29 | 0.50 | 0.76,2.62 | 4.02 | 6.99
2024-04-10 23:13:22,12.607,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.29 | 0.50 | 0.76,2.62 | 4.02 | 6.99
2024-04-10 23:13:22,13.643,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.29 | 0.50 | 0.76,2.65 | 4.03 | 6.99
2024-04-10 23:13:23,13.643,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.29 | 0.50 | 0.76,2.65 | 4.03 | 6.99
2024-04-10 23:13:23,16.74,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.39 | 0.56 | 0.76,2.65 | 3.60 | 5.15
2024-04-10 23:13:24,16.74,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.39 | 0.56 | 0.76,2.65 | 3.60 | 5.15
2024-04-10 23:13:24,17.689,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.53 | 0.60 | 0.76,2.65 | 3.35 | 3.77
2024-04-10 23:13:25,17.689,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.53 | 0.60 | 0.76,2.65 | 3.35 | 3.77
2024-04-10 23:13:25,20.627,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.55 | 0.61 | 0.80,2.50 | 3.26 | 3.64
2024-04-10 23:13:26,20.627,3886,1,1,0,0.03 | 0.03 | 0.03,0.55 | 0.61 | 0.80,2.50 | 3.26 | 3.64
2024-04-10 23:13:26,19.835,3886,1,1,0,0.03 | 0.03 | 0.03,0.55 | 0.61 | 0.80,2.50 | 3.26 | 3.64
2024-04-10 23:13:27,19.835,3886,1,1,0,0.03 | 0.03 | 0.03,0.55 | 0.61 | 0.80,2.50 | 3.26 | 3.64
2024-04-10 23:13:27,20.611,3886,1,1,0,0.03 | 0.03 | 0.03,0.55 | 0.89 | 1.65,1.21 | 2.25 | 3.61
2024-04-10 23:13:28,20.611,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.55 | 0.89 | 1.65,1.21 | 2.25 | 3.61
2024-04-10 23:13:28,21.69,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.55 | 1.08 | 1.65,1.21 | 1.85 | 3.61
2024-04-10 23:13:29,21.69,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.55 | 1.08 | 1.65,1.21 | 1.85 | 3.61
2024-04-10 23:13:29,20.624,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.55 | 1.08 | 1.65,1.21 | 1.85 | 3.61
2024-04-10 23:13:30,20.624,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.55 | 1.08 | 1.65,1.21 | 1.85 | 3.61
2024-04-10 23:13:30,21.737,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.55 | 1.19 | 1.65,1.21 | 1.68 | 3.61
2024-04-10 23:13:31,21.737,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.55 | 1.19 | 1.65,1.21 | 1.68 | 3.61
2024-04-10 23:13:31,22.659,3886,1,0.8,0,0.03 | 0.03 | 0.03,1.25 | 1.39 | 1.65,1.21 | 1.43 | 1.59
2024-04-10 23:13:32,22.659,3886,1,0.8,0,0.03 | 0.03 | 0.03,1.25 | 1.39 | 1.65,1.21 | 1.43 | 1.59
2024-04-10 23:13:32,21.701,3886,1,0.8,0,0.03 | 0.03 | 0.03,1.25 | 1.39 | 1.65,1.21 | 1.43 | 1.59
2024-04-10 23:13:33,21.701,3886,1,0.8,0,0.03 | 0.03 | 0.03,1.25 | 1.39 | 1.65,1.21 | 1.43 | 1.59
2024-04-10 23:13:33,22.638,3886,1,0.8,0,0.03 | 0.03 | 0.03,1.25 | 1.36 | 1.50,1.33 | 1.47 | 1.59
2024-04-10 23:13:34,22.638,3886,1,1,0,0.03 | 0.03 | 0.03,1.25 | 1.36 | 1.50,1.33 | 1.47 | 1.59
2024-04-10 23:13:34,23.767,3886,1,1,0,0.03 | 0.03 | 0.03,1.25 | 1.39 | 1.50,1.33 | 1.44 | 1.59
2024-04-10 23:13:35,23.767,3886,1,1,0,0.03 | 0.03 | 0.03,1.25 | 1.39 | 1.50,1.33 | 1.44 | 1.59
2024-04-10 23:13:35,22.774,3886,1,1,0,0.03 | 0.03 | 0.03,1.25 | 1.39 | 1.50,1.33 | 1.44 | 1.59
2024-04-10 23:13:36,22.774,3886,1,1,0,0.03 | 0.03 | 0.03,1.25 | 1.39 | 1.50,1.33 | 1.44 | 1.59
2024-04-10 23:13:36,23.72,3886,1,1,0,0.03 | 0.03 | 0.03,1.35 | 1.46 | 1.54,1.30 | 1.37 | 1.48
2024-04-10 23:13:37,23.72,3886,1,1,0,0.03 | 0.03 | 0.03,1.35 | 1.46 | 1.54,1.30 | 1.37 | 1.48
2024-04-10 23:13:37,24.657,3886,1,1,0,0.03 | 0.03 | 0.03,1.27 | 1.44 | 1.54,1.30 | 1.39 | 1.58
2024-04-10 23:13:38,24.657,3886,1,1,0,0.03 | 0.03 | 0.03,1.27 | 1.44 | 1.54,1.30 | 1.39 | 1.58
2024-04-10 23:13:38,25.595,3886,1,1,0,0.03 | 0.03 | 0.03,1.27 | 1.41 | 1.54,1.30 | 1.42 | 1.58
2024-04-10 23:13:39,25.595,3886,1,1,0,0.03 | 0.03 | 0.03,1.27 | 1.41 | 1.54,1.30 | 1.42 | 1.58
2024-04-10 23:13:39,24.796,3886,1,1,0,0.03 | 0.03 | 0.03,1.27 | 1.41 | 1.54,1.30 | 1.42 | 1.58
2024-04-10 23:13:40,24.796,3886,1,1,0,0.03 | 0.03 | 0.03,1.27 | 1.41 | 1.54,1.30 | 1.42 | 1.58
2024-04-10 23:13:40,25.731,3886,1,1,0,0.03 | 0.03 | 0.03,1.11 | 1.33 | 1.54,1.30 | 1.51 | 1.80
2024-04-10 23:13:41,25.731,3886,1,1,0,0.03 | 0.03 | 0.03,1.11 | 1.33 | 1.54,1.30 | 1.51 | 1.80
2024-04-10 23:13:41,26.679,3886,1,1,0,0.03 | 0.03 | 0.03,1.11 | 1.30 | 1.41,1.42 | 1.54 | 1.80
2024-04-10 23:13:42,26.679,3886,1,1,0,0.03 | 0.03 | 0.03,1.11 | 1.30 | 1.41,1.42 | 1.54 | 1.80
2024-04-10 23:13:42,29.607,3886,1,1,0,0.03 | 0.03 | 0.03,0.51 | 0.91 | 1.41,1.42 | 2.21 | 3.93
2024-04-10 23:13:43,29.607,3886,1,1,0,0.03 | 0.03 | 0.03,0.51 | 0.91 | 1.41,1.42 | 2.21 | 3.93
2024-04-10 23:13:43,30.733,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.84 | 1.41,1.42 | 2.39 | 3.93
2024-04-10 23:13:44,30.733,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.84 | 1.41,1.42 | 2.39 | 3.93
2024-04-10 23:13:44,29.74,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.84 | 1.41,1.42 | 2.39 | 3.93
2024-04-10 23:13:45,29.74,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.84 | 1.41,1.42 | 2.39 | 3.93
2024-04-10 23:13:45,28.696,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.84 | 1.41,1.42 | 2.39 | 3.93
2024-04-10 23:13:46,28.696,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.84 | 1.41,1.42 | 2.39 | 3.93
2024-04-10 23:13:46,29.627,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.79 | 1.21,1.65 | 2.53 | 3.93
2024-04-10 23:13:47,29.627,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.79 | 1.21,1.65 | 2.53 | 3.93
2024-04-10 23:13:47,30.633,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.92 | 1.21,1.65 | 2.17 | 3.93
2024-04-10 23:13:48,30.633,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.92 | 1.21,1.65 | 2.17 | 3.93
2024-04-10 23:13:48,29.755,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.92 | 1.21,1.65 | 2.17 | 3.93
2024-04-10 23:13:49,29.755,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.92 | 1.21,1.65 | 2.17 | 3.93
2024-04-10 23:13:49,28.708,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.92 | 1.21,1.65 | 2.17 | 3.93
2024-04-10 23:13:50,28.708,3886,1,1,0,0.03 | 0.03 | 0.04,0.51 | 0.92 | 1.21,1.65 | 2.17 | 3.93
2024-04-10 23:13:50,29.635,3886,1,1,0,0.03 | 0.03 | 0.04,0.84 | 1.08 | 1.21,1.65 | 1.84 | 2.38
2024-04-10 23:13:51,29.635,3886,1,1,0,0.03 | 0.03 | 0.04,0.84 | 1.08 | 1.21,1.65 | 1.84 | 2.38
2024-04-10 23:13:51,28.582,3886,1,1,0,0.03 | 0.03 | 0.04,0.84 | 1.08 | 1.21,1.65 | 1.84 | 2.38
2024-04-10 23:13:52,28.582,3886,1,1,0,0.03 | 0.03 | 0.04,0.84 | 1.08 | 1.21,1.65 | 1.84 | 2.38
2024-04-10 23:13:52,29.591,3886,1,1,0,0.03 | 0.03 | 0.03,1.13 | 1.18 | 1.21,1.65 | 1.70 | 1.77
