id,time,buffer,bitrate,throughput
1312,1712762095000,1.701,1904,7179.224
1312,1712762095500,4.69,3886,7179.224
1313,1712762096500,5.731,3886,7007.56
1314,1712762097500,6.665,3886,7401.512
1315,1712762098500,9.747,3886,7527.152
1316,1712762099500,10.801,3886,7057.984
1317,1712762100500,11.741,3886,7827.152
1318,1712762101500,14.685,3886,8109.952
1319,1712762102500,15.886,3886,9275.536
1320,1712762103500,18.674,3886,8359.088
1321,1712762104500,17.767,3886,10721.792
1322,1712762105500,18.707,3886,10002.304
1323,1712762106500,17.903,3886,8072.448
1324,1712762107500,18.845,3886,11600.648
1325,1712762108500,19.78,3886,7605.184
1326,1712762109500,20.718,3886,8363.096
1327,1712762110500,21.645,3886,12516.16
1328,1712762111500,20.858,3886,8482.128
1329,1712762112500,21.662,3886,10720.488
1330,1712762113500,20.731,3886,7628.36
1331,1712762114500,21.676,3886,8846.104
1332,1712762115500,22.764,3886,10017.56
1333,1712762116500,21.806,3886,11668.416
1334,1712762117500,22.748,3886,8262.88
1335,1712762118500,23.682,3886,7620.12
1336,1712762119500,24.693,3886,9258.808
1337,1712762120500,25.82,3886,8776.896
1338,1712762121500,28.667,3886,299.416
1339,1712762122500,27.701,3886,7135.16
1340,1712762123500,28.904,3886,4681.128
1341,1712762124500,29.662,3886,7509.392
1342,1712762125500,28.78,3886,1650.008
1343,1712762126500,29.717,3886,6160.976
1344,1712762127500,30.655,3886,2176.064
1345,1712762128500,29.854,3886,5160.44
1346,1712762129500,30.746,3886,4710.2
1347,1712762130500,29.732,3886,5325.112
1348,1712762131500,30.67,3886,174.208
1349,1712762132500,29.868,3886,5609.84
1350,1712762133500,30.654,3886,1320.152
1351,1712762134500,29.753,3886,4224.736
1352,1712762135500,28.682,3886,13.776
1353,1712762136500,29.888,3886,5348.536
1354,1712762137500,30.815,3886,2869.24
1355,1712762138500,29.768,3886,3193.744
1356,1712762139500,30.695,3886,1157.368
1357,1712762140500,29.903,3886,4686.68
1358,1712762141500,30.83,3886,2878.464
1359,1712762142500,29.777,3886,5856.6
1360,1712762143500,30.648,3886,27.208
1361,1712762144500,29.643,3886,7848.64
1362,1712762145500,30.814,3886,3349.904
1363,1712762146500,29.796,3886,5919.792
1364,1712762147500,28.739,3886,33.296
1365,1712762148500,29.673,3886,6393.832
1366,1712762149500,30.842,3886,3628.368
1367,1712762150500,29.807,3886,7242.656
1368,1712762151500,28.749,3886,2379.416
1369,1712762152500,29.682,3886,6914.344
1370,1712762153500,30.642,3886,725.248
1371,1712762154500,29.817,3886,8178.536
1372,1712762155500,28.771,3886,890.768
1373,1712762156500,29.698,3886,8174.608
1374,1712762157500,28.901,3886,4325.008
1375,1712762158500,29.832,3886,6536.456
1376,1712762159500,28.78,3886,13.056
1377,1712762160500,29.722,3886,8810.888
1378,1712762161500,30.651,3886,14710.696
1379,1712762162500,29.853,3886,10143.12
1380,1712762163500,28.645,3886,11722.84
1382,1712762165000,27.729,3886,8605.624
