Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 03:32:38,3.03,1093,0.6,0.6,0,0.00 | 0.18 | 0.36,0.40 | 0.43 | 0.45,4.42 | 4.71 | 5.03
2024-04-10 03:32:39,3.03,3886,1,0.6,0,0.00 | 0.18 | 0.36,0.40 | 0.43 | 0.45,4.42 | 4.71 | 5.03
2024-04-10 03:32:39,3.961,3886,1,0.2,0,0.00 | 0.22 | 0.36,0.16 | 0.34 | 0.45,4.42 | 5.93 | 12.35
2024-04-10 03:32:40,3.961,3886,1,0.2,0,0.00 | 0.22 | 0.36,0.16 | 0.34 | 0.45,4.42 | 5.93 | 12.35
2024-04-10 03:32:40,6.905,3886,1,0.2,0,0.00 | 0.21 | 0.29,0.14 | 0.27 | 0.40,5.03 | 7.41 | 14.71
2024-04-10 03:32:41,6.905,3886,1,0.2,0,0.00 | 0.21 | 0.29,0.14 | 0.27 | 0.40,5.03 | 7.41 | 14.71
2024-04-10 03:32:41,9.914,3886,1,0.6,0,0.00 | 0.14 | 0.29,0.14 | 0.30 | 0.38,5.21 | 6.60 | 14.71
2024-04-10 03:32:42,9.914,3886,1,0.6,0,0.00 | 0.14 | 0.29,0.14 | 0.30 | 0.38,5.21 | 6.60 | 14.71
2024-04-10 03:32:42,14.89,3886,1,0.6,1,0.00 | 0.16 | 0.37,0.20 | 0.33 | 0.49,4.11 | 6.05 | 9.95
2024-04-10 03:32:43,14.89,3886,1,0.6,1,0.00 | 0.16 | 0.37,0.20 | 0.33 | 0.49,4.11 | 6.05 | 9.95
2024-04-10 03:32:43,17.985,3886,1,1,1,0.00 | 0.14 | 0.28,0.16 | 0.24 | 0.31,6.45 | 8.43 | 12.50
2024-04-10 03:32:44,17.985,3886,1,1,1,0.00 | 0.14 | 0.28,0.16 | 0.24 | 0.31,6.45 | 8.43 | 12.50
2024-04-10 03:32:44,22.922,3886,1,1,4,0.00 | 0.07 | 0.28,0.20 | 0.27 | 0.30,6.76 | 7.52 | 9.90
2024-04-10 03:32:45,22.922,3886,1,1,4,0.00 | 0.07 | 0.28,0.20 | 0.27 | 0.30,6.76 | 7.52 | 9.90
2024-04-10 03:32:45,25.914,3886,1,1,4,0.00 | 0.22 | 0.29,0.18 | 0.21 | 0.29,6.94 | 9.31 | 11.17
2024-04-10 03:32:46,25.914,3886,1,1,4,0.00 | 0.22 | 0.29,0.18 | 0.21 | 0.29,6.94 | 9.31 | 11.17
2024-04-10 03:32:46,27.059,3886,1,1,4,0.28 | 0.28 | 0.29,0.15 | 0.18 | 0.20,9.90 | 11.14 | 13.61
2024-04-10 03:32:47,27.059,3886,1,1,4,0.28 | 0.28 | 0.29,0.15 | 0.18 | 0.20,9.90 | 11.14 | 13.61
2024-04-10 03:32:47,29.989,3886,1,1,4,0.28 | 0.31 | 0.36,0.14 | 0.25 | 0.54,3.69 | 7.96 | 14.60
2024-04-10 03:32:48,29.989,3886,1,1,4,0.28 | 0.31 | 0.36,0.14 | 0.25 | 0.54,3.69 | 7.96 | 14.60
2024-04-10 03:32:48,30.937,3886,1,1,4,0.27 | 0.30 | 0.36,0.14 | 0.35 | 0.56,3.56 | 5.76 | 14.60
2024-04-10 03:32:49,30.937,3886,1,1,4,0.27 | 0.30 | 0.36,0.14 | 0.35 | 0.56,3.56 | 5.76 | 14.60
