Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 03:34:39,0,647,0.4,1,0,,,
2024-04-10 03:34:40,3.174,3886,1,1,0,0.00 | 0.18 | 0.37,0.37 | 0.52 | 0.67,2.98 | 3.84 | 5.41
2024-04-10 03:34:40,3.174,3886,1,1,0,0.00 | 0.18 | 0.37,0.37 | 0.52 | 0.67,2.98 | 3.84 | 5.41
2024-04-10 03:34:41,4.204,3886,1,1,0,0.00 | 0.21 | 0.37,0.37 | 0.48 | 0.67,2.98 | 4.20 | 5.41
2024-04-10 03:34:41,4.204,3886,1,0.4,0,0.00 | 0.21 | 0.37,0.37 | 0.48 | 0.67,2.98 | 4.20 | 5.41
2024-04-10 03:34:42,9.137,3886,1,0.4,2,0.00 | 0.22 | 0.33,0.03 | 0.23 | 0.39,5.17 | 8.59 | 60.61
2024-04-10 03:34:42,9.137,3886,1,0.4,2,0.00 | 0.22 | 0.33,0.03 | 0.23 | 0.39,5.17 | 8.59 | 60.61
2024-04-10 03:34:43,10.266,3886,1,0.4,3,0.00 | 0.25 | 0.38,0.03 | 0.26 | 0.48,4.15 | 7.80 | 60.61
2024-04-10 03:34:43,10.266,3886,1,1,3,0.00 | 0.25 | 0.38,0.03 | 0.26 | 0.48,4.15 | 7.80 | 60.61
2024-04-10 03:34:44,15.193,3886,1,1,3,0.00 | 0.23 | 0.38,0.01 | 0.25 | 0.48,4.15 | 8.04 | 200.00
2024-04-10 03:34:44,15.193,3886,1,1,3,0.00 | 0.23 | 0.38,0.01 | 0.25 | 0.48,4.15 | 8.04 | 200.00
2024-04-10 03:34:45,20.203,3886,1,1,3,0.00 | 0.10 | 0.41,0.09 | 0.24 | 0.31,6.45 | 8.27 | 22.99
2024-04-10 03:34:45,20.203,3886,1,1,3,0.00 | 0.10 | 0.41,0.09 | 0.24 | 0.31,6.45 | 8.27 | 22.99
2024-04-10 03:34:46,23.158,3886,1,1,3,0.00 | 0.24 | 0.41,0.00 | 0.15 | 0.31,6.45 | 13.68 | 500.00
2024-04-10 03:34:46,23.158,3886,1,1,3,0.00 | 0.24 | 0.41,0.00 | 0.15 | 0.31,6.45 | 13.68 | 500.00
2024-04-10 03:34:47,26.29,3886,1,1,3,0.28 | 0.30 | 0.35,0.00 | 0.16 | 0.30,6.60 | 12.76 | 500.00
2024-04-10 03:34:47,26.29,3886,1,1,3,0.28 | 0.30 | 0.35,0.00 | 0.16 | 0.30,6.60 | 12.76 | 500.00
2024-04-10 03:34:48,29.2,3886,1,1,3,0.29 | 0.33 | 0.36,0.01 | 0.12 | 0.30,6.60 | 16.33 | 285.71
2024-04-10 03:34:48,29.2,3886,1,1,3,0.29 | 0.33 | 0.36,0.01 | 0.12 | 0.30,6.60 | 16.33 | 285.71
2024-04-10 03:34:49,30.245,3886,1,1,3,0.29 | 0.33 | 0.36,0.01 | 0.07 | 0.14,14.71 | 28.17 | 285.71
2024-04-10 03:34:49,30.245,3886,1,1,3,0.29 | 0.33 | 0.36,0.01 | 0.07 | 0.14,14.71 | 28.17 | 285.71
2024-04-10 03:34:50,29.181,3886,1,1,3,0.29 | 0.33 | 0.36,0.01 | 0.07 | 0.14,14.71 | 28.17 | 285.71
2024-04-10 03:34:50,29.181,3886,1,1,3,0.29 | 0.33 | 0.36,0.01 | 0.07 | 0.14,14.71 | 28.17 | 285.71
2024-04-10 03:34:51,30.283,3886,1,1,3,0.27 | 0.33 | 0.36,0.01 | 0.13 | 0.38,5.33 | 15.30 | 285.71
2024-04-10 03:34:51,30.283,3886,1,1,3,0.27 | 0.33 | 0.36,0.01 | 0.13 | 0.38,5.33 | 15.30 | 285.71
2024-04-10 03:34:52,29.322,3886,1,1,3,0.27 | 0.33 | 0.36,0.01 | 0.13 | 0.38,5.33 | 15.30 | 285.71
2024-04-10 03:34:52,29.322,3886,1,1,3,0.27 | 0.33 | 0.36,0.01 | 0.13 | 0.38,5.33 | 15.30 | 285.71
2024-04-10 03:34:53,30.26,3886,1,1,3,0.27 | 0.32 | 0.36,0.01 | 0.27 | 0.61,3.26 | 7.33 | 285.71
2024-04-10 03:34:53,30.26,3886,1,1,3,0.27 | 0.32 | 0.36,0.01 | 0.27 | 0.61,3.26 | 7.33 | 285.71
2024-04-10 03:34:54,29.186,3886,1,1,3,0.27 | 0.32 | 0.36,0.01 | 0.27 | 0.61,3.26 | 7.33 | 285.71
2024-04-10 03:34:54,29.186,3886,1,1,3,0.27 | 0.32 | 0.36,0.01 | 0.27 | 0.61,3.26 | 7.33 | 285.71
2024-04-10 03:34:55,30.132,3886,1,1,3,0.27 | 0.30 | 0.35,0.10 | 0.40 | 0.61,3.26 | 5.03 | 20.62
2024-04-10 03:34:55,30.132,3886,1,1,3,0.27 | 0.30 | 0.35,0.10 | 0.40 | 0.61,3.26 | 5.03 | 20.62
2024-04-10 03:34:56,29.335,3886,1,1,3,0.27 | 0.30 | 0.35,0.10 | 0.40 | 0.61,3.26 | 5.03 | 20.62
2024-04-10 03:34:56,29.335,3886,1,1,3,0.27 | 0.30 | 0.35,0.10 | 0.40 | 0.61,3.26 | 5.03 | 20.62
2024-04-10 03:34:57,30.268,3886,1,1,3,0.27 | 0.28 | 0.31,0.35 | 0.46 | 0.61,3.26 | 4.34 | 5.70
