id,time,buffer,bitrate,throughput
10998,1712691062500,3.152,1093,11846.84
10998,1712691063000,3.152,3886,11846.84
10998,1712691063500,4.121,3886,11846.84
10999,1712691064000,4.121,3886,14642.936
10999,1712691064500,7.13,3886,14642.936
11000,1712691065500,10.125,3886,22761.768
11001,1712691066000,10.125,3886,33449.128
11001,1712691066500,15.184,3886,33449.128
11002,1712691067500,18.203,3886,33077.104
11003,1712691068500,23.147,3886,296.288
11004,1712691069500,28.241,3886,15858.784
11005,1712691070500,31.282,3886,433.56
11006,1712691071500,30.229,3886,6247.696
11007,1712691072500,31.167,3886,9201.704
11008,1712691073500,30.368,3886,14116.04
11009,1712691074500,29.313,3886,464.832
11010,1712691075500,30.245,3886,6512.128
11011,1712691076500,31.142,3886,6979.288
11012,1712691077500,30.126,3886,11688.584
11013,1712691078500,29.325,3886,295.0
11014,1712691079500,30.264,3886,4564.0
11015,1712691080500,31.192,3886,358.12
11016,1712691081500,30.125,3886,1545.832
11017,1712691082500,31.149,3886,3054.536
11018,1712691083500,30.159,3886,6830.136
11019,1712691084500,29.21,3886,463.664
11020,1712691085500,30.148,3886,2721.816
11021,1712691086500,31.125,3886,7683.192
11022,1712691087500,30.287,3886,9707.384
11023,1712691088500,29.234,3886,380.928
11024,1712691089500,30.168,3886,3307.712
11025,1712691090500,29.366,3886,7530.152
11026,1712691091500,30.299,3886,8856.736
11027,1712691092500,29.241,3886,421.112
11028,1712691093500,30.19,3886,1803.112
11029,1712691094500,29.121,3886,5891.552
11030,1712691095500,30.324,3886,7222.12
11031,1712691096500,29.257,3886,294.936
11032,1712691097500,30.201,3886,7021.128
11033,1712691098500,31.136,3886,1234.016
11034,1712691099500,30.34,3886,5759.648
11035,1712691100500,29.267,3886,284.48
11036,1712691101500,30.218,3886,222.912
11037,1712691102500,31.145,3886,4873.16
11038,1712691103500,30.35,3886,5715.16
11039,1712691104500,29.288,3886,13.136
11040,1712691105500,30.232,3886,5820.304
11041,1712691106500,31.159,3886,488.256
11042,1712691107500,30.362,3886,5704.432
11043,1712691108500,29.304,3886,289.328
11044,1712691109500,30.242,3886,5875.0
11045,1712691110500,31.182,3886,3086.872
11046,1712691111500,30.118,3886,8174.344
11047,1712691112500,29.321,3886,294.4
11048,1712691113500,30.259,3886,4235.16
11049,1712691114500,31.198,3886,5033.816
11050,1712691115500,30.134,3886,1191.16
11051,1712691116500,29.336,3886,9063.608
11052,1712691117500,30.283,3886,3064.688
11053,1712691118500,29.209,3886,4855.896
11054,1712691119500,30.153,3886,590.096
11055,1712691120500,29.344,3886,8705.576
11056,1712691121500,30.294,3886,9572.616
11057,1712691122500,29.226,3886,293.776
11058,1712691123500,30.172,3886,369.504
11059,1712691124500,31.319,3886,7980.976
11060,1712691125500,30.302,3886,10601.272
11061,1712691126500,29.244,3886,317.28
11062,1712691127500,30.183,3886,11222.544
11063,1712691128500,31.117,3886,16237.576
11064,1712691129500,30.318,3886,18733.416
11065,1712691130500,29.112,3886,694.512
11066,1712691131500,30.196,3886,9092.768
11068,1712691133000,31.126,3886,1095.848
