id,time,buffer,bitrate,throughput
1,0,0.6845238571428572,448.14285714285717,477.85714285714283
2,1,7.381249257142858,141.0,559.0
3,2,11.213916690476191,285.57142857142856,612.2857142857143
4,3,13.967579928571427,357.85714285714283,704.5714285714286
5,4,16.607086369047618,502.42857142857144,822.7142857142857
6,5,18.127636125000002,647.0,831.25
7,6,19.876693,647.0,962.8333333333334
8,7,20.192472305555555,885.7777777777778,1045.888888888889
9,8,20.73198612962963,746.1111111111111,1169.3333333333333
10,9,21.409867616666666,914.6,1459.4
11,10,21.0684772,736.2,1465.6
12,11,19.376794666666665,825.4,1136.4
13,12,19.91589288095238,1133.5714285714287,1453.7142857142858
14,13,19.62190675,1320.1,1569.0
15,14,19.430549516666666,1283.6,1656.3
16,15,19.93105014814815,1165.111111111111,1744.0
17,16,19.80032744047619,1365.2857142857142,1871.857142857143
18,17,18.200809449999998,1904.0,2124.6
19,18,18.749797989583335,1645.5,2016.625
20,19,18.88445546428571,1724.4285714285713,2232.714285714286
21,20,18.887888722222222,1768.8333333333333,2397.8333333333335
22,21,18.965278944444446,1559.3333333333333,2473.6666666666665
23,22,18.091921777777777,1694.5,2528.0
24,23,17.732709611111108,1904.0,2647.6666666666665
25,24,18.423956694444446,1904.0,2722.5
26,25,18.4252822,1904.0,3013.6
27,26,17.6247568,1904.0,3101.8
28,27,18.329791937499998,1904.0,3129.5
29,28,17.2150995,1904.0,3131.3333333333335
30,29,17.3779786,1904.0,3161.8
31,30,18.517288843750002,1904.0,3452.0
32,31,19.181262214285713,1904.0,3480.0
33,32,19.345175500000003,1904.0,3476.5714285714284
34,33,20.82622602380952,2753.4285714285716,3695.0
35,34,23.155184388888888,2895.0,3809.6666666666665
36,35,21.16784665,2102.2,3675.5
37,36,21.300659583333335,1904.0,3800.3333333333335
38,37,22.363905930555557,2234.3333333333335,3902.5
39,38,23.714621516666664,2696.8,3652.5
40,39,24.089056199999998,2300.4,4163.6
41,40,23.313220300000005,2300.4,3584.8
42,41,24.6416678,2498.6,4098.4
43,42,25.19866361904762,2470.285714285714,4393.571428571428
44,43,25.495837395833334,2647.25,4434.125
45,44,26.817343125,2151.75,4088.375
46,45,26.93173642857143,2470.285714285714,3979.285714285714
47,46,27.751037259259263,3115.222222222222,3461.777777777778
48,47,28.824695742424243,2174.2727272727275,3863.7272727272725
49,48,29.80895085714286,3602.8571428571427,3095.4285714285716
50,49,29.365603333333336,2564.6666666666665,3521.3333333333335
51,50,29.1452255,2344.4444444444443,1131.888888888889
52,51,29.685680750000007,2151.75,2500.625
53,52,29.87812390476191,3602.8571428571427,4707.285714285715
54,53,29.611454444444444,3886.0,4547.333333333333
55,54,29.733101944444442,2234.3333333333335,1244.0
56,55,29.798883604166665,1904.0,2944.625
57,56,29.790613250000003,3555.6666666666665,4864.166666666667
58,57,29.811599642857146,3319.714285714286,3232.714285714286
59,58,29.69590066666667,2187.1428571428573,2400.4285714285716
60,59,29.732473462962965,2564.6666666666665,1859.5555555555557
61,60,29.82975788095238,3886.0,3933.285714285714
62,61,28.530872976190476,3036.5714285714284,4315.285714285715
63,62,28.775705291666668,2151.75,1340.875
64,63,26.861523602182544,2234.3333333333335,2555.8333333333335
65,64,26.73204451587301,2828.9333333333334,4405.066666666667
66,65,26.580472636904766,2895.0,4106.571428571428
67,66,26.937476039682544,2696.8,2602.2
68,67,28.19995981593407,2971.230769230769,2130.6923076923076
69,68,27.878049897959183,3886.0,4135.857142857143
70,69,28.789687709183674,3886.0,4000.4285714285716
71,70,28.978639,3886.0,3255.0
72,73,21.83694825,3886.0,3873.5
73,74,21.223774119999998,3886.0,3687.4
74,75,20.353906470601853,3481.125,3536.375
75,76,20.94287301178451,2870.818181818182,2887.3636363636365
76,77,18.73118002330447,1987.4545454545455,3191.909090909091
77,78,19.171549004521406,1888.3636363636363,3057.5454545454545
78,79,17.3431555547913,1354.3333333333333,3039.222222222222
79,80,17.00401205456349,1589.125,2984.25
80,81,17.25258644591417,2294.3333333333335,2990.3333333333335
81,82,16.69028397624559,2257.1666666666665,2781.3333333333335
82,83,16.034665601190476,2148.785714285714,2407.214285714286
83,84,13.650901320286193,1694.909090909091,2614.909090909091
84,85,14.758208004208756,1781.4545454545455,2480.2727272727275
85,86,12.44236527662037,1694.0833333333333,2268.4166666666665
86,87,11.023432801994298,1620.1538461538462,2230.153846153846
87,88,11.577698942791004,1771.5714285714287,2045.2857142857142
88,89,12.137443336609685,1795.0,1850.7333333333333
89,90,11.672710133519614,1647.2307692307693,1570.3846153846155
90,91,10.517506739237099,1102.2222222222222,1619.111111111111
91,92,10.755401391666664,1137.8,1483.9
92,93,11.420422020022158,1282.4444444444443,1413.7777777777778
93,94,10.297805410414686,1192.3333333333333,1265.5555555555557
94,95,7.736383279609278,1249.4285714285713,1147.2857142857142
95,96,7.225445188685386,1249.4285714285713,1222.5714285714287
96,97,8.077602240618637,1648.4285714285713,1126.142857142857
97,98,8.728315781481479,1275.5,1101.1666666666667
98,99,8.930756141625963,1358.625,959.375
99,100,9.29431594714082,1295.375,890.125
100,101,8.382207376556774,1036.6,942.4
101,102,7.089070654456651,1214.6666666666667,967.3333333333334
102,103,7.458392681318678,1214.6666666666667,883.0
103,104,6.284762263736262,1214.6666666666667,709.3333333333334
104,105,6.266994551282049,1149.0,578.25
105,106,5.610590666666665,1022.5,482.5
106,107,5.332778000000005,141.0,393.0
107,109,4.520834499999999,141.0,402.0
108,110,2.3958340000000007,141.0,501.0
109,111,2.270329999999998,394.0,487.5
110,112,1.5826619999999991,309.6666666666667,467.6666666666667
111,113,1.7552086249999999,267.5,468.5
112,114,1.4166669999999992,309.6666666666667,468.3333333333333
113,115,3.1717778749999996,141.0,517.75
114,116,1.4444446666666646,141.0,593.6666666666666
115,117,5.247074999999995,141.0,642.0
116,118,1.0625001666666662,141.0,534.0
117,119,2.3881117999999986,242.2,619.4
118,120,7.451757900000001,242.2,754.0
119,121,4.61011957142857,141.0,690.7142857142857
120,122,7.717381214285713,285.57142857142856,889.2857142857143
121,123,7.04198907142857,141.0,906.1428571428571
122,124,6.103012599999998,141.0,904.4
123,125,7.581856999999999,141.0,876.0
124,126,5.763392999999998,141.0,525.3333333333334
125,127,9.602699928571425,502.42857142857144,1154.0
126,128,8.069443266666664,577.8,1134.0
127,129,6.360643611111108,309.6666666666667,983.5
128,130,10.59186693402778,741.0833333333334,1363.8333333333333
129,131,10.970352614583335,670.125,1548.875
130,132,10.05250460833333,712.2,1519.8
131,133,11.142874562499998,805.3,1476.9
132,134,11.322283379629624,863.4444444444445,1603.6666666666667
133,135,12.136260979166662,804.3333333333334,1700.5
134,136,11.415512266666664,898.4,1761.2
135,137,12.825324027777775,1140.3333333333333,1611.3333333333333
136,138,13.361949404761903,1468.857142857143,2063.0
137,139,15.982599250000003,1589.75,2252.5
138,140,14.398650489583336,1174.125,2237.0
139,141,14.624725964285712,2111.1428571428573,2515.1428571428573
140,142,12.279428874999994,1387.0,2453.0
141,143,14.234494100000001,1995.8,2192.0
142,144,16.42988571875,2320.625,2693.875
143,145,15.722740812500001,1860.0,2679.375
144,146,19.12254917857143,2573.8571428571427,2855.714285714286
145,147,20.054798928571422,2290.714285714286,3019.8571428571427
146,148,16.012079416666662,2054.8333333333335,2805.5
147,149,18.554244916666665,2508.2,3189.5
148,150,22.412441886363634,2534.6363636363635,3257.818181818182
149,151,21.630569120833332,2120.2,3526.3
150,152,24.782481500000003,3041.375,3424.125
151,153,22.13971180357143,2328.714285714286,3684.5714285714284
152,154,19.050001099999996,2300.4,3585.2
153,155,24.244182812499997,2895.0,3872.5
154,156,25.333181611111105,3225.3333333333335,3947.1666666666665
155,157,27.226832866666655,3489.6,4118.6
156,158,24.850270399999992,2696.8,4081.2
157,159,24.863975305555556,2494.8333333333335,3303.6666666666665
158,160,21.2916676,3093.2,3888.8
159,161,24.7913705,2753.4285714285716,4119.428571428572
160,162,24.017730874999998,3390.5,4153.25
161,163,26.0791608125,3266.625,4466.875
162,164,27.761326285714283,3319.714285714286,4079.714285714286
163,165,26.83680608333333,3225.3333333333335,3783.0
164,166,28.130208937499997,3142.75,3322.0
165,167,27.192199805555557,3335.4444444444443,4477.777777777777
166,168,26.59719971428572,3319.714285714286,4579.857142857143
167,169,29.103827749999997,3390.5,4687.333333333333
168,170,29.358333599999998,3886.0,4484.0
169,171,29.287349887205387,3665.777777777778,3975.6666666666665
170,172,29.234127130303033,3489.6,4378.1
171,173,29.437133309764313,3886.0,4102.333333333333
172,174,29.484412772727275,3291.4,4568.9
173,175,29.64138111111111,3886.0,4261.111111111111
174,176,29.938381011111108,3060.1666666666665,3448.0
175,177,30.0388624875,3390.5,3854.0
176,178,30.0,3886.0,4474.555555555556
177,179,30.034091,3795.909090909091,4069.2727272727275
178,180,29.15808533224034,3581.076923076923,3954.153846153846
179,181,29.11518836382488,3687.8,4120.9
180,182,29.498294281336406,3428.6153846153848,3938.6153846153848
181,183,29.479749408540705,3489.6,3725.266666666667
182,184,29.634460661449836,3428.6153846153848,3434.6923076923076
183,185,29.73940280311946,3352.3846153846152,3590.3076923076924
184,186,29.877998581265505,3581.076923076923,2931.153846153846
185,187,30.044019081029187,3555.6666666666665,3034.3333333333335
186,188,30.0,3555.6666666666665,3215.3333333333335
187,189,30.0,3581.076923076923,3211.6923076923076
188,190,29.990384666666667,3428.6153846153848,2870.153846153846
189,191,29.966666755555554,3357.4666666666667,2884.0666666666666
190,192,30.036111199999997,3489.6,2528.6
191,193,30.03472230555555,3555.6666666666665,3121.3333333333335
192,194,30.027777861111115,3555.6666666666665,2699.0833333333335
193,195,30.0156250625,3700.1875,2733.125
194,196,30.0,3744.4285714285716,2459.0
195,197,29.988553863636366,3345.4545454545455,2777.090909090909
196,198,29.99702385714286,3744.4285714285716,1905.642857142857
197,199,30.022435961538463,3886.0,2583.153846153846
198,200,30.0500001,3687.8,2094.9
199,201,29.989507708333335,3720.8333333333335,1935.0
200,202,29.982487583333334,3555.6666666666665,1500.75
201,203,30.00518329166667,3720.8333333333335,1803.3333333333333
202,204,30.01190485714286,3886.0,2148.1428571428573
203,205,29.943452500000003,3602.8571428571427,2213.1428571428573
204,206,29.965252875,3390.5,1781.5
205,207,29.9837295,3555.6666666666665,2287.0
206,208,30.006844166666667,3555.6666666666665,2115.1666666666665
207,209,30.0,3886.0,2178.6666666666665
208,210,29.77799041666667,3886.0,777.5
209,211,29.47699411111111,2564.6666666666665,1299.3333333333333
210,212,29.9244635,3886.0,1982.0
