id,time,direction,rx_bytes,rx_frames,rx_rate,rx_rate_frames,tx_bytes,tx_frames,tx_rate,tx_rate_frames,loss_frames,drop_frames,queue_bytes,queue_frames,modify_frames,reordered_frames,duplicated_frames,corruption_frames,background_rx_bytes,background_rx_frames,background_tx_bytes,background_tx_frames,background_tx_rate,background_drop_frames
1,2024-04-11 23:50:22,left,90,1,720,1,90,1,720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2024-04-11 23:50:22,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-04-11 23:50:23,left,270,3,1440,2,270,3,1440,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-04-11 23:50:23,right,228,2,1824,2,228,2,1824,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-04-11 23:50:24,left,540,6,2160,3,540,6,2160,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-04-11 23:50:24,right,228,2,0,0,228,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-04-11 23:50:25,left,1606,14,8528,8,1606,14,8528,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-04-11 23:50:25,right,835,5,4856,3,835,5,4856,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-04-11 23:50:26,left,1966,18,2880,4,1966,18,2880,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-04-11 23:50:26,right,1296,6,3688,1,1296,6,3688,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-04-11 23:50:27,left,3735,31,14152,13,3735,31,14152,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-04-11 23:50:27,right,3623,14,18616,8,3623,14,18616,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-04-11 23:50:28,left,13262,118,76216,87,13262,118,76216,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-04-11 23:50:28,right,149189,113,1164528,99,121505,95,943056,81,0,18,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-04-11 23:50:29,left,19476,169,49712,51,19476,169,49712,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-04-11 23:50:29,right,273653,202,995712,89,232177,175,885376,80,0,19,12254,8,0,0,0,0,0,0,0,0,0,0
9,2024-04-11 23:50:30,left,28754,228,74224,59,28754,228,74224,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-04-11 23:50:30,right,350126,277,611784,75,317087,255,679280,80,0,19,3817,3,0,0,0,0,0,0,0,0,0,0
10,2024-04-11 23:50:31,left,37332,280,68624,52,37332,280,68624,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-04-11 23:50:31,right,412226,341,496800,64,381922,321,518680,66,0,20,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-04-11 23:50:32,left,47226,346,79152,66,47226,346,79152,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-04-11 23:50:32,right,508978,426,774016,85,464748,396,662608,75,0,20,13926,10,0,0,0,0,0,0,0,0,0,0
