id,time,direction,rx_bytes,rx_frames,rx_rate,rx_rate_frames,tx_bytes,tx_frames,tx_rate,tx_rate_frames,loss_frames,drop_frames,queue_bytes,queue_frames,modify_frames,reordered_frames,duplicated_frames,corruption_frames,background_rx_bytes,background_rx_frames,background_tx_bytes,background_tx_frames,background_tx_rate,background_drop_frames
1,1712850622000,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1712850623000,right,228,2,1824,2,228,2,1824,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1712850624000,right,228,2,0,0,228,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1712850625000,right,835,5,4856,3,835,5,4856,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1712850626000,right,1296,6,3688,1,1296,6,3688,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1712850627000,right,3623,14,18616,8,3623,14,18616,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1712850628000,right,149189,113,1164528,99,121505,95,943056,81,0,18,0,0,0,0,0,0,0,0,0,0,0,0
8,1712850629000,right,273653,202,995712,89,232177,175,885376,80,0,19,12254,8,0,0,0,0,0,0,0,0,0,0
9,1712850630000,right,350126,277,611784,75,317087,255,679280,80,0,19,3817,3,0,0,0,0,0,0,0,0,0,0
10,1712850631000,right,412226,341,496800,64,381922,321,518680,66,0,20,0,0,0,0,0,0,0,0,0,0,0,0
11,1712850632000,right,508978,426,774016,85,464748,396,662608,75,0,20,13926,10,0,0,0,0,0,0,0,0,0,0
12,1712850633000,right,594979,491,688008,65,549211,460,675704,64,0,21,13926,10,0,0,0,0,0,0,0,0,0,0
13,1712850634000,right,674300,551,634568,60,628251,520,632320,60,0,22,12669,9,0,0,0,0,0,0,0,0,0,0
14,1712850635000,right,747990,607,589520,56,699230,575,567832,55,0,22,15380,10,0,0,0,0,0,0,0,0,0,0
15,1712850636000,right,813211,650,521768,43,768440,620,553680,45,0,23,9853,7,0,0,0,0,0,0,0,0,0,0
16,1712850637000,right,879146,702,527480,52,828848,669,483264,49,0,24,13842,9,0,0,0,0,0,0,0,0,0,0
17,1712850638000,right,933177,740,432248,38,889377,711,484232,42,0,24,7344,5,0,0,0,0,0,0,0,0,0,0
18,1712850639000,right,991280,786,464824,46,942520,754,425144,43,0,24,12304,8,0,0,0,0,0,0,0,0,0,0
19,1712850640000,right,1046958,825,445424,39,996576,791,432448,37,0,25,12388,9,0,0,0,0,0,0,0,0,0,0
20,1712850641000,right,1101675,866,437736,41,1047740,828,409312,37,0,26,14403,12,0,0,0,0,0,0,0,0,0,0
21,1712850642000,right,1152695,902,408160,36,1099237,866,411976,38,0,26,13926,10,0,0,0,0,0,0,0,0,0,0
22,1712850643000,right,1200937,939,385936,37,1148765,901,396224,35,0,27,11102,11,0,0,0,0,0,0,0,0,0,0
