id,time,buffer,bitrate,throughput
1,0,2.7622,332.2,598.128
2,1,5.1866,142,1105.1776
3,2,5.5114,142,1150.928
4,3,9.1266,142,1535.3504
5,4,10.127,243,1627.9648
6,5,11.45,226.1666667,1973.698667
7,6,13.509,243,1262.9664
8,7,13.9588,243,1379.6192
9,8,17.3384,243,1357.3792
10,9,17.768,268.25,1196.796
11,10,17.127,226.1666667,1946.785333
12,11,16.625,243,1715.6432
13,12,16.9752,344,2136.1056
14,13,16.877,344,2190.7056
15,14,17.63533333,553,2292.681333
16,15,18.083,736.2,2336.2192
17,16,17.3304,736.2,2398.7008
18,17,18.23733333,721.3333333,2398.396
19,18,18.7428,736.2,2519.1024
20,19,18.784,758.5,2576.16
21,20,19.59228571,838.1428571,2671.718857
22,21,19.99528571,965.5714286,2692.643429
23,22,20.24766667,1093,2681.965333
24,23,20.5722,1093,2446.7936
25,24,20.818,1093,2926.632
26,25,22.27333333,1228.166667,3113.473333
27,26,22.453,1417.4,3077.0256
28,27,24.5122,1417.4,3151.2512
29,28,24.7782,1904,3202.4
30,29,25.7672,1904,3285.6784
31,30,26.091,1904,2678.048
32,31,26.5364,1904,3057.9424
33,32,27.03171429,1904,2933
34,33,26.9938,1904,3345.9936
35,34,27.9376,1904,1523.5792
36,35,28.9292,1904,1443.0784
37,36,29.22183333,1904,1588.618667
38,37,29.789,1904,1143.54
39,38,29.967,1904,1725.9888
40,39,29.8014,1904,1012.2496
41,40,29.5708,1904,1457.704
42,41,29.954,1904,1228.518667
43,42,30.1912,1904,1656.504
44,43,30.32325,1904,2526.224
45,44,30.327,2300.4,1817.8016
46,45,29.779,2300.4,1634.6544
47,46,30.31766667,2564.666667,3223.068
48,47,29.3394,3093.2,3655.5744
49,48,29.9222,3093.2,3554.76
50,49,29.22266667,3886,2244.569333
51,50,29.3804,3886,3619.2576
52,51,29.1622,3886,3112.0288
53,52,29.28683333,3886,2952.133333
54,53,29.1604,3886,3689.3664
55,54,28.91314286,3886,4172.585143
56,55,29.28375,3886,3673.13
57,56,29.264,3886,4541.202
58,57,28.2985,3886,4809.066
59,58,28.7502,3886,3793.3168
60,59,29.25,3886,4389.006
61,60,28.98033333,3886,3376.104
62,61,29.3298,3886,2985.0848
63,62,28.8276,3886,3792.0256
64,63,29.1826,3886,3628.504
65,64,28.9452,3886,3635.5552
66,65,29.09633333,3886,3002.516
67,66,28.7006,3886,3533.3632
68,67,28.372,3886,3377.6384
69,68,28.1678,3489.6,3410.3504
70,69,27.6258,2696.8,3846.128
71,70,26.76166667,2234.333333,3112.866667
72,71,26.2895,2234.333333,3374.54
73,72,25.7474,1904,3272.9232
74,73,25.6496,1904,3207.8448
75,74,25.1742,1904,3132.6976
76,75,25.3408,1904,3067.6784
77,76,25.0174,1904,2999.7088
78,77,25.34416667,1904,2874.441333
79,78,24.7754,1904,2856.3104
80,79,25.25925,1904,2807.046
81,80,25.60316667,1904,2509.230667
82,81,24.756,1904,2574.796
83,82,25.29583333,1904,2628.338667
84,83,24.5394,1904,2497.5904
85,84,24.4038,1904,2434.4304
86,85,23.7742,1904,2360.968
87,86,23.5504,1904,2304.0128
88,87,22.9546,1741.8,2222.8656
89,88,22.3674,1579.6,2159.296
90,89,21.3596,1579.6,1982.9216
91,90,20.4342,1579.6,2031.6688
92,91,19.7728,1239,1581.2992
93,92,19.2152,1239,1096.5136
94,93,19.4074,736.2,1543.8128
95,94,18.8316,736.2,1101.4192
96,95,17.93783333,721.3333333,1447.098667
97,96,17.617,702.75,1132.462
98,97,17.31925,758.5,928.696
99,98,15.9408,736.2,685.2672
100,99,14.9838,736.2,1245.7472
101,100,14.287,721.3333333,813.7613333
102,101,13.84785714,574.8571429,813.3474286
103,102,13.3436,546,1466.1136
104,103,12.4402,445,539.1104
105,104,12.3542,445,1398.7872
106,105,11.402,445,1389.1184
107,106,10.7634,445,905.5168
108,107,10.2304,445,1356.1872
109,108,9.1728,445,885.8448
110,109,7.982,478.6666667,1869.473333
111,110,7.7938,344,1335.0384
112,111,7.6334,344,885.7968
113,112,7.0244,344,1295.272
114,113,6.7882,142,1320.5248
115,114,6.6062,142,1355.6944
116,115,7.38625,142,504.83
117,116,7.24725,142,534.756
118,117,7.3275,142,559.836
119,118,6.779,142,1027.0496
120,119,7.84975,142,670.114
121,120,6.719833333,142,2033.270667
122,121,6.8066,142,1507.3264
123,122,7.3608,142,1564.6128
124,123,6.7636,142,1619.7088
125,124,6.4466,142,1682.7648
126,125,6.735166667,142,2143.045333
127,126,9.659,226.1666667,1606.757333
128,127,8.7646,243,1756.7008
129,128,10.1804,243,1631.2256
130,129,12.441,268.25,1445.836
131,130,12.03133333,226.1666667,2283.18
132,131,13.0888,243,2047.4544
133,132,13.069,344,2020.1504
134,133,14.7818,445,2190.4096
135,134,16.2965,721.3333333,2238.308
136,135,18.3308,736.2,2030.336
137,136,21.4086,825.4,2129.376
138,137,23.83255556,993.8888889,1674.845333
139,138,25.997,1093,1463.624
140,139,28.04875,1093,811.612
141,140,28.58433333,1093,1405.996
142,141,28.9945,1093,752.328
143,142,28.5615,1228.166667,1212.066667
144,143,29.4896,1255.2,2623.1088
145,144,28.8998,1417.4,1342.8448
146,145,28.92783333,1363.333333,2150.172
147,146,28.90885714,1672.285714,2670.933714
148,147,29.5202,1904,2793.7136
149,148,29.6734,1904,3221.4288
150,149,29.027,1904,3111.5456
151,150,28.844,1904,2620.9936
152,151,29.0176,1904,2465.176
153,152,28.5224,1904,1331.8384
154,153,29.0354,1904,1722.8288
155,154,29.2052,1904,881.8832
156,155,29.7844,1904,1751.5664
157,156,29.92,1904,900.3773333
158,157,31.04875,1904,1371.76
159,158,30.0532,1904,380.416
160,159,30.187,1904,1499.128
161,160,30.081,1904,547.9664
162,161,30.93816667,1904,1388.489333
163,162,29.8676,1904,947.4976
164,163,30.94975,1904,2114.68
165,164,30.094,2300.4,539.5952
166,165,30.2856,2300.4,2424.0496
167,166,29.99183333,2895,1082.961333
168,167,30.594,3093.2,2793.5744
169,168,30.01171429,3319.714286,395.8857143
170,169,29.8665,3886,1949.928
171,170,29.902,3886,1765.192
172,171,30.0074,3886,3042.5008
173,172,29.778,3886,925.368
174,173,29.329,3886,2676.4256
175,174,29.8598,3886,1323.008
176,175,29.01175,3886,3625.278
177,176,29.94925,3886,1406.164
178,177,29.5845,3886,3154.602
179,178,30.034,3886,1742.0496
180,179,29.49875,3886,3531.616
181,180,29.88516667,3886,1002.469333
182,181,29.1224,3886,2479.3392
183,182,30.1084,3886,927.944
184,183,29.628,3886,2449.6784
185,184,29.8466,3886,594.8032
