id,time,buffer,bitrate,throughput
1,0,1.00500825,565.625,519.125
2,1,6.307482095,277,959
3,2,10.26058315,676,923.7142857
4,3,13.68021863,213.2857143,479.8571429
5,4,16.56185185,485.25,1004.75
6,5,17.5462647,1077.25,1547.375
7,6,21.10051469,497.75,1102.625
8,7,23.11780409,141,650.5
9,8,24.67771206,624.25,1264.125
10,9,24.67372367,603.5,1457
11,10,24.10867627,1019.25,1666.125
12,11,25.05703493,944.8,1371.8
13,12,26.62202494,576.25,1458.125
14,13,28.2390855,394,993.1666667
15,14,28.75200039,478.3333333,1168.333333
16,15,26.73333435,1193.6,1628.1
17,16,26.85237875,958.9,1640.8
18,17,26.61230869,841.8,1293
19,18,26.52314081,863.4444444,1282.777778
20,19,27.18503487,772.1666667,1239.833333
21,20,27.94681145,1376.25,931.125
22,21,28.01259912,1051.875,1250.375
23,22,29.4602909,1660,323
24,23,29.16854249,1475.444444,1104.888889
25,24,28.8805998,1994.625,515.25
26,25,26.44074014,2290.714286,1571.071429
27,26,25.5117891,2688.2,2246.7
28,27,27.2924763,2545.875,2124.125
29,28,24.61111208,1701.25,2163.75
30,29,25.00617688,3319.714286,2989.714286
31,30,26.22360433,3525.636364,2925.545455
32,31,25.18629022,2564.666667,2862
33,32,20.20220267,2895,2664.666667
34,33,23.78373075,3319.714286,3003.857143
35,34,24.56944751,3093.2,2996.4
36,35,24.35489837,2895,3072.6
37,36,24.10766552,3005.111111,3053
38,37,25.60215773,3319.714286,3435.857143
39,38,25.55423569,3602.857143,3523.571429
40,39,24.95893137,3602.857143,3388.571429
41,40,25.52793583,3602.857143,3645.142857
42,41,25.01831519,3638.25,3544
43,42,26.8331293,3489.6,3818.8
44,43,28.15987492,3555.666667,4087.333333
45,44,28.778792,3886,4248.875
46,45,29.11876314,3886,4186.428571
47,46,29.7593085,3886,4427.428571
48,47,29.31310281,3886,4190.75
49,48,29.4832581,3886,4434.4
50,49,29.59722233,3886,4536.166667
51,50,24.97916683,3555.666667,3996.166667
52,51,27.49999086,3545.545455,4173.909091
53,52,26.93743663,3417.875,4159.75
54,53,27.42755511,3469.888889,4192.777778
55,54,26.26388933,3261.833333,3698.666667
56,55,26.83333357,3351,4088.857143
57,56,27.75503157,3511.5,4213.7
58,57,27.47640204,3417.875,4082.5
59,58,27.91254954,3511.5,4214.1
60,59,27.92985574,3469.888889,4365.888889
61,60,27.53283907,3597.923077,3799.076923
62,61,27.75892662,3618.5,3888.857143
63,62,27.84297623,3445.461538,4000.692308
64,63,27.76361312,3445.461538,3965.153846
65,64,24.92359106,3138.833333,3953.083333
66,65,25.59327826,3110,4120.111111
67,66,21.10611339,3215.777778,4271.222222
68,67,19.92265371,3420.5,4200.416667
69,68,18.90454351,3303.846154,4205.230769
70,69,19.0182591,3255.333333,4163
71,70,18.69250955,3198,3988.636364
72,71,16.93728258,3045.111111,3562.222222
73,72,11.70962752,3034,4201.3
74,73,10.07427979,2710.545455,3981.818182
75,74,13.72441917,2998.571429,3905.5
76,75,15.61623974,3233.375,3732
77,76,15.93991931,3298,3265.764706
78,77,14.78211292,3249.333333,3522.666667
79,78,14.04715295,3151.384615,3656.230769
80,79,14.92490944,3339.8125,3377.9375
81,80,11.16482338,3357.466667,3423.666667
82,81,12.0877194,3445.555556,3197.111111
83,82,12.55779436,3508.47619,3130
84,83,13.21705466,3468.736842,2959.736842
85,84,13.46716585,3335.444444,2828.277778
86,85,12.05158126,3229.117647,2904.588235
87,86,12.76176012,3506.894737,2848.578947
88,87,13.24242579,3488.529412,2675.470588
89,88,12.02028413,3671.153846,2710.923077
90,89,12.84964587,3518.692308,2466.846154
91,90,12.27472169,3705.818182,2537.363636
92,91,11.97021856,3886,2362.555556
93,92,12.74088966,3886,2348.3
94,93,13.36691591,3886,2215.1
95,94,13.1536435,3886,2310.444444
96,95,12.55078524,3319.714286,2145.428571
97,96,10.2208735,3886,2389.5
98,97,10.39495133,3886,2270.25
99,98,8.346668219,3886,1618.666667
100,99,6.726917822,3886,1932.5
101,100,11.35754241,3886,2747.75
102,101,11.52473115,3187.75,2841
103,102,10.15770353,3225.333333,2537.666667
104,103,10.46694386,3225.333333,1773.333333
105,104,10.00332886,3886,2454.666667
106,105,7.748205889,3886,1911
107,106,8.142117259,3886,1823
108,107,2.694180667,2637.666667,800.3333333
109,108,4.625000333,2637.666667,2031
110,109,7.3125005,2949.75,2518
111,110,7.197999625,2251.5,2591
112,111,4.472442333,1977,1982.333333
113,112,4.639218833,1977,1973
114,113,3.6044965,1958.75,1256.25
115,114,0,2344.2,410
116,115,0,2454.25,380.5
117,116,2.5083335,1595.2,1324
118,117,3.126736375,2049.375,1275.25
119,118,1.718254143,1923,1081
120,119,1.5520835,1717.875,1012.625
121,120,1.60742475,2287.375,1007.875
122,121,1.53548325,2231.625,1080
123,122,1.46354175,1920.625,1021.375
124,123,0,2458,511.2857143
125,124,0,1521.5,682
126,125,1.406250125,1736.125,1184.5
127,126,1.2250001,1797.6,1109.9
128,127,2.312500182,2456.636364,1451
129,128,2.408381818,1821.727273,1461.363636
130,129,1.456599778,2154.666667,1334.222222
131,130,1.343493,2166.1,1326.1
132,131,0,1088.857143,1078.571429
133,132,2.100694583,1754.5,1600.333333
134,133,4.208333611,2294.333333,1976.5
135,134,2.458333467,1886.8,1768.8
136,135,2.4916668,1797.6,1764.8
137,136,0.352941235,1485,1261.333333
138,137,2.979166875,2895,1998
139,138,2.4166668,3093.2,1903
140,139,2.5081277,3886,2047.8
141,140,2.3916668,3489.6,2071.6
142,141,0.352941235,2895,1886.75
143,142,4.104220333,3225.333333,2328.166667
144,143,1.875000143,2920.714286,1879.571429
145,144,3.027606583,1646.666667,2306.833333
146,145,2.6245886,2768.8,2588.2
147,146,3.57837525,2489.5,2733.25
148,147,5.33184952,2003.8,2402.8
149,148,5.33844254,2445.4,2701.4
150,149,5.77016356,3093.2,2727
151,150,2.82688448,3886,3058
152,151,2.9252722,3886,3098.2
153,152,0.974826448,3886,3358.4
154,153,0.821392255,3137,3288.6
155,154,0.352941235,3346.166667,3350
156,155,0.615740833,3015.833333,3463
157,156,2.529514125,3390.5,3034.875
158,157,1.906356167,3289.125,3242.5
159,158,2.317788062,3289.125,3362.125
160,159,0.970539208,3390.5,3615.375
161,160,0.915299083,3165.7,3285.7
