id,time,buffer,bitrate,throughput
1,0,0.684523857,448.1428571,477.8571429
2,1,7.381249257,141,559
3,2,11.21391669,285.5714286,612.2857143
4,3,13.96757993,357.8571429,704.5714286
5,4,16.60708637,502.4285714,822.7142857
6,5,18.12763613,647,831.25
7,6,19.876693,647,962.8333333
8,7,20.19247231,885.7777778,1045.888889
9,8,20.73198613,746.1111111,1169.333333
10,9,21.40986762,914.6,1459.4
11,10,21.0684772,736.2,1465.6
12,11,19.37679467,825.4,1136.4
13,12,19.91589288,1133.571429,1453.714286
14,13,19.62190675,1320.1,1569
15,14,19.43054952,1283.6,1656.3
16,15,19.93105015,1165.111111,1744
17,16,19.80032744,1365.285714,1871.857143
18,17,18.20080945,1904,2124.6
19,18,18.74979799,1645.5,2016.625
20,19,18.88445546,1724.428571,2232.714286
21,20,18.88788872,1768.833333,2397.833333
22,21,18.96527894,1559.333333,2473.666667
23,22,18.09192178,1694.5,2528
24,23,17.73270961,1904,2647.666667
25,24,18.42395669,1904,2722.5
26,25,18.4252822,1904,3013.6
27,26,17.6247568,1904,3101.8
28,27,18.32979194,1904,3129.5
29,28,17.2150995,1904,3131.333333
30,29,17.3779786,1904,3161.8
31,30,18.51728884,1904,3452
32,31,19.18126221,1904,3480
33,32,19.3451755,1904,3476.571429
34,33,20.82622602,2753.428571,3695
35,34,23.15518439,2895,3809.666667
36,35,21.16784665,2102.2,3675.5
37,36,21.30065958,1904,3800.333333
38,37,22.36390593,2234.333333,3902.5
39,38,23.71462152,2696.8,3652.5
40,39,24.0890562,2300.4,4163.6
41,40,23.3132203,2300.4,3584.8
42,41,24.6416678,2498.6,4098.4
43,42,25.19866362,2470.285714,4393.571429
44,43,25.4958374,2647.25,4434.125
45,44,26.81734313,2151.75,4088.375
46,45,26.93173643,2470.285714,3979.285714
47,46,27.75103726,3115.222222,3461.777778
48,47,28.82469574,2174.272727,3863.727273
49,48,29.80895086,3602.857143,3095.428571
50,49,29.36560333,2564.666667,3521.333333
51,50,29.1452255,2344.444444,1131.888889
52,51,29.68568075,2151.75,2500.625
53,52,29.8781239,3602.857143,4707.285714
54,53,29.61145444,3886,4547.333333
55,54,29.73310194,2234.333333,1244
56,55,29.7988836,1904,2944.625
57,56,29.79061325,3555.666667,4864.166667
58,57,29.81159964,3319.714286,3232.714286
59,58,29.69590067,2187.142857,2400.428571
60,59,29.73247346,2564.666667,1859.555556
61,60,29.82975788,3886,3933.285714
62,61,28.53087298,3036.571429,4315.285714
63,62,28.77570529,2151.75,1340.875
64,63,26.8615236,2234.333333,2555.833333
65,64,26.73204452,2828.933333,4405.066667
66,65,26.58047264,2895,4106.571429
67,66,26.93747604,2696.8,2602.2
68,67,28.19995982,2971.230769,2130.692308
69,68,27.8780499,3886,4135.857143
70,69,28.78968771,3886,4000.428571
71,70,28.978639,3886,3255
72,73,21.83694825,3886,3873.5
73,74,21.22377412,3886,3687.4
74,75,20.35390647,3481.125,3536.375
75,76,20.94287301,2870.818182,2887.363636
76,77,18.73118002,1987.454545,3191.909091
77,78,19.171549,1888.363636,3057.545455
78,79,17.34315555,1354.333333,3039.222222
79,80,17.00401205,1589.125,2984.25
80,81,17.25258645,2294.333333,2990.333333
81,82,16.69028398,2257.166667,2781.333333
82,83,16.0346656,2148.785714,2407.214286
83,84,13.65090132,1694.909091,2614.909091
84,85,14.758208,1781.454545,2480.272727
85,86,12.44236528,1694.083333,2268.416667
86,87,11.0234328,1620.153846,2230.153846
87,88,11.57769894,1771.571429,2045.285714
88,89,12.13744334,1795,1850.733333
89,90,11.67271013,1647.230769,1570.384615
90,91,10.51750674,1102.222222,1619.111111
91,92,10.75540139,1137.8,1483.9
92,93,11.42042202,1282.444444,1413.777778
93,94,10.29780541,1192.333333,1265.555556
94,95,7.73638328,1249.428571,1147.285714
95,96,7.225445189,1249.428571,1222.571429
96,97,8.077602241,1648.428571,1126.142857
97,98,8.728315781,1275.5,1101.166667
98,99,8.930756142,1358.625,959.375
99,100,9.294315947,1295.375,890.125
100,101,8.382207377,1036.6,942.4
101,102,7.089070654,1214.666667,967.3333333
102,103,7.458392681,1214.666667,883
103,104,6.284762264,1214.666667,709.3333333
104,105,6.266994551,1149,578.25
105,106,5.610590667,1022.5,482.5
106,107,5.332778,141,393
107,109,4.5208345,141,402
108,110,2.395834,141,501
109,111,2.27033,394,487.5
110,112,1.582662,309.6666667,467.6666667
111,113,1.755208625,267.5,468.5
112,114,1.416667,309.6666667,468.3333333
113,115,3.171777875,141,517.75
114,116,1.444444667,141,593.6666667
115,117,5.247075,141,642
116,118,1.062500167,141,534
117,119,2.3881118,242.2,619.4
118,120,7.4517579,242.2,754
119,121,4.610119571,141,690.7142857
120,122,7.717381214,285.5714286,889.2857143
121,123,7.041989071,141,906.1428571
122,124,6.1030126,141,904.4
123,125,7.581857,141,876
124,126,5.763393,141,525.3333333
125,127,9.602699929,502.4285714,1154
126,128,8.069443267,577.8,1134
127,129,6.360643611,309.6666667,983.5
128,130,10.59186693,741.0833333,1363.833333
129,131,10.97035261,670.125,1548.875
130,132,10.05250461,712.2,1519.8
131,133,11.14287456,805.3,1476.9
132,134,11.32228338,863.4444444,1603.666667
133,135,12.13626098,804.3333333,1700.5
134,136,11.41551227,898.4,1761.2
135,137,12.82532403,1140.333333,1611.333333
136,138,13.3619494,1468.857143,2063
137,139,15.98259925,1589.75,2252.5
138,140,14.39865049,1174.125,2237
139,141,14.62472596,2111.142857,2515.142857
140,142,12.27942887,1387,2453
141,143,14.2344941,1995.8,2192
142,144,16.42988572,2320.625,2693.875
143,145,15.72274081,1860,2679.375
144,146,19.12254918,2573.857143,2855.714286
145,147,20.05479893,2290.714286,3019.857143
146,148,16.01207942,2054.833333,2805.5
147,149,18.55424492,2508.2,3189.5
148,150,22.41244189,2534.636364,3257.818182
149,151,21.63056912,2120.2,3526.3
150,152,24.7824815,3041.375,3424.125
151,153,22.1397118,2328.714286,3684.571429
152,154,19.0500011,2300.4,3585.2
153,155,24.24418281,2895,3872.5
154,156,25.33318161,3225.333333,3947.166667
155,157,27.22683287,3489.6,4118.6
156,158,24.8502704,2696.8,4081.2
157,159,24.86397531,2494.833333,3303.666667
158,160,21.2916676,3093.2,3888.8
159,161,24.7913705,2753.428571,4119.428571
160,162,24.01773087,3390.5,4153.25
161,163,26.07916081,3266.625,4466.875
162,164,27.76132629,3319.714286,4079.714286
163,165,26.83680608,3225.333333,3783
164,166,28.13020894,3142.75,3322
165,167,27.19219981,3335.444444,4477.777778
166,168,26.59719971,3319.714286,4579.857143
167,169,29.10382775,3390.5,4687.333333
168,170,29.3583336,3886,4484
169,171,29.28734989,3665.777778,3975.666667
170,172,29.23412713,3489.6,4378.1
171,173,29.43713331,3886,4102.333333
172,174,29.48441277,3291.4,4568.9
173,175,29.64138111,3886,4261.111111
174,176,29.93838101,3060.166667,3448
175,177,30.03886249,3390.5,3854
176,178,30,3886,4474.555556
177,179,30.034091,3795.909091,4069.272727
178,180,29.15808533,3581.076923,3954.153846
179,181,29.11518836,3687.8,4120.9
180,182,29.49829428,3428.615385,3938.615385
181,183,29.47974941,3489.6,3725.266667
182,184,29.63446066,3428.615385,3434.692308
183,185,29.7394028,3352.384615,3590.307692
184,186,29.87799858,3581.076923,2931.153846
185,187,30.04401908,3555.666667,3034.333333
186,188,30,3555.666667,3215.333333
187,189,30,3581.076923,3211.692308
188,190,29.99038467,3428.615385,2870.153846
189,191,29.96666676,3357.466667,2884.066667
190,192,30.0361112,3489.6,2528.6
191,193,30.03472231,3555.666667,3121.333333
192,194,30.02777786,3555.666667,2699.083333
193,195,30.01562506,3700.1875,2733.125
194,196,30,3744.428571,2459
195,197,29.98855386,3345.454545,2777.090909
196,198,29.99702386,3744.428571,1905.642857
197,199,30.02243596,3886,2583.153846
198,200,30.0500001,3687.8,2094.9
199,201,29.98950771,3720.833333,1935
200,202,29.98248758,3555.666667,1500.75
201,203,30.00518329,3720.833333,1803.333333
202,204,30.01190486,3886,2148.142857
203,205,29.9434525,3602.857143,2213.142857
204,206,29.96525288,3390.5,1781.5
205,207,29.9837295,3555.666667,2287
206,208,30.00684417,3555.666667,2115.166667
207,209,30,3886,2178.666667
208,210,29.77799042,3886,777.5
209,211,29.47699411,2564.666667,1299.333333
210,212,29.9244635,3886,1982
211,213,30,3886,830
212,214,29.486975,1904,1
213,215,29.625001,1904,1085
214,216,27.78403113,2895,1760
215,217,28.54654825,2895,1581
216,218,28.69955175,1904,1542
217,219,29.348949,1904,1394
218,222,25.062671,1904,1157
219,223,26.125341,2895,1012
220,224,25.855187,1904,989
221,225,26.75136,1904,910
222,226,21.58420425,1904,763
223,227,22.36834664,1904,387.5
224,228,23.23625715,1904,353.5
225,229,22.81388991,1633.666667,414
226,230,22.49722346,1498.5,302.5
227,231,23.19027904,1904,465
228,232,23.88333463,1904,470.5
229,233,26.27516236,1904,259.75
230,234,27.65052941,1904,473.6666667
231,235,27.98973167,1904,510
232,236,26.93395075,1701.25,540
233,237,24.9444855,1498.5,506
234,238,24.5422475,1904,491.5
235,240,26.77623446,3602.857143,776
236,241,26.31670165,1967.9,746.3
237,242,26.06303642,1544.857143,773.5714286
238,243,26.15193597,1610.166667,749.3333333
239,244,23.64184367,1889.666667,659.1666667
240,245,22.586752,2266.5,643.75
241,246,25.1746227,2049,922.2
242,247,25.39314523,2737.875,1093.125
243,248,25.57627965,2141,1159.125
244,249,25.1326405,2024.833333,1167
245,250,26.1941694,1490.4,1187.2
246,251,26.86853827,2242.375,1364.75
247,252,26.04991414,2647.25,1548.125
248,253,26.63156833,3005.111111,1535.555556
249,254,27.0917115,2399.5,1708.25
250,255,26.54927507,2300.4,1808.2
251,256,26.69834459,2604.888889,1769.111111
252,257,26.99945623,2498.6,1983.2
253,258,27.24225067,2234.333333,1857.5
254,259,28.44815337,2895,2462.5
255,260,28.02976019,2935.222222,2106.111111
256,261,28.34252844,2399.5,2459.125
257,262,29.28743617,2895,2117.333333
258,263,28.37912419,3225.333333,1830.166667
259,264,28.80754311,2124.222222,1409.111111
260,265,29.01047954,2564.666667,2121.777778
261,266,29.51632917,3555.666667,2239.666667
262,267,29.41945644,2895,2012.833333
263,268,29.45432841,2564.666667,2211.444444
264,269,29.89891527,2399.5,2642.75
265,270,29.8849085,3093.2,2720.4
266,271,29.58441147,2564.666667,1605.333333
267,272,29.72584076,2124.222222,1292.888889
268,273,29.80970304,2784.888889,2537.444444
269,274,29.94279061,2895,2902.833333
270,275,29.73755444,2564.666667,1513
271,276,29.69102898,2696.8,1651.8
272,277,29.80542859,2344.444444,2348.333333
273,278,29.21781966,3390.5,2686.75
274,279,29.17783992,2399.5,2067.833333
275,280,29.38857418,1904,1734.714286
276,281,29.23041279,2564.666667,2680.666667
277,282,28.49521232,3489.6,3804.8
278,283,28.52209719,3225.333333,3381.777778
279,284,28.68753091,2647.25,3456.125
280,285,27.60069542,3225.333333,3814.777778
281,286,27.50274178,2753.428571,3907.428571
282,287,28.05274712,3005.111111,4376.222222
283,288,27.86452057,3489.6,4238.2
284,289,27.2135984,3638.25,4447
285,290,26.08937821,3886,4604.333333
286,291,25.50826154,3886,4977.333333
287,292,27.27428825,3225.333333,3778.166667
288,293,26.9815468,2399.5,4149.75
289,294,26.71166765,3886,4188
290,295,27.19409833,3018.875,3830.75
291,296,26.97089157,3602.857143,4328.428571
292,297,26.9109489,2895,3524
293,298,27.33552379,3390.5,3316.5
294,299,26.30355594,3266.625,4270.25
295,300,26.11867439,3036.571429,4255
296,301,26.69884546,3178.142857,4593.571429
297,302,27.11183219,3005.111111,4304.444444
298,303,27.34506114,2895,4474.333333
299,304,26.53443797,3266.625,4180.875
300,305,26.79688196,3390.5,4288.375
301,306,27.7744107,3036.571429,4128.714286
302,307,27.63144414,3093.2,4228
303,308,27.60530912,3390.5,3936.75
304,309,27.9968822,2498.6,3690.2
305,310,29.65987025,2564.666667,4165.333333
306,311,27.73499864,3291.4,3571.4
307,312,27.43472651,2470.285714,3765.142857
308,313,27.44114579,3319.714286,3457.285714
309,314,27.27971555,2753.428571,3248
310,315,27.51231474,2399.5,3355
311,316,27.83283631,2895,2898.444444
312,317,28.00772492,2399.5,3212.875
313,318,27.13395617,3005.111111,3102.111111
314,319,25.84008107,2417.153846,2456
315,320,25.88708557,2034.111111,2430.555556
316,321,25.49022461,2034.111111,2522.444444
317,322,25.07055352,2429.5,2436.666667
318,323,24.35368965,2793.625,2417.5
319,324,25.7656983,2694.777778,2395.888889
320,325,25.68237709,2344.444444,2336.555556
321,326,23.805027,2187.142857,2140.857143
322,327,23.27035602,2895,2213.25
323,328,24.34837444,2784.888889,1870.888889
324,329,25.56105771,1904,1952.285714
325,330,25.53158728,2242.375,1548.25
326,331,23.08437621,2085.25,1667.5
327,332,23.17264836,1976,1312
328,333,21.7037185,2429.5,1414
329,334,23.21202267,1891.714286,1201
330,335,22.68495465,2429.5,1245.5
331,336,23.17921317,2637.571429,980.7142857
332,337,19.03509723,2138.2,1148.9
333,338,18.29525149,2050.375,926.75
334,339,20.03841243,1788.142857,924.8571429
335,340,19.73284864,1852.5,838.8333333
336,341,18.30464728,1884.888889,891.2222222
337,342,19.60594146,1984,845
338,343,18.11466151,1714.222222,676
339,344,17.8214153,1488.375,618
340,345,18.79216416,1389.2,596
341,346,14.6000009,1498.5,531.5
342,347,18.20817395,1275.5,433.5
343,348,15.57834013,1485,443.6666667
344,349,16.2648678,1652.6,413.4
345,350,17.76236462,1023.833333,430.1666667
346,351,20.19063978,1329.111111,407.1111111
347,352,20.88399397,856.5,443.5
348,353,21.53750097,647,445
349,354,20.97711648,898.4,469
350,355,20.03568056,1076.8,545
351,356,19.84399544,987.6,548.6
352,357,19.60513766,930.8333333,552.5
353,358,19.750001,856.5,520.5
479,484,19.3249102,638.4285714,967.8571429
480,485,18.53888983,444.6,985.8
481,486,17.37040838,632,1000.25
482,487,16.604168,647,802.5
483,488,15.30429447,856.5,1137.333333
484,489,14.94358512,943,1156.2
485,490,13.26642856,1027.125,1369.25
486,491,12.70157369,923.4545455,1459.454545
487,492,13.09991387,796.625,1510.5
488,493,10.41730838,1328.714286,1414.571429
489,494,13.25872934,1113.428571,1850.714286
490,495,14.25688968,2049,2160.6
491,496,13.31478054,1652.6,2076.4
492,497,13.1081499,1490.4,1876.1
493,498,13.00764884,1444.444444,2129.555556
494,499,12.39353242,1559.333333,2082.5
495,500,11.00334437,2049,2092.8
496,501,12.13719492,1904,2601.75
497,502,13.02633896,2470.285714,2694.571429
498,503,12.88505075,1964.333333,2462.5
499,504,11.09121575,2753.428571,2956.857143
500,505,10.63430214,1828,2867.714286
501,506,9.714374042,2270.833333,2902.833333
502,507,10.94507583,1652.333333,2822.666667
503,508,10.0291678,1652.6,2929.4
504,509,12.06741464,2690.636364,3228.545455
505,510,12.25680375,1994.625,3220.25
506,511,11.7683595,2784.888889,3566.777778
507,512,13.0255926,2300.4,3614.4
508,513,13.49392281,2399.5,3891.5
509,514,11.14880612,2399.5,3663.25
510,515,13.587474,1904,3866.333333
511,516,11.21101848,3225.333333,3455.666667
512,517,12.07413863,2425,3707.666667
513,518,13.91437721,2647.25,4055.25
514,519,15.67039535,2234.333333,4350
515,520,12.66406044,2771.125,4217.875
516,521,12.57190846,3319.714286,4146.285714
517,522,14.60823333,2234.333333,4297
518,523,20.45315998,3291.4,4392.8
519,524,21.6036409,3720.833333,4433.5
520,525,16.93977266,3005.111111,4334.777778
521,526,20.38116817,2674.777778,4313.444444
522,527,20.24105445,2454.555556,3804.333333
523,528,22.95846914,3018.875,3699.125
524,529,22.8070582,2647.25,2506.25
525,530,23.10970535,2344.444444,2888.555556
526,531,25.53366839,2696.8,4153
527,532,22.10641936,2985.090909,3341.363636
528,533,23.55803846,2771.125,2273.375
529,534,24.23120999,2102.2,2192.8
530,535,24.70055232,3036.571429,2243.857143
531,536,24.99352371,2344.444444,2090.111111
532,537,27.8535066,3005.111111,2254.444444
533,538,25.55875997,2771.125,2146.875
534,539,25.76704505,2753.428571,2029.428571
535,540,26.71230032,3093.2,2128
536,541,26.66492,2925,2088.272727
537,542,27.64786821,3192.3,1985
538,543,26.41441546,2771.125,1840.375
539,544,28.42265296,2753.428571,990.2857143
540,545,28.66550044,2328.714286,799.8571429
541,546,29.46854466,2774.818182,1406.181818
542,547,29.44841087,3018.875,1517.125
543,548,28.46057169,2696.8,1767
544,549,27.86721525,2696.8,1502.6
545,550,27.03819172,3093.2,1687.6
546,551,30.13947675,3225.25,638
547,552,30.49030306,2498.6,40.6
548,553,30.33009442,2069.166667,271.3333333
549,554,30.17385889,2234.333333,194.8333333
550,555,30.34059386,2300.4,272.2
551,556,30.35123284,2275.625,64.125
552,557,30.29321026,2647.25,235.75
553,558,30.26705894,2564.666667,47.66666667
554,559,30.33149454,2470.285714,383.5714286
555,560,30.12089803,2564.666667,144.1666667
556,561,30.22718391,2564.6,203
557,562,30.14063078,2151.75,90.5
558,563,29.87774098,1904,398
559,564,30.09515888,2564.666667,106.5
560,565,29.80940605,2275.625,206.5
561,566,30.07187645,2771.125,447.125
562,567,30.15921725,2498.6,850
563,568,30.08714122,2399.5,327.75
564,569,30.02466907,2498.6,317.2
565,570,29.80986032,1904,525.75
566,571,29.91304431,2895,747.7777778
567,572,29.79453717,2234.333333,593
568,573,29.72961289,2895,721
569,574,29.66366529,2234.333333,461.3333333
570,575,29.30569293,2573.857143,823.5714286
