id,time,buffer,bitrate,throughput
1,0,1.5412,302.4666667,546.7408
2,1,3.3320625,598.625,595.385
3,2,4.330153846,432.9230769,661.4190769
4,3,4.32725,468.8333333,701.5706667
5,4,5.483307692,749.0769231,698.7390769
6,5,7.0242,785.6,830.1088
7,6,6.54,444,883.3828571
8,7,6.987833333,708.75,979.5
9,8,8.563923077,761.8461538,927.9126154
10,9,9.908,548.6153846,1110.694769
11,10,10.99263636,782.7272727,1165.396364
12,11,12.9596,670.6,1228.8488
13,12,11.99506667,625.1333333,1256.123733
14,13,15.2513,564.8,1283.724
15,14,14.10845455,539.0909091,1413.627636
16,15,14.49661538,574.6923077,1614.858462
17,16,16.96530769,826.7692308,1751.023385
18,17,19.27645455,831.6363636,1720.833455
19,18,18.58333333,1165.416667,1659.694667
20,19,18.86145455,1420.545455,1774.645091
21,20,19.28238462,1226.769231,2063.824
22,21,19.3149,959.2,1992.5616
23,22,18.44508333,1251.416667,2372.762667
24,23,20.9652,1571,2549.3792
25,24,17.66784615,1398.307692,2617.574769
26,25,20.15281818,2035.363636,2674.489455
27,26,19.64733333,2092,2845.071333
28,27,19.9209,1733.2,2942.5696
29,28,18.46183333,1694.083333,3020.236667
30,29,20.9227,1535,3321.3112
31,30,19.99315385,1557.769231,3283.664
32,31,20.59045455,2116.909091,2733.381818
33,32,20.2747,2138.2,3016.74
34,33,20.15425,2497.083333,3104.680667
35,34,20.99221429,2270.785714,3282.786286
36,35,20.8145,2021.1,3777.5048
37,36,21.485,2142.272727,3744.101818
38,37,19.83530769,2513.846154,3169.258462
39,38,21.37158333,2729.833333,3460.828
40,39,21.519,2564.666667,2911.411556
41,40,21.04261538,2361.384615,3608.656615
42,41,22.32036364,2444.545455,3624.362909
43,42,23.93461538,2513.846154,3183.464615
44,43,23.74844444,2784.888889,3288.179556
45,44,24.67181818,2985.090909,3633.877818
46,45,25.07191667,2895,3466.418
47,46,24.80572727,3165.272727,3768.592727
48,47,25.98991667,3390.5,3892.783333
49,48,25.8187,3093.2,4427.1688
50,49,25.675,3225.333333,4311.814222
51,50,26.29,3060.166667,4236.487333
52,51,27.02041667,3555.666667,4215.876667
53,52,27.44185714,3602.857143,4545.550857
54,53,26.4384,3093.2,4497.6064
55,54,27.827,3461.285714,4921.478857
56,55,28.132,3705.818182,3618.714182
57,56,28.08091667,3555.666667,3941.876667
58,57,28.14466667,3720.833333,4442.763333
59,58,28.1703,3687.8,4856.3384
60,59,28.8485,3687.8,4118.9584
61,60,28.1287,3886,4074.8072
62,61,28.3129,3886,4132.0896
63,62,28.225,3489.6,4231.5616
64,63,28.5561,3489.6,4338.7608
65,64,28.47366667,3555.666667,4199.913333
66,65,28.5098,3687.8,4427.7848
67,66,28.46745455,3705.818182,4346.724364
68,67,28.40733333,3390.5,4390.172667
69,68,28.42838462,3123.692308,4239.251077
70,69,28.03454545,2804.909091,4297.115636
71,70,27.73925,2895,4257.62
72,71,26.97876923,2361.384615,4158.154462
73,72,26.6175,2234.333333,3952.682
74,73,26.638,2124.222222,3856.361778
75,74,26.25133333,2069.166667,3748.985333
76,75,26.07681818,1904,3627.954182
77,76,25.79772727,1904,3344.84
78,77,25.9592,1904,3492.4064
79,78,26.245,1904,3425.270545
80,79,26.17455556,1904,3149.363556
81,80,26.53845455,1904,3127.314909
82,81,26.3625,1904,3039.4648
83,82,26.17758333,1904,2934.182667
84,83,26.287,1904,2792.1664
85,84,25.88441667,1768.833333,2696.387333
86,85,25.7903,1822.9,2557.5912
87,86,25.19925,1836.416667,2467.145333
88,87,24.69038462,1716.846154,2325.332923
89,88,23.58111111,1543.555556,2159.127111
90,89,23.88491667,1633.666667,2136.72
91,90,22.5153,1417.4,1950.9272
92,91,21.9061,1498.5,1862.2616
93,92,21.17458333,1566.083333,1776.198
94,93,20.7718,1498.5,1656.2632
95,94,20.05669231,1370.615385,1523.163692
96,95,19.5226,1291.7,1451.1312
97,96,18.45475,1326.166667,1342.211333
98,97,17.7889,1166,1130.3912
99,98,17.30978571,1139.357143,1201.141143
100,99,16.70266667,981.5,1115.310667
101,100,15.86890909,930.8181818,1003.915636
102,101,14.7707,864.1,900.1464
103,102,14.50709091,925.4545455,880.3541818
104,103,13.73090909,757.9090909,788.3367273
105,104,12.91288889,683.4444444,697.6942222
106,105,12.18618182,625.5454545,661.4261818
107,106,11.77309091,666.0909091,638.9687273
108,107,10.8589,623.4,576.036
109,108,10.49355556,571.2222222,520.0284444
110,109,9.9338,623.4,503.5296
111,110,9.1714,623.4,451.8088
112,111,9.155818182,539.0909091,453.7578182
113,112,8.526833333,506,426.4893333
114,113,7.318636364,539.0909091,400.504
115,114,6.700416667,506,429.152
116,115,6.809076923,327.1538462,436.2676923
117,116,6.1136,237.1,445.3992
118,117,5.868615385,366,439.8295385
119,118,6.1258,243,482.8304
120,119,5.824090909,187.9090909,497.1185455
121,120,5.811818182,233.8181818,558.3476364
122,121,5.629363636,508.2727273,569.8567273
