id,time,buffer,bitrate,throughput
1,1712857968000,0.0,394,426
2,1712857969000,5.541668,141,320
3,1712857970000,8.496217333333334,141,491
4,1712857971000,13.497525333333334,141,506
5,1712857972000,17.70572375,647,659
6,1712857973000,16.4114465,647,678
7,1712857975000,18.208334,647,667
8,1712857976000,18.832137,647,873
9,1712857976000,18.583334,647,873
10,1712857977000,19.791668,647,968
11,1712857978000,19.187501,647,1073
12,1712857979000,19.000001,647,1173
13,1712857980000,18.604167500000003,1093,1215
14,1712857981000,18.958334,647,1367
15,1712857981000,17.406251,1904,1367
16,1712857982000,18.062501,1093,1388
17,1712857983000,19.375001,647,1467
18,1712857983000,18.718751,1093,1467
19,1712857984000,20.375001,647,1554
20,1712857985000,16.40625125,1904,1778
21,1712857986000,17.0208345,1904,1897
22,1712857987000,17.635417750000002,1904,2008
23,1712857988000,18.250001,1904,2015
24,1712857990000,15.805556333333334,1904,2352
25,1712857991000,16.277778666666666,1904,2483
26,1712857992000,16.750001,1904,2477
27,1712857994000,15.500001000000001,1904,2808
28,1712857995000,15.791668,1904,2726
29,1712857996000,15.375001000000001,1904,3053
30,1712857997000,15.333334,1904,2912
31,1712857998000,15.520834,1904,3290
32,1712857999000,15.208334,1904,3270
33,1712858000000,17.979168,1904,3522
34,1712858001000,15.416668,1904,3349
35,1712858003000,15.833334,1904,2846
36,1712858004000,17.762286500000002,1904,3100
37,1712858005000,19.375001,1904,3875
38,1712858005000,22.770834,1904,3875
39,1712858006000,20.041668,1904,4030
40,1712858008000,20.541668,1904,3118
41,1712858009000,21.208334,1904,4078
42,1712858010000,22.125001,1904,4165
43,1712858011000,23.333334,1904,4361
44,1712858012000,24.541668,1904,4422
45,1712858013000,26.3965065,1904,4207
46,1712858014000,28.000001,3886,4762
47,1712858014000,26.680556666666668,3886,4762
48,1712858015000,29.416668,1904,4006
49,1712858015000,23.611112333333335,1904,4006
50,1712858016000,30.121474,3886,4329
51,1712858018000,29.613686,1904,0
52,1712858019000,29.708334,1904,2165
53,1712858020000,29.666667500000003,3886,4983
54,1712858021000,29.750001,3886,4642
55,1712858022000,29.717852999999998,1904,642
56,1712858023000,29.519038,1904,1411
57,1712858024000,29.5636485,1904,5007
58,1712858025000,29.583334,3886,4582
59,1712858026000,29.58333466666667,3886,2479
60,1712858027000,29.916668,1904,2199
61,1712858027000,29.750001333333334,1904,2199
62,1712858028000,29.959704,3886,4934
63,1712858030000,29.480315500000003,1904,430
64,1712858031000,29.543963,1904,1695
65,1712858031000,24.147113714285712,1904,1695
66,1712858032000,29.229833,3886,4753
67,1712858032000,24.963094428571427,1904,4753
68,1712858033000,25.779075142857142,1904,4183
69,1712858033000,29.416668,3886,4183
70,1712858034000,26.811350500000003,1904,2825
71,1712858034000,26.595055857142857,3886,2825
72,1712858035000,29.416668,1904,1588
73,1712858035000,27.41103657142857,3886,1588
74,1712858036000,28.227017285714286,3886,4491
75,1712858037000,29.042998,3886,4182
76,1712858042000,22.457567,3886,3963
77,1712858043000,23.3318,3886,3852
78,1712858043000,11.410495148148147,647,3852
79,1712858044000,24.206033000000005,3886,2422
80,1712858044000,21.89528425,1904,2422
81,1712858044000,11.404322296296296,647,2422
82,1712858045000,22.373900499999998,1904,3632
83,1712858045000,11.398149444444444,647,3632
84,1712858046000,22.85251675,1904,3531
85,1712858046000,11.391976592592592,647,3531
86,1712858047000,23.331132999999998,1904,3187
