Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-11 03:51:08,1.857,142,0.2,0.4,0,0.10 | 0.10 | 0.10,1.57 | 1.57 | 1.57,1.28 | 1.28 | 1.28
2024-04-11 03:51:09,1.857,142,0.2,0.4,0,0.10 | 0.10 | 0.10,1.57 | 1.57 | 1.57,1.28 | 1.28 | 1.28
2024-04-11 03:51:09,4.78,142,0.2,0.4,0,0.06 | 0.16 | 0.32,0.23 | 0.73 | 1.57,1.28 | 2.73 | 8.81
2024-04-11 03:51:10,4.78,142,0.2,0.4,0,0.06 | 0.16 | 0.32,0.23 | 0.73 | 1.57,1.28 | 2.73 | 8.81
2024-04-11 03:51:10,7.768,142,0.2,0.2,0,0.06 | 0.33 | 0.87,0.16 | 0.24 | 0.40,4.98 | 8.43 | 12.58
2024-04-11 03:51:11,7.768,142,0.2,0.2,0,0.06 | 0.33 | 0.87,0.16 | 0.24 | 0.40,4.98 | 8.43 | 12.58
2024-04-11 03:51:11,10.964,142,0.2,0.2,0,0.06 | 0.32 | 0.87,0.14 | 0.17 | 0.23,8.58 | 11.58 | 14.49
2024-04-11 03:51:12,10.964,142,0.2,0.2,0,0.06 | 0.32 | 0.87,0.14 | 0.17 | 0.23,8.58 | 11.58 | 14.49
2024-04-11 03:51:12,15.757,647,0.4,0.2,0,0.05 | 0.19 | 0.37,0.15 | 0.24 | 0.42,4.80 | 8.20 | 13.16
2024-04-11 03:51:13,15.757,647,0.4,0.2,0,0.05 | 0.19 | 0.37,0.15 | 0.24 | 0.42,4.80 | 8.20 | 13.16
2024-04-11 03:51:13,16.765,647,0.4,0.2,0,0.05 | 0.20 | 0.37,0.15 | 0.35 | 0.65,3.06 | 5.73 | 13.16
2024-04-11 03:51:14,16.765,647,0.4,0.2,0,0.05 | 0.20 | 0.37,0.15 | 0.35 | 0.65,3.06 | 5.73 | 13.16
2024-04-11 03:51:14,17.79,647,0.4,0.2,0,0.05 | 0.18 | 0.34,0.15 | 0.48 | 0.71,2.80 | 4.13 | 13.16
2024-04-11 03:51:15,17.79,647,0.4,0.2,0,0.05 | 0.18 | 0.34,0.15 | 0.48 | 0.71,2.80 | 4.13 | 13.16
2024-04-11 03:51:15,16.949,647,0.4,0.2,0,0.05 | 0.18 | 0.34,0.15 | 0.48 | 0.71,2.80 | 4.13 | 13.16
2024-04-11 03:51:16,16.949,647,0.4,0.2,0,0.05 | 0.18 | 0.34,0.15 | 0.48 | 0.71,2.80 | 4.13 | 13.16
2024-04-11 03:51:16,17.875,647,0.4,0.2,0,0.05 | 0.43 | 1.08,0.42 | 0.59 | 0.71,2.80 | 3.40 | 4.80
2024-04-11 03:51:17,17.875,647,0.4,0.2,0,0.05 | 0.43 | 1.08,0.42 | 0.59 | 0.71,2.80 | 3.40 | 4.80
2024-04-11 03:51:17,18.866,647,0.4,0.2,0,0.04 | 0.43 | 1.08,0.57 | 0.66 | 0.71,2.80 | 3.04 | 3.50
2024-04-11 03:51:18,18.866,647,0.4,0.2,0,0.04 | 0.43 | 1.08,0.57 | 0.66 | 0.71,2.80 | 3.04 | 3.50
2024-04-11 03:51:18,17.803,647,0.4,0.2,0,0.04 | 0.43 | 1.08,0.57 | 0.66 | 0.71,2.80 | 3.04 | 3.50
2024-04-11 03:51:19,17.803,647,0.4,0.2,0,0.04 | 0.43 | 1.08,0.57 | 0.66 | 0.71,2.80 | 3.04 | 3.50
2024-04-11 03:51:19,18.969,647,0.4,0.2,0,0.04 | 0.40 | 1.08,0.57 | 1.03 | 2.14,0.93 | 1.94 | 3.50
2024-04-11 03:51:20,18.969,647,0.4,0.2,0,0.04 | 0.40 | 1.08,0.57 | 1.03 | 2.14,0.93 | 1.94 | 3.50
2024-04-11 03:51:20,17.933,647,0.4,0.2,0,0.04 | 0.40 | 1.08,0.57 | 1.03 | 2.14,0.93 | 1.94 | 3.50
2024-04-11 03:51:21,17.933,647,0.4,0.2,0,0.04 | 0.40 | 1.08,0.57 | 1.03 | 2.14,0.93 | 1.94 | 3.50
2024-04-11 03:51:21,18.88,647,0.4,0.2,0,0.03 | 0.34 | 1.08,0.57 | 1.28 | 2.14,0.93 | 1.56 | 3.50
2024-04-11 03:51:22,18.88,647,0.4,0.2,0,0.03 | 0.34 | 1.08,0.57 | 1.28 | 2.14,0.93 | 1.56 | 3.50
2024-04-11 03:51:22,19.814,647,0.4,0.2,0,0.03 | 0.08 | 0.21,0.69 | 1.47 | 2.14,0.93 | 1.36 | 2.88
2024-04-11 03:51:23,19.814,1093,0.6,0.2,0,0.03 | 0.08 | 0.21,0.69 | 1.47 | 2.14,0.93 | 1.36 | 2.88
2024-04-11 03:51:23,20.757,1093,0.6,0.2,0,0.03 | 0.08 | 0.21,0.89 | 1.52 | 2.14,0.93 | 1.32 | 2.24
2024-04-11 03:51:24,20.757,1093,0.6,0.2,0,0.03 | 0.08 | 0.21,0.89 | 1.52 | 2.14,0.93 | 1.32 | 2.24
2024-04-11 03:51:24,19.882,1093,0.6,0.2,0,0.03 | 0.08 | 0.21,0.89 | 1.52 | 2.14,0.93 | 1.32 | 2.24
2024-04-11 03:51:25,19.882,1093,0.6,0.2,0,0.03 | 0.08 | 0.21,0.89 | 1.52 | 2.14,0.93 | 1.32 | 2.24
2024-04-11 03:51:25,20.783,1093,0.6,0.2,0,0.03 | 0.03 | 0.04,0.89 | 1.49 | 2.03,0.99 | 1.34 | 2.24
2024-04-11 03:51:26,20.783,1093,0.6,0.2,0,0.03 | 0.03 | 0.04,0.89 | 1.49 | 2.03,0.99 | 1.34 | 2.24
2024-04-11 03:51:26,19.824,1093,0.6,0.2,0,0.03 | 0.03 | 0.04,0.89 | 1.49 | 2.03,0.99 | 1.34 | 2.24
2024-04-11 03:51:27,19.824,1093,0.6,0.2,0,0.03 | 0.03 | 0.04,0.89 | 1.49 | 2.03,0.99 | 1.34 | 2.24
2024-04-11 03:51:27,20.772,1093,0.6,0.2,0,0.02 | 0.03 | 0.04,0.89 | 1.54 | 2.03,0.99 | 1.30 | 2.24
2024-04-11 03:51:28,20.772,1093,0.6,0.2,0,0.02 | 0.03 | 0.04,0.89 | 1.54 | 2.03,0.99 | 1.30 | 2.24
2024-04-11 03:51:28,19.908,1093,0.6,0.4,0,0.02 | 0.03 | 0.04,0.89 | 1.54 | 2.03,0.99 | 1.30 | 2.24
2024-04-11 03:51:29,19.908,1093,0.6,0.4,0,0.02 | 0.03 | 0.04,0.89 | 1.54 | 2.03,0.99 | 1.30 | 2.24
2024-04-11 03:51:29,20.907,1093,0.6,0.4,0,0.02 | 0.03 | 0.04,0.89 | 1.64 | 2.03,0.99 | 1.22 | 2.24
2024-04-11 03:51:30,20.907,1093,0.6,0.4,0,0.02 | 0.03 | 0.04,0.89 | 1.64 | 2.03,0.99 | 1.22 | 2.24
2024-04-11 03:51:30,19.752,1093,0.6,0.4,0,0.02 | 0.03 | 0.04,0.89 | 1.64 | 2.03,0.99 | 1.22 | 2.24
2024-04-11 03:51:31,19.752,1093,0.6,0.4,0,0.02 | 0.03 | 0.04,0.89 | 1.64 | 2.03,0.99 | 1.22 | 2.24
2024-04-11 03:51:31,20.784,1093,0.6,0.4,0,0.02 | 0.03 | 0.03,1.48 | 1.79 | 2.03,0.99 | 1.12 | 1.35
2024-04-11 03:51:32,20.784,1093,0.6,0.4,0,0.02 | 0.03 | 0.03,1.48 | 1.79 | 2.03,0.99 | 1.12 | 1.35
2024-04-11 03:51:32,21.987,1093,0.6,0.4,0,0.02 | 0.03 | 0.03,1.27 | 1.60 | 1.91,1.05 | 1.25 | 1.57
2024-04-11 03:51:33,21.987,1093,0.6,0.4,0,0.02 | 0.03 | 0.03,1.27 | 1.60 | 1.91,1.05 | 1.25 | 1.57
2024-04-11 03:51:33,22.926,1093,0.6,0.4,0,0.02 | 0.03 | 0.03,1.13 | 1.41 | 1.73,1.15 | 1.42 | 1.77
2024-04-11 03:51:34,22.926,1904,0.8,0.4,0,0.02 | 0.03 | 0.03,1.13 | 1.41 | 1.73,1.15 | 1.42 | 1.77
2024-04-11 03:51:34,23.862,1904,0.8,0.4,0,0.02 | 0.02 | 0.03,0.95 | 1.21 | 1.48,1.35 | 1.65 | 2.10
2024-04-11 03:51:35,23.862,1904,0.8,0.4,0,0.02 | 0.02 | 0.03,0.95 | 1.21 | 1.48,1.35 | 1.65 | 2.10
2024-04-11 03:51:35,26.796,1904,0.8,0.4,0,0.02 | 0.02 | 0.02,0.60 | 0.85 | 1.13,1.77 | 2.35 | 3.32
