id,time,buffer,bitrate,throughput
1748,1712779325055,6.676,142,12.8
1749,1712779327026,9.645,142,2296.888
1749,1712779327560,2.639,142,2296.888
1750,1712779328961,10.654,142,4258.272
1751,1712779329376,5.754,142,4215.328
1752,1712779330500,13.729,142,4060.352
1752,1712779330860,9.778,142,4060.352
1753,1712779331490,16.668,142,4160.76
1754,1712779332723,10.638,142,3356.528
1755,1712779333440,17.658,142,3923.648
1757,1712779335350,16.816,142,3735.752
1757,1712779335945,16.688,142,3735.752
1758,1712779336924,15.891,142,3545.544
1759,1712779337220,15.755,142,3533.744
1760,1712779338849,16.82,142,3384.784
1761,1712779339164,16.706,647,3275.96
1762,1712779340730,17.625,647,3183.816
1763,1712779341120,17.639,647,3063.84
1764,1712779342950,17.787,647,2230.024
1765,1712779343028,18.653,647,2812.36
1765,1712779343925,18.723,647,2812.36
1767,1712779345210,20.665,1093,2553.336
1767,1712779345836,19.653,647,2553.336
1768,1712779346772,19.653,1093,2438.56
1769,1712779347156,19.795,1093,2340.784
1769,1712779347825,20.737,1093,2340.784
1770,1712779348800,21.673,1093,1403.928
1771,1712779349744,20.88,1093,2036.752
1772,1712779350720,23.629,1093,1982.832
1773,1712779351899,24.753,1904,1867.896
1774,1712779352868,25.687,1904,1762.872
1775,1712779353270,24.626,1904,1618.928
1776,1712779354806,25.662,1904,1557.184
1777,1712779355500,26.759,1904,1419.304
1777,1712779355775,26.759,1904,1419.304
1778,1712779356480,25.706,1904,1347.608
1779,1712779357299,26.645,1904,1255.688
1780,1712779358220,27.708,1904,1161.272
1781,1712779359231,28.629,1904,1060.4
1782,1712779360320,29.725,1904,990.16
1783,1712779361475,30.657,1904,916.944
1784,1712779362018,29.856,1904,839.312
1785,1712779363340,28.797,1904,761.336
1786,1712779364160,29.728,1904,710.232
1787,1712779365120,30.67,1904,642.272
1788,1712779366196,29.872,1904,594.328
1789,1712779367013,30.665,1904,561.496
1790,1712779368000,29.747,1904,502.008
1791,1712779369121,30.688,1904,467.656
1792,1712779370130,29.629,1904,454.496
1793,1712779371108,30.655,1904,329.48
1794,1712779372112,29.666,3886,93.568
1795,1712779373070,28.706,3886,201.024
1796,1712779374072,29.642,3886,302.424
1797,1712779375050,28.849,3886,407.232
1798,1712779376004,29.777,3886,366.008
1799,1712779377018,28.724,3886,286.04
1799,1712779377510,28.724,3886,286.04
1800,1712779378000,29.652,3886,454.528
1801,1712779379001,28.689,3886,480.184
1802,1712779380000,27.802,3886,525.336
1805,1712779383832,28.74,3886,648.64
1807,1712779385055,28.755,3886,769.176
1807,1712779385712,29.67,3886,769.176
1809,1712779387026,29.689,3886,749.36
1809,1712779387560,28.871,3886,749.36
1810,1712779388961,28.631,3886,287.16
1811,1712779389376,29.69,3886,670.888
1812,1712779390500,27.707,3886,536.176
1812,1712779390860,29.74,3886,536.176
1813,1712779391490,28.647,3886,768.656
1814,1712779392723,28.663,3886,324.64
1815,1712779393440,27.847,1904,885.752
1817,1712779395350,26.784,1904,1667.04
1817,1712779395945,24.662,1904,1667.04
1818,1712779396924,25.864,1904,1764.936
1819,1712779397220,25.726,1904,1890.04
1820,1712779398849,24.803,1904,1997.864
1821,1712779399164,24.674,1904,2117.232
1822,1712779400730,25.66,1904,2208.76
1823,1712779401120,25.879,1904,2366.728
1824,1712779402950,25.751,1904,2451.824
1825,1712779403028,24.818,1904,2582.984
1825,1712779403925,26.629,1904,2582.984
1827,1712779405210,26.827,1904,2126.56
1827,1712779405836,25.629,1904,2126.56
1829,1712779407156,25.77,1904,3002.592
1829,1712779407825,24.71,1904,3002.592
1830,1712779408800,23.642,1904,3148.216
1831,1712779409744,24.68,1904,3288.608
1832,1712779410720,23.783,1904,3371.064
1833,1712779411899,22.725,1904,3528.72
1834,1712779412868,21.658,1904,3607.248
1835,1712779413270,20.864,1904,3707.576
1836,1712779414806,19.799,1904,3817.752
1837,1712779415500,18.742,1904,3921.936
1838,1712779416480,19.677,647,2089.528
1839,1712779417299,18.873,647,83.4
1840,1712779418220,17.82,647,2657.944
1841,1712779419231,18.681,647,812.288
1842,1712779420197,18.681,647,2180.352
1842,1712779420320,17.688,647,2180.352
1843,1712779421475,16.625,647,152.736
1844,1712779422018,15.836,647,2587.4
1845,1712779423340,14.768,647,13.184
1846,1712779424160,13.705,647,3101.192
1847,1712779425120,14.642,647,1684.32
1848,1712779426196,13.846,647,1274.28
1849,1712779427013,12.785,647,1162.608
1850,1712779428000,11.727,647,4884.512
1851,1712779429121,10.643,647,4877.544
1852,1712779430130,9.856,647,4958.464
1853,1712779431108,8.8,647,2654.552
1854,1712779432112,7.743,647,4997.904
1855,1712779433070,6.672,647,2695.28
1856,1712779434072,5.871,647,5008.864
1857,1712779435050,4.813,647,4961.584
1858,1712779436004,3.759,142,4988.608
1859,1712779437018,4.695,142,2734.84
1860,1712779438000,3.892,142,4950.12
1861,1712779439001,4.686,142,4886.456
1862,1712779440000,3.768,142,4896.6
1865,1712779443832,4.711,142,2640.448
1867,1712779445055,5.173,142,4636.528
1867,1712779445712,5.874,142,4636.528
1869,1712779447026,4.375,142,4381.344
1869,1712779447560,4.808,142,4381.344
1870,1712779448961,3.243,142,4416.336
1871,1712779449376,4.071,142,4337.52
1872,1712779450500,4.39,142,4248.312
1872,1712779450860,4.156,142,4248.312
1873,1712779451490,6.055,142,4113.776
1874,1712779452723,5.19,142,4060.144
1875,1712779453440,9.106,142,3918.328
1877,1712779455350,10.077,142,3734.152
1877,1712779455945,12.209,142,3734.152
1878,1712779456924,13.098,142,3597.544
1879,1712779457220,11.276,142,3534.728
1880,1712779458849,16.077,647,3378.024
1881,1712779459164,20.131,647,3300.416
1882,1712779460730,17.272,647,3152.544
1883,1712779461120,23.098,647,3062.64
1884,1712779462080,23.098,1093,2945.08
1884,1712779462950,27.3,1093,2945.08
1885,1712779463028,24.106,1093,2817.432
1885,1712779463925,28.225,1093,2817.432
1887,1712779465210,28.117,1093,2576.496
1887,1712779465836,29.142,1093,2576.496
1889,1712779467156,29.312,1093,2337.816
1889,1712779467825,28.255,1093,2337.816
1890,1712779468800,29.186,1093,2227.48
1891,1712779469744,28.132,1904,2092.768
1892,1712779470705,28.132,1093,1996.648
1892,1712779470720,29.333,1904,1996.648
1893,1712779471899,30.232,1904,1833.144
1894,1712779472868,29.208,1904,1764.648
1895,1712779473270,28.147,1904,1650.68
1896,1712779474806,29.08,1904,1543.504
1897,1712779475500,28.289,1904,1443.88
1898,1712779476480,29.151,1904,1353.28
1899,1712779477299,28.16,1904,1240.768
1900,1712779478220,29.1,1904,1156.528
1901,1712779479231,30.145,1904,1079.552
1902,1712779480320,31.192,1904,988.232
1903,1712779481475,30.179,1904,909.808
1904,1712779482018,29.116,1904,836.136
1905,1712779483340,30.261,1904,762.456
1906,1712779484160,31.174,1904,704.064
1907,1712779485120,30.182,1904,655.056
1908,1712779486196,31.125,1904,590.464
1909,1712779487013,30.327,1904,552.352
1910,1712779488000,29.268,1904,514.912
1911,1712779489121,30.086,1904,476.848
1912,1712779490130,31.104,1904,451.568
1913,1712779491108,30.078,1904,208.04
1913,1712779491585,30.078,3886,208.04
1914,1712779492112,29.208,3886,409.808
1915,1712779493070,30.219,3886,401.776
1916,1712779494072,29.163,3886,405.688
1917,1712779495050,30.092,3886,393.08
1918,1712779496004,29.296,3886,414.288
1919,1712779497018,30.168,3886,438.832
1920,1712779498000,29.178,3886,449.72
1921,1712779499001,30.118,3886,486.432
1922,1712779500000,29.319,3886,517.048
1925,1712779503832,30.152,3886,649.176
1927,1712779505055,30.274,3886,774.496
1927,1712779505712,29.194,3886,774.496
1929,1712779507026,29.208,3886,916.192
1929,1712779507560,30.132,3886,916.192
1930,1712779508961,30.146,3886,998.52
1931,1712779509376,29.334,3886,1074.608
1932,1712779510500,29.225,3886,1172.04
1932,1712779510860,31.084,3886,1172.04
1933,1712779511490,30.161,3886,1262.456
1934,1712779512723,30.118,3886,1339.28
1935,1712779513440,31.092,3886,1459.384
1937,1712779515350,30.294,3886,1665.296
1937,1712779515945,30.166,3886,1665.296
1938,1712779516924,29.116,3886,1779.184
1939,1712779517220,29.242,3886,1879.288
1940,1712779518849,30.16,3886,1975.8
1941,1712779519164,30.145,3886,1309.128
1942,1712779520730,29.256,3886,1041.744
1943,1712779521120,29.132,3886,320.96
1944,1712779522950,29.273,3886,1033.52
1945,1712779523028,30.16,3886,138.864
1945,1712779523925,30.129,3886,138.864
1945,1712779523964,30.16,3886,138.864
1947,1712779525210,28.082,3886,2767.24
1947,1712779525836,29.146,3886,2767.24
1949,1712779527156,29.288,3886,1923.248
1949,1712779527825,30.225,3886,1923.248
1950,1712779528800,29.166,3886,3172.888
1951,1712779529744,30.103,3886,3269.144
1952,1712779530720,29.305,3886,3400.672
1953,1712779531899,28.239,3886,3490.432
1954,1712779532868,29.179,3886,3384.16
1955,1712779533270,28.117,3886,2421.08
1956,1712779534806,29.312,3886,621.904
1957,1712779535500,30.26,3886,2324.24
1958,1712779536480,29.192,3886,320.672
1959,1712779537299,28.133,3886,2675.04
1960,1712779538220,29.334,3886,651.12
1961,1712779539231,28.094,3886,1803.184
1962,1712779540320,27.208,3886,41.024
1963,1712779541475,28.14,647,1983.28
1964,1712779542018,29.08,647,312.632
1965,1712779543340,28.286,647,1696.76
1966,1712779544160,29.224,647,766.52
1967,1712779545120,28.153,647,1757.128
1968,1712779546196,27.1,647,324.544
1969,1712779547013,26.303,647,3199.008
1970,1712779548000,25.234,647,1060.096
1971,1712779549121,24.15,647,4007.096
1972,1712779550130,25.118,647,322.704
1973,1712779551108,24.321,647,2343.6
1974,1712779552112,25.249,647,2690.992
1975,1712779553070,24.194,647,4064.512
1976,1712779554072,25.125,647,290.96
1977,1712779555050,24.339,647,3251.952
1978,1712779556004,23.269,647,1453.528
1979,1712779557018,22.214,647,3672.4
1980,1712779558000,23.146,647,1557.064
1981,1712779559001,22.084,647,3614.248
1982,1712779560000,23.099,647,1716.104
1985,1712779563832,22.221,647,3023.568
1987,1712779565055,24.194,647,3349.84
1987,1712779565712,23.104,647,3349.84
1989,1712779567026,23.168,647,3087.496
1989,1712779567560,22.094,647,3087.496
1990,1712779568961,24.115,647,343.152
1991,1712779569376,23.25,647,3226.872
1992,1712779570500,25.191,647,444.736
1992,1712779570860,25.271,647,444.736
1993,1712779571490,24.135,647,3440.688
1994,1712779572723,24.142,647,317.536
1995,1712779573440,25.243,647,2298.544
1997,1712779575350,24.276,647,2121.552
1997,1712779575945,26.145,647,2121.552
1998,1712779576924,25.087,647,1871.984
1999,1712779577220,25.202,647,1952.856
2000,1712779578849,26.136,647,2568.904
2001,1712779579164,26.143,647,2632.496
2002,1712779580730,25.218,647,3159.368
2003,1712779581120,25.104,647,3058.16
2004,1712779582080,25.104,1093,2231.8
2004,1712779582950,27.241,1093,2231.8
2005,1712779583028,26.147,1093,2366.808
2005,1712779583925,28.183,1093,2366.808
2007,1712779585210,28.324,1093,2213.288
2007,1712779585836,29.108,1093,2213.288
2009,1712779587156,29.252,1093,2328.888
2009,1712779587825,28.196,1093,2328.888
2010,1712779588800,29.125,1093,2216.624
2011,1712779589744,28.12,1904,2092.488
2012,1712779590705,28.12,1093,1525.024
2012,1712779590720,29.274,1904,1525.024
2013,1712779591899,30.212,1904,1656.432
2014,1712779592868,29.151,1904,1761.696
2015,1712779593270,30.088,1904,1659.472
2016,1712779594806,29.293,1904,1538.128
2017,1712779595500,30.222,1904,1451.136
2018,1712779596480,29.167,1904,1329.896
2019,1712779597299,30.096,1904,969.104
2020,1712779598220,29.295,1904,877.008
2021,1712779599231,30.147,1904,597.112
2022,1712779600320,29.181,1904,137.136
2023,1712779601475,30.114,1904,12.32
2024,1712779602018,29.314,1904,14.064
2025,1712779603340,28.25,1904,254.0
2026,1712779604160,29.199,1904,671.64
2027,1712779605120,28.133,1904,523.152
