id,time,direction,rx_bytes,rx_frames,rx_rate,rx_rate_frames,tx_bytes,tx_frames,tx_rate,tx_rate_frames,loss_frames,drop_frames,queue_bytes,queue_frames,modify_frames,reordered_frames,duplicated_frames,corruption_frames,background_rx_bytes,background_rx_frames,background_tx_bytes,background_tx_frames,background_tx_rate,background_drop_frames
1,2024-04-11 03:32:59,left,336,4,2688,4,336,4,2688,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2024-04-11 03:32:59,right,576,6,4608,6,576,6,4608,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-04-11 03:33:00,left,930,11,4752,7,930,11,4752,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024-04-11 03:33:00,right,2392,22,14528,16,2392,22,14528,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-04-11 03:33:01,left,2446,21,12128,10,2446,21,12128,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2024-04-11 03:33:01,right,9054,93,53296,71,9054,93,53296,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-04-11 03:33:02,left,2892,26,3568,5,2892,26,3568,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-04-11 03:33:02,right,11284,114,17840,21,11284,114,17840,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-04-11 03:33:03,left,3480,33,4704,7,3480,33,4704,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-04-11 03:33:03,right,13232,131,15584,17,13232,131,15584,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-04-11 03:33:04,left,3900,38,3360,5,3900,38,3360,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2024-04-11 03:33:04,right,14778,144,12368,13,14778,144,12368,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-04-11 03:33:05,left,4236,42,2688,4,4236,42,2688,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2024-04-11 03:33:05,right,16520,158,13936,14,16520,158,13936,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-04-11 03:33:06,left,5010,50,6192,8,5010,50,6192,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2024-04-11 03:33:06,right,18569,172,16392,14,18569,172,16392,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-04-11 03:33:07,left,5456,55,3568,5,5456,55,3568,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024-04-11 03:33:07,right,20363,187,14352,15,20363,187,14352,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-04-11 03:33:08,left,5991,61,4280,6,5991,61,4280,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2024-04-11 03:33:08,right,22391,203,16224,16,22391,203,16224,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-04-11 03:33:09,left,59569,633,428624,572,59569,633,428624,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2024-04-11 03:33:09,right,147883,652,1003936,449,112605,545,721712,342,0,87,2928,20,0,0,0,0,0,0,0,0,0,0
12,2024-04-11 03:33:10,left,96320,1020,294008,387,96320,1020,294008,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2024-04-11 03:33:10,right,337643,1003,1518080,351,253572,880,1127736,335,0,113,12478,10,0,0,0,0,0,0,0,0,0,0
13,2024-04-11 03:33:11,left,123140,1310,214560,290,123140,1310,214560,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2024-04-11 03:33:11,right,536355,1283,1589696,280,412523,1134,1271608,254,0,144,4788,5,0,0,0,0,0,0,0,0,0,0
14,2024-04-11 03:33:12,left,161762,1720,308976,410,161762,1720,308976,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2024-04-11 03:33:12,right,756365,1643,1760080,360,581543,1460,1352160,326,0,174,10934,9,0,0,0,0,0,0,0,0,0,0
15,2024-04-11 03:33:13,left,183948,1954,177488,234,183948,1954,177488,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2024-04-11 03:33:13,right,986294,1886,1839432,243,763990,1673,1459576,213,0,210,3160,3,0,0,0,0,0,0,0,0,0,0
16,2024-04-11 03:33:14,left,204348,2166,163200,212,204348,2166,163200,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2024-04-11 03:33:14,right,1209408,2118,1784912,232,927582,1866,1308736,193,0,242,15380,10,0,0,0,0,0,0,0,0,0,0
17,2024-04-11 03:33:15,left,225734,2390,171088,224,225734,2390,171088,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2024-04-11 03:33:15,right,1442861,2384,1867624,266,1132270,2106,1637504,240,0,275,1668,3,0,0,0,0,0,0,0,0,0,0
18,2024-04-11 03:33:16,left,242295,2560,132488,170,242295,2560,132488,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2024-04-11 03:33:16,right,1658703,2584,1726736,200,1299026,2276,1334048,170,0,298,15380,10,0,0,0,0,0,0,0,0,0,0
19,2024-04-11 03:33:17,left,251061,2661,70128,101,251061,2661,70128,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2024-04-11 03:33:17,right,1904417,2757,1965712,173,1535386,2442,1890880,166,0,306,13842,9,0,0,0,0,0,0,0,0,0,0
20,2024-04-11 03:33:18,left,269844,2864,150264,203,269844,2864,150264,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2024-04-11 03:33:18,right,2204554,3021,2401096,264,1784769,2673,1995064,231,0,338,15380,10,0,0,0,0,0,0,0,0,0,0
21,2024-04-11 03:33:19,left,287810,3059,143728,195,287810,3059,143728,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2024-04-11 03:33:19,right,2482996,3265,2227536,244,2045939,2903,2089360,230,0,351,12658,11,0,0,0,0,0,0,0,0,0,0
22,2024-04-11 03:33:20,left,302290,3222,115840,163,302290,3222,115840,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2024-04-11 03:33:20,right,2787788,3501,2438336,236,2326209,3124,2242160,221,0,371,9228,6,0,0,0,0,0,0,0,0,0,0
23,2024-04-11 03:33:21,left,320703,3423,147304,201,320703,3423,147304,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2024-04-11 03:33:21,right,3127797,3787,2720072,286,2620078,3380,2350952,256,0,398,13842,9,0,0,0,0,0,0,0,0,0,0
24,2024-04-11 03:33:22,left,341272,3647,164552,224,341272,3647,164552,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2024-04-11 03:33:22,right,3484412,4080,2852920,293,2928453,3618,2467000,238,0,429,14404,33,0,0,0,0,0,0,0,0,0,0
25,2024-04-11 03:33:23,left,353842,3791,100560,144,353842,3791,100560,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2024-04-11 03:33:23,right,3817690,4315,2666224,235,3254603,3872,2609200,254,0,435,12304,8,0,0,0,0,0,0,0,0,0,0
26,2024-04-11 03:33:24,left,376662,4026,182560,235,376662,4026,182560,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2024-04-11 03:33:24,right,4191969,4629,2994232,314,3589850,4142,2681976,270,0,479,10882,8,0,0,0,0,0,0,0,0,0,0
27,2024-04-11 03:33:25,left,389936,4173,106192,147,389936,4173,106192,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2024-04-11 03:33:25,right,4557037,4884,2920544,255,3942646,4389,2822368,247,0,484,15464,11,0,0,0,0,0,0,0,0,0,0
28,2024-04-11 03:33:26,left,415572,4453,205088,280,415572,4453,205088,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2024-04-11 03:33:26,right,4962499,5230,3243696,346,4304876,4706,2897840,317,0,516,12304,8,0,0,0,0,0,0,0,0,0,0
29,2024-04-11 03:33:27,left,428906,4601,106672,148,428906,4601,106672,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2024-04-11 03:33:27,right,5347117,5492,3076944,262,4686418,4966,3052336,260,0,520,9228,6,0,0,0,0,0,0,0,0,0,0
30,2024-04-11 03:33:28,left,445715,4791,134472,190,445715,4791,134472,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2024-04-11 03:33:28,right,5756008,5796,3271128,304,5076685,5256,3122136,290,0,531,10934,9,0,0,0,0,0,0,0,0,0,0
31,2024-04-11 03:33:29,left,465039,5007,154592,216,465039,5007,154592,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2024-04-11 03:33:29,right,6199352,6121,3546752,325,5487899,5562,3289712,306,0,552,10766,7,0,0,0,0,0,0,0,0,0,0
32,2024-04-11 03:33:30,left,488890,5270,190808,263,488890,5270,190808,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2024-04-11 03:33:30,right,6679031,6502,3837432,381,5911454,5898,3388440,336,0,595,13842,9,0,0,0,0,0,0,0,0,0,0
33,2024-04-11 03:33:31,left,514561,5547,205368,277,514561,5547,205368,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2024-04-11 03:33:31,right,7151424,6883,3779144,381,6348473,6256,3496152,358,0,622,7690,5,0,0,0,0,0,0,0,0,0,0
34,2024-04-11 03:33:32,left,539584,5822,200184,275,539584,5822,200184,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2024-04-11 03:33:32,right,7652714,7269,4010320,386,6800421,6609,3615584,353,0,656,6152,4,0,0,0,0,0,0,0,0,0,0
35,2024-04-11 03:33:33,left,572010,6178,259408,356,572010,6178,259408,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2024-04-11 03:33:33,right,8181892,7729,4233424,460,7265330,7027,3719272,418,0,693,13842,9,0,0,0,0,0,0,0,0,0,0
36,2024-04-11 03:33:34,left,592844,6403,166672,225,592844,6403,166672,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2024-04-11 03:33:34,right,8533578,8028,2813488,299,7581642,7303,2530496,276,0,718,10766,7,0,0,0,0,0,0,0,0,0,0
37,2024-04-11 03:33:35,left,599818,6480,55792,77,599818,6480,55792,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2024-04-11 03:33:35,right,8600020,8118,531536,90,7648545,7393,535224,90,0,725,0,0,0,0,0,0,0,0,0,0,0,0
38,2024-04-11 03:33:36,left,612379,6616,100488,136,612379,6616,100488,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2024-04-11 03:33:36,right,8849779,8311,1998072,193,7858316,7560,1678168,167,0,742,13842,9,0,0,0,0,0,0,0,0,0,0
39,2024-04-11 03:33:37,left,624111,6748,93856,132,624111,6748,93856,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2024-04-11 03:33:37,right,9074696,8496,1799336,185,8086309,7747,1823944,187,0,749,0,0,0,0,0,0,0,0,0,0,0,0
40,2024-04-11 03:33:38,left,639906,6922,126360,174,639906,6922,126360,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2024-04-11 03:33:38,right,9438494,8770,2910384,274,8413195,7997,2615088,250,0,766,10766,7,0,0,0,0,0,0,0,0,0,0
41,2024-04-11 03:33:39,left,648823,7014,71336,92,648823,7014,71336,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2024-04-11 03:33:39,right,9534796,8867,770416,97,8509643,8094,771584,97,0,773,0,0,0,0,0,0,0,0,0,0,0,0
42,2024-04-11 03:33:40,left,661869,7148,104368,134,661869,7148,104368,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2024-04-11 03:33:40,right,9764700,9053,1839232,186,8704173,8257,1556240,163,0,788,12304,8,0,0,0,0,0,0,0,0,0,0
43,2024-04-11 03:33:41,left,681748,7378,159032,230,681748,7378,159032,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2024-04-11 03:33:41,right,10298956,9432,4274048,379,9225778,8627,4172840,370,0,799,8037,6,0,0,0,0,0,0,0,0,0,0
44,2024-04-11 03:33:42,left,700460,7577,149696,199,700460,7577,149696,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2024-04-11 03:33:42,right,10693263,9720,3154456,288,9588134,8895,2898848,268,0,818,10766,7,0,0,0,0,0,0,0,0,0,0
45,2024-04-11 03:33:43,left,713039,7719,100632,142,713039,7719,100632,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2024-04-11 03:33:43,right,10950118,9924,2054840,204,9843451,9098,2042536,203,0,826,0,0,0,0,0,0,0,0,0,0,0,0
46,2024-04-11 03:33:44,left,719795,7790,54048,71,719795,7790,54048,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2024-04-11 03:33:44,right,11038410,10016,706336,92,9896369,9167,423344,69,0,840,13842,9,0,0,0,0,0,0,0,0,0,0
47,2024-04-11 03:33:45,left,732645,7938,102800,148,732645,7938,102800,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2024-04-11 03:33:45,right,11409959,10273,2972392,257,10277020,9429,3045208,262,0,844,0,0,0,0,0,0,0,0,0,0,0,0
48,2024-04-11 03:33:46,left,750994,8131,146792,193,750994,8131,146792,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2024-04-11 03:33:46,right,11691587,10512,2253024,239,10517526,9641,1924048,212,0,863,12304,8,0,0,0,0,0,0,0,0,0,0
49,2024-04-11 03:33:47,left,763101,8269,96856,138,763101,8269,96856,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2024-04-11 03:33:47,right,11945257,10715,2029360,203,10769844,9843,2018544,202,0,872,0,0,0,0,0,0,0,0,0,0,0,0
50,2024-04-11 03:33:48,left,774049,8385,87584,116,774049,8385,87584,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2024-04-11 03:33:48,right,12043415,10840,785264,125,10832544,9944,501600,101,0,886,13926,10,0,0,0,0,0,0,0,0,0,0
51,2024-04-11 03:33:49,left,794312,8619,162104,234,794312,8619,162104,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2024-04-11 03:33:49,right,12666753,11260,4986704,420,11448276,10360,4925856,416,0,891,13842,9,0,0,0,0,0,0,0,0,0,0
52,2024-04-11 03:33:50,left,823757,8947,235560,328,823757,8947,235560,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
