id,time,direction,rx_bytes,rx_frames,rx_rate,rx_rate_frames,tx_bytes,tx_frames,tx_rate,tx_rate_frames,loss_frames,drop_frames,queue_bytes,queue_frames,modify_frames,reordered_frames,duplicated_frames,corruption_frames,background_rx_bytes,background_rx_frames,background_tx_bytes,background_tx_frames,background_tx_rate,background_drop_frames
1,1712777579000,right,576,6,4608,6,576,6,4608,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1712777580000,right,2392,22,14528,16,2392,22,14528,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1712777581000,right,9054,93,53296,71,9054,93,53296,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1712777582000,right,11284,114,17840,21,11284,114,17840,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1712777583000,right,13232,131,15584,17,13232,131,15584,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1712777584000,right,14778,144,12368,13,14778,144,12368,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1712777585000,right,16520,158,13936,14,16520,158,13936,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1712777586000,right,18569,172,16392,14,18569,172,16392,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1712777587000,right,20363,187,14352,15,20363,187,14352,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1712777588000,right,22391,203,16224,16,22391,203,16224,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1712777589000,right,147883,652,1003936,449,112605,545,721712,342,0,87,2928,20,0,0,0,0,0,0,0,0,0,0
12,1712777590000,right,337643,1003,1518080,351,253572,880,1127736,335,0,113,12478,10,0,0,0,0,0,0,0,0,0,0
13,1712777591000,right,536355,1283,1589696,280,412523,1134,1271608,254,0,144,4788,5,0,0,0,0,0,0,0,0,0,0
14,1712777592000,right,756365,1643,1760080,360,581543,1460,1352160,326,0,174,10934,9,0,0,0,0,0,0,0,0,0,0
15,1712777593000,right,986294,1886,1839432,243,763990,1673,1459576,213,0,210,3160,3,0,0,0,0,0,0,0,0,0,0
16,1712777594000,right,1209408,2118,1784912,232,927582,1866,1308736,193,0,242,15380,10,0,0,0,0,0,0,0,0,0,0
17,1712777595000,right,1442861,2384,1867624,266,1132270,2106,1637504,240,0,275,1668,3,0,0,0,0,0,0,0,0,0,0
18,1712777596000,right,1658703,2584,1726736,200,1299026,2276,1334048,170,0,298,15380,10,0,0,0,0,0,0,0,0,0,0
19,1712777597000,right,1904417,2757,1965712,173,1535386,2442,1890880,166,0,306,13842,9,0,0,0,0,0,0,0,0,0,0
20,1712777598000,right,2204554,3021,2401096,264,1784769,2673,1995064,231,0,338,15380,10,0,0,0,0,0,0,0,0,0,0
21,1712777599000,right,2482996,3265,2227536,244,2045939,2903,2089360,230,0,351,12658,11,0,0,0,0,0,0,0,0,0,0
22,1712777600000,right,2787788,3501,2438336,236,2326209,3124,2242160,221,0,371,9228,6,0,0,0,0,0,0,0,0,0,0
23,1712777601000,right,3127797,3787,2720072,286,2620078,3380,2350952,256,0,398,13842,9,0,0,0,0,0,0,0,0,0,0
24,1712777602000,right,3484412,4080,2852920,293,2928453,3618,2467000,238,0,429,14404,33,0,0,0,0,0,0,0,0,0,0
25,1712777603000,right,3817690,4315,2666224,235,3254603,3872,2609200,254,0,435,12304,8,0,0,0,0,0,0,0,0,0,0
26,1712777604000,right,4191969,4629,2994232,314,3589850,4142,2681976,270,0,479,10882,8,0,0,0,0,0,0,0,0,0,0
27,1712777605000,right,4557037,4884,2920544,255,3942646,4389,2822368,247,0,484,15464,11,0,0,0,0,0,0,0,0,0,0
28,1712777606000,right,4962499,5230,3243696,346,4304876,4706,2897840,317,0,516,12304,8,0,0,0,0,0,0,0,0,0,0
29,1712777607000,right,5347117,5492,3076944,262,4686418,4966,3052336,260,0,520,9228,6,0,0,0,0,0,0,0,0,0,0
30,1712777608000,right,5756008,5796,3271128,304,5076685,5256,3122136,290,0,531,10934,9,0,0,0,0,0,0,0,0,0,0
31,1712777609000,right,6199352,6121,3546752,325,5487899,5562,3289712,306,0,552,10766,7,0,0,0,0,0,0,0,0,0,0
32,1712777610000,right,6679031,6502,3837432,381,5911454,5898,3388440,336,0,595,13842,9,0,0,0,0,0,0,0,0,0,0
33,1712777611000,right,7151424,6883,3779144,381,6348473,6256,3496152,358,0,622,7690,5,0,0,0,0,0,0,0,0,0,0
34,1712777612000,right,7652714,7269,4010320,386,6800421,6609,3615584,353,0,656,6152,4,0,0,0,0,0,0,0,0,0,0
35,1712777613000,right,8181892,7729,4233424,460,7265330,7027,3719272,418,0,693,13842,9,0,0,0,0,0,0,0,0,0,0
36,1712777614000,right,8533578,8028,2813488,299,7581642,7303,2530496,276,0,718,10766,7,0,0,0,0,0,0,0,0,0,0
37,1712777615000,right,8600020,8118,531536,90,7648545,7393,535224,90,0,725,0,0,0,0,0,0,0,0,0,0,0,0
38,1712777616000,right,8849779,8311,1998072,193,7858316,7560,1678168,167,0,742,13842,9,0,0,0,0,0,0,0,0,0,0
39,1712777617000,right,9074696,8496,1799336,185,8086309,7747,1823944,187,0,749,0,0,0,0,0,0,0,0,0,0,0,0
40,1712777618000,right,9438494,8770,2910384,274,8413195,7997,2615088,250,0,766,10766,7,0,0,0,0,0,0,0,0,0,0
41,1712777619000,right,9534796,8867,770416,97,8509643,8094,771584,97,0,773,0,0,0,0,0,0,0,0,0,0,0,0
42,1712777620000,right,9764700,9053,1839232,186,8704173,8257,1556240,163,0,788,12304,8,0,0,0,0,0,0,0,0,0,0
43,1712777621000,right,10298956,9432,4274048,379,9225778,8627,4172840,370,0,799,8037,6,0,0,0,0,0,0,0,0,0,0
44,1712777622000,right,10693263,9720,3154456,288,9588134,8895,2898848,268,0,818,10766,7,0,0,0,0,0,0,0,0,0,0
45,1712777623000,right,10950118,9924,2054840,204,9843451,9098,2042536,203,0,826,0,0,0,0,0,0,0,0,0,0,0,0
46,1712777624000,right,11038410,10016,706336,92,9896369,9167,423344,69,0,840,13842,9,0,0,0,0,0,0,0,0,0,0
47,1712777625000,right,11409959,10273,2972392,257,10277020,9429,3045208,262,0,844,0,0,0,0,0,0,0,0,0,0,0,0
48,1712777626000,right,11691587,10512,2253024,239,10517526,9641,1924048,212,0,863,12304,8,0,0,0,0,0,0,0,0,0,0
49,1712777627000,right,11945257,10715,2029360,203,10769844,9843,2018544,202,0,872,0,0,0,0,0,0,0,0,0,0,0,0
50,1712777628000,right,12043415,10840,785264,125,10832544,9944,501600,101,0,886,13926,10,0,0,0,0,0,0,0,0,0,0
51,1712777629000,right,12666753,11260,4986704,420,11448276,10360,4925856,416,0,891,13842,9,0,0,0,0,0,0,0,0,0,0
52,1712777630000,right,13313486,11739,5173864,479,12048215,10808,4799512,448,0,924,9882,7,0,0,0,0,0,0,0,0,0,0
53,1712777631000,right,13731248,12022,3342096,283,12472783,11096,3396544,288,0,926,0,0,0,0,0,0,0,0,0,0,0,0
54,1712777632000,right,13999502,12252,2146032,230,12699511,11299,1813824,203,0,947,9228,6,0,0,0,0,0,0,0,0,0,0
55,1712777633000,right,14428426,12542,3431392,290,13131511,11591,3456000,292,0,951,0,0,0,0,0,0,0,0,0,0,0,0
56,1712777634000,right,14704402,12772,2207808,230,13356733,11788,1801776,197,0,975,13842,9,0,0,0,0,0,0,0,0,0,0
57,1712777635000,right,15142333,13068,3503448,296,13802354,12089,3564968,301,0,979,0,0,0,0,0,0,0,0,0,0,0,0
58,1712777636000,right,15400939,13288,2068848,220,14011934,12277,1676640,188,0,1004,10766,7,0,0,0,0,0,0,0,0,0,0
59,1712777637000,right,15942921,13655,4335856,367,14558530,12647,4372768,370,0,1008,0,0,0,0,0,0,0,0,0,0,0,0
60,1712777638000,right,16403201,14017,3682240,362,14973190,12978,3317280,331,0,1032,9312,7,0,0,0,0,0,0,0,0,0,0
61,1712777639000,right,16758269,14286,2840544,269,15323728,13245,2804304,267,0,1041,0,0,0,0,0,0,0,0,0,0,0,0
62,1712777640000,right,17083481,14533,2601696,247,15611812,13466,2304672,221,0,1057,13932,10,0,0,0,0,0,0,0,0,0,0
63,1712777641000,right,17700351,14946,4934960,413,16219544,13874,4861856,408,0,1063,13842,9,0,0,0,0,0,0,0,0,0,0
64,1712777642000,right,18162227,15313,3695008,367,16636299,14188,3334040,314,0,1092,14404,33,0,0,0,0,0,0,0,0,0,0
65,1712777643000,right,18765695,15719,4827744,406,17231101,14612,4758416,424,0,1101,9228,6,0,0,0,0,0,0,0,0,0,0
66,1712777644000,right,19413756,16199,5184488,480,17815582,15038,4675848,426,0,1151,13356,10,0,0,0,0,0,0,0,0,0,0
67,1712777645000,right,20001194,16591,4699504,392,18394844,15426,4634096,388,0,1156,13842,9,0,0,0,0,0,0,0,0,0,0
68,1712777646000,right,20359024,16880,2862640,289,18715937,15691,2568744,265,0,1182,10766,7,0,0,0,0,0,0,0,0,0,0
69,1712777647000,right,20935816,17266,4614336,386,19277349,16067,4491296,376,0,1189,15380,10,0,0,0,0,0,0,0,0,0,0
70,1712777648000,right,21505612,17675,4558368,409,19819461,16458,4336896,391,0,1208,13842,9,0,0,0,0,0,0,0,0,0,0
71,1712777649000,right,22080654,18085,4600336,410,20361097,16846,4333088,388,0,1231,12304,8,0,0,0,0,0,0,0,0,0,0
72,1712777650000,right,22639525,18483,4470968,398,20890746,17225,4237192,379,0,1250,12304,8,0,0,0,0,0,0,0,0,0,0
73,1712777651000,right,23187370,18876,4382760,393,21410907,17600,4161288,375,0,1269,10766,7,0,0,0,0,0,0,0,0,0,0
74,1712777652000,right,23727531,19261,4321288,385,21914156,17961,4025992,361,0,1290,15380,10,0,0,0,0,0,0,0,0,0,0
75,1712777653000,right,24249654,19640,4176984,379,22408707,18322,3956408,361,0,1309,13842,9,0,0,0,0,0,0,0,0,0,0
76,1712777654000,right,24737434,19971,3902240,331,22890938,18649,3857848,327,0,1315,10766,7,0,0,0,0,0,0,0,0,0,0
77,1712777655000,right,25252442,20377,4120064,406,23356604,19022,3725328,373,0,1350,7690,5,0,0,0,0,0,0,0,0,0,0
78,1712777656000,right,25722149,20699,3757656,322,23812469,19335,3646920,313,0,1355,13842,9,0,0,0,0,0,0,0,0,0,0
79,1712777657000,right,26187899,21037,3726000,338,24250535,19655,3504528,320,0,1372,15380,10,0,0,0,0,0,0,0,0,0,0
80,1712777658000,right,26646389,21372,3667920,335,24677593,19962,3416464,307,0,1404,9228,6,0,0,0,0,0,0,0,0,0,0
81,1712777659000,right,27066823,21666,3363472,294,25090003,20249,3299280,287,0,1408,11100,9,0,0,0,0,0,0,0,0,0,0
82,1712777660000,right,27468652,21964,3214632,298,25468852,20532,3030792,283,0,1420,15624,12,0,0,0,0,0,0,0,0,0,0
83,1712777661000,right,27896859,22302,3425656,338,25852575,20842,3069784,310,0,1453,10766,7,0,0,0,0,0,0,0,0,0,0
84,1712777662000,right,28271983,22556,3000992,254,26220009,21091,2939472,249,0,1457,12304,8,0,0,0,0,0,0,0,0,0,0
85,1712777663000,right,28632018,22802,2880280,246,26572270,21331,2818088,240,0,1460,15464,11,0,0,0,0,0,0,0,0,0,0
86,1712777664000,right,28966107,23034,2672712,232,26909435,21565,2697320,234,0,1463,9228,6,0,0,0,0,0,0,0,0,0,0
87,1712777665000,right,29297855,23271,2653984,237,27232860,21796,2587400,231,0,1466,13842,9,0,0,0,0,0,0,0,0,0,0
88,1712777666000,right,29618201,23521,2562768,250,27530046,22030,2377488,234,0,1481,13932,10,0,0,0,0,0,0,0,0,0,0
89,1712777667000,right,29937561,23769,2554880,248,27821722,22260,2333408,230,0,1500,12394,9,0,0,0,0,0,0,0,0,0,0
90,1712777668000,right,30220618,23965,2264456,196,28100255,22454,2228264,194,0,1504,10766,7,0,0,0,0,0,0,0,0,0,0
91,1712777669000,right,30527837,24228,2457752,263,28361250,22686,2087960,232,0,1532,13926,10,0,0,0,0,0,0,0,0,0,0
92,1712777670000,right,30778042,24405,2001640,177,28609875,22862,1989000,176,0,1537,9228,6,0,0,0,0,0,0,0,0,0,0
93,1712777671000,right,30972376,24569,1554672,164,28777625,23004,1342000,142,0,1556,13842,9,0,0,0,0,0,0,0,0,0,0
94,1712777672000,right,31197352,24729,1799808,160,28997771,23159,1761168,155,0,1559,14058,11,0,0,0,0,0,0,0,0,0,0
95,1712777673000,right,31456750,24987,2075184,258,29202564,23372,1638344,213,0,1607,10850,8,0,0,0,0,0,0,0,0,0,0
96,1712777674000,right,31654940,25125,1585520,138,29396224,23508,1549280,136,0,1609,12304,8,0,0,0,0,0,0,0,0,0,0
97,1712777675000,right,31858617,25290,1629416,165,29576225,23655,1440008,147,0,1623,14448,12,0,0,0,0,0,0,0,0,0,0
