id,time,buffer,bitrate,throughput
6337,1712773379500,0.0,647,519.096
6337,1712773380000,0.0,142,519.096
6337,1712773380500,4.0,142,519.096
6338,1712773381000,4.0,1904,557.36
6338,1712773381500,6.0,1904,557.36
6339,1712773382000,6.0,142,610.944
6340,1712773383500,5.661,142,645.824
6341,1712773384500,8.524,142,720.024
6342,1712773385000,8.524,142,779.784
6342,1712773385500,7.536,142,779.784
6343,1712773386500,10.483,142,851.488
6344,1712773387500,11.53,142,911.088
6345,1712773388500,12.625,142,1005.544
6346,1712773389500,13.565,142,961.208
6347,1712773390500,18.493,142,1127.616
6348,1712773391500,19.699,142,1255.52
6349,1712773392000,19.699,647,1349.056
6349,1712773392500,20.638,647,1349.056
6350,1712773393500,19.566,647,1449.272
6351,1712773394500,18.508,647,1563.24
6352,1712773395500,19.486,647,1649.816
6353,1712773396500,18.654,647,1780.424
6354,1712773397000,18.654,1093,1884.952
6354,1712773397500,19.592,1093,1884.952
6355,1712773398500,18.524,1093,1977.12
6356,1712773399500,19.468,1093,2117.248
6357,1712773400500,18.472,1093,2219.344
6358,1712773401500,17.604,1093,2359.152
6359,1712773402500,18.542,1093,2439.104
6360,1712773403500,17.488,1093,2599.128
6361,1712773404500,18.685,1093,2678.872
6362,1712773405500,17.623,1093,2792.84
6363,1712773406500,18.563,1093,2935.144
6364,1712773407500,17.504,1093,2777.944
6365,1712773408500,18.705,1093,3174.24
6366,1712773409500,19.64,1093,3169.44
6367,1712773410000,19.64,1904,3401.16
6367,1712773410500,20.522,1904,3401.16
6368,1712773411500,19.516,1904,3425.488
6369,1712773412500,20.594,1904,3618.72
6370,1712773413000,20.594,3886,3687.088
6370,1712773413500,21.514,3886,3687.088
6371,1712773414500,22.455,1904,3840.8
6372,1712773415500,21.533,1904,3934.48
6373,1712773416500,22.462,1904,4028.184
6374,1712773417000,22.462,1904,4114.008
6374,1712773417500,23.561,1904,4114.008
6375,1712773418500,22.488,1904,4205.688
6376,1712773419500,23.551,1904,4255.256
6377,1712773420500,24.482,1904,4364.144
6378,1712773421500,25.611,1904,1620.896
6379,1712773422500,26.53,1904,4069.472
6380,1712773423500,27.456,1904,1586.56
6381,1712773424500,28.502,1904,3364.704
6382,1712773425000,28.502,3886,2623.928
6382,1712773425500,29.576,3886,2623.928
6383,1712773426500,28.645,3886,4799.52
6384,1712773427500,29.58,3886,736.456
6385,1712773428500,28.506,3886,3982.168
6386,1712773429500,29.458,3886,1890.568
6387,1712773430500,30.544,3886,3227.664
6388,1712773431000,30.544,3886,4971.616
6388,1712773431500,29.585,3886,4971.616
6389,1712773432500,28.532,3886,4959.936
6390,1712773433500,29.459,3886,4854.376
6391,1712773434500,28.674,3886,3758.072
6392,1712773435000,28.674,3886,10.688
6392,1712773435500,29.523,3886,10.688
6393,1712773436500,28.55,3886,3685.216
6394,1712773437000,28.55,1904,4978.824
6394,1712773437500,29.489,1904,4978.824
6395,1712773438500,30.499,1904,4906.288
6396,1712773439500,29.628,3886,4880.88
6397,1712773440500,28.556,3886,4889.32
6398,1712773441500,29.496,3886,3701.384
6399,1712773442500,28.645,3886,3799.008
6400,1712773443500,29.557,3886,4758.44
6401,1712773444500,28.581,3886,3261.808
6402,1712773445500,29.513,3886,4637.688
6403,1712773446500,28.457,3886,4441.224
6404,1712773447500,27.661,3886,3457.976
6405,1712773448500,28.47,3886,4409.568
6406,1712773449500,27.532,1904,4336.824
6407,1712773450500,28.474,1904,4247.864
6408,1712773451500,29.582,1904,4103.776
6409,1712773452500,28.61,1904,4055.072
6410,1712773453500,27.549,1904,3919.72
6411,1712773454500,28.487,1904,3850.496
6412,1712773455000,28.487,1904,2849.728
6412,1712773455500,27.691,1904,2849.728
6413,1712773456500,26.627,1904,3640.152
6414,1712773457500,27.566,1904,3495.352
6415,1712773458500,26.505,1904,3401.184
6416,1712773459500,27.708,1904,3292.104
6417,1712773460500,26.643,1904,3184.528
6418,1712773461500,27.583,1904,3029.904
6419,1712773462500,28.516,1904,2940.872
6420,1712773463500,27.724,1904,2830.512
6421,1712773464500,28.615,1904,2698.648
6422,1712773465500,27.594,1904,2537.272
6423,1712773466500,26.533,1904,2462.984
6424,1712773467000,26.533,1904,2331.448
6424,1712773467500,25.468,1904,2331.448
6425,1712773468500,26.494,1904,2232.984
6426,1712773469000,26.494,1904,2096.936
6426,1712773469500,25.583,1904,2096.936
6427,1712773470500,24.543,1904,1995.512
6428,1712773471500,23.486,1904,1864.128
6429,1712773472500,22.686,1904,1748.056
6430,1712773473500,21.621,1904,1652.072
6431,1712773474500,20.566,1904,1545.568
6432,1712773475500,19.499,1904,1447.688
6433,1712773476000,19.499,1093,1343.088
6433,1712773476500,20.707,1093,1343.088
6434,1712773477500,19.639,1093,1250.032
6435,1712773478500,18.51,1093,1160.464
6436,1712773479000,18.51,1093,1072.096
6436,1712773479500,17.511,1093,1072.096
6437,1712773480500,16.721,1093,993.296
6438,1712773481500,15.654,1093,904.4
6439,1712773482500,16.553,1093,834.888
6440,1712773483000,16.553,647,769.752
6440,1712773483500,15.459,647,769.752
6441,1712773484500,14.471,647,708.728
6442,1712773485500,13.671,647,647.616
6443,1712773486500,12.607,647,600.472
6444,1712773487500,11.55,647,548.856
6445,1712773488500,10.491,647,508.584
6446,1712773489500,9.693,647,476.152
6447,1712773490500,8.622,647,449.848
6448,1712773491500,7.564,647,433.872
6449,1712773492500,6.497,647,409.952
6450,1712773493500,5.71,647,399.816
6451,1712773494500,6.504,647,402.632
6452,1712773495000,6.504,142,399.792
6452,1712773495500,5.585,142,399.792
6453,1712773496500,4.511,142,416.896
6454,1712773497000,4.511,142,421.136
6454,1712773497500,3.621,142,421.136
6455,1712773498500,2.509,142,458.384
6456,1712773499000,2.509,142,486.208
6456,1712773499500,3.598,142,486.208
6457,1712773500500,2.531,142,346.416
6458,1712773501000,2.531,142,563.04
6458,1712773501500,3.476,142,563.04
6459,1712773502500,2.677,142,591.232
6460,1712773503500,1.609,142,656.768
6461,1712773504500,2.551,142,716.76
6462,1712773505500,3.489,142,780.744
6463,1712773506500,2.693,142,846.736
6464,1712773507500,3.621,142,921.864
6465,1712773508500,2.51,142,1004.336
6466,1712773509500,3.506,142,1082.824
6467,1712773510500,4.507,142,1166.24
6468,1712773511500,3.648,142,1263.872
6469,1712773512500,4.581,647,1344.664
6470,1712773513500,5.517,647,1459.976
6471,1712773514000,5.517,142,1557.792
6471,1712773514500,6.46,142,1557.792
6472,1712773515000,6.46,1093,1674.08
6472,1712773515500,7.661,647,1674.08
6473,1712773516500,6.599,647,1704.272
6474,1712773517500,5.539,647,1891.36
6475,1712773518500,6.476,647,1992.88
6476,1712773519000,6.476,647,1127.208
6476,1712773519500,7.488,647,1127.208
6477,1712773520500,6.615,647,2239.36
6478,1712773521000,6.615,647,2324.0
6478,1712773521500,7.547,647,2324.0
6479,1712773522500,6.489,647,2322.416
6480,1712773523000,6.489,647,2207.816
6480,1712773523500,7.686,647,2207.816
6481,1712773524500,6.628,647,2689.576
6482,1712773525500,11.57,647,2684.248
6483,1712773526500,14.506,1093,2876.816
6484,1712773527500,17.522,1093,3030.536
6485,1712773528500,20.486,1904,3124.664
6486,1712773529000,20.486,1093,3274.448
6486,1712773529500,21.581,1093,3274.448
6487,1712773530000,21.581,1904,3410.312
6487,1712773530500,22.522,1904,3410.312
6488,1712773531500,25.505,1904,3453.776
6489,1712773532500,26.662,1904,3553.288
6490,1712773533500,27.595,1904,3743.88
6491,1712773534500,26.539,1904,3813.744
6492,1712773535000,26.539,3886,3921.864
6492,1712773535500,27.476,1904,3921.864
6493,1712773536500,26.677,1904,3926.352
6494,1712773537500,25.612,1904,622.528
6495,1712773538500,26.514,1904,2659.312
6496,1712773539500,27.49,1904,402.528
6497,1712773540500,30.487,1904,1638.944
6498,1712773541000,30.487,1904,564.536
6498,1712773541500,29.612,1904,564.536
6499,1712773542500,30.552,1904,2355.136
6500,1712773543500,29.481,1904,370.632
6501,1712773544500,30.696,1904,2883.824
6502,1712773545500,29.625,3886,934.968
6503,1712773546500,30.57,3886,3947.472
6504,1712773547500,29.501,3886,418.264
6505,1712773548500,30.486,3886,3641.448
6506,1712773549000,30.486,3886,335.248
6506,1712773549500,29.644,3886,335.248
6507,1712773550500,30.583,3886,3586.024
6508,1712773551000,30.583,3886,790.344
6508,1712773551500,29.525,3886,790.344
6509,1712773552500,30.501,3886,4355.96
6510,1712773553000,30.501,3886,614.608
6510,1712773553500,29.661,3886,614.608
6511,1712773554500,30.59,3886,4215.408
6512,1712773555500,29.535,3886,613.4
6513,1712773556500,30.478,3886,4498.712
6514,1712773557500,29.67,3886,688.984
6515,1712773558500,30.51,3886,4493.824
6516,1712773559500,29.549,3886,635.48
6517,1712773560500,30.493,3886,4528.664
6518,1712773561500,29.693,3886,544.72
6519,1712773562500,30.634,3886,3760.856
6520,1712773563500,29.571,3886,335.28
6521,1712773564500,30.502,3886,2905.28
6522,1712773565500,29.711,3886,597.584
6523,1712773566500,30.641,3886,3694.136
6524,1712773567500,29.587,3886,14.016
6525,1712773568500,30.499,3886,3188.312
6526,1712773569500,29.728,3886,578.752
6527,1712773570500,30.666,3886,3441.728
6528,1712773571500,29.602,3886,357.04
6529,1712773572500,30.472,3886,2718.176
6530,1712773573500,29.478,3886,1056.272
6531,1712773574500,30.661,3886,2730.448
6532,1712773575000,30.661,3886,532.896
6532,1712773575500,29.605,3886,532.896
6533,1712773576500,30.474,3886,3514.104
6534,1712773577500,29.494,3886,385.776
6535,1712773578500,30.514,3886,3413.472
6536,1712773579500,29.626,3886,1983.368
6537,1712773580500,30.507,3886,3179.904
6538,1712773581500,29.508,3886,1880.568
6539,1712773582500,28.712,3886,2938.664
6540,1712773583500,29.651,3886,2774.92
6541,1712773584500,28.585,3886,2149.576
6542,1712773585500,29.525,3886,19.736
6543,1712773586500,28.728,3886,2150.392
6544,1712773587000,28.728,1904,2333.376
6544,1712773587500,29.661,1904,2333.376
6545,1712773588500,30.514,1904,2185.904
6546,1712773589500,29.54,3886,800.68
6547,1712773590500,28.468,3886,1642.6
6548,1712773591500,29.533,1904,1855.456
6549,1712773592500,30.549,1904,1372.784
6550,1712773593500,29.492,3886,12.384
6551,1712773594500,28.495,3886,1448.112
6552,1712773595000,28.495,1093,1007.624
6552,1712773595500,29.696,1093,1007.624
6553,1712773596500,30.603,1093,1337.848
6554,1712773597000,30.603,1904,974.44
6554,1712773597500,29.517,1904,974.44
6555,1712773598500,28.501,1904,980.632
6556,1712773599000,28.501,3886,458.072
6556,1712773599500,29.637,3886,458.072
6557,1712773600000,29.637,647,790.704
6557,1712773600500,28.584,647,790.704
6558,1712773601500,29.585,647,316.68
6559,1712773602500,30.525,647,575.232
6560,1712773603500,29.726,647,545.016
6561,1712773604500,30.577,647,713.872
6562,1712773605500,29.597,647,420.136
6563,1712773606500,28.541,647,589.12
6564,1712773607500,29.469,647,551.112
6565,1712773608500,28.515,647,510.32
6566,1712773609500,29.61,647,370.848
6567,1712773610500,28.553,647,450.16
6568,1712773611000,28.553,142,435.904
6568,1712773611500,29.494,142,435.904
6569,1712773612500,30.53,142,409.952
6570,1712773613000,30.53,1093,398.888
6570,1712773613500,29.623,1093,398.888
6571,1712773614500,28.566,1093,305.584
6572,1712773615500,29.478,142,124.328
6573,1712773616500,28.519,142,413.104
6574,1712773617000,28.519,142,433.288
6574,1712773617500,29.644,142,433.288
6575,1712773618500,28.512,142,459.144
6576,1712773619000,28.512,647,444.344
6576,1712773619500,29.519,647,444.344
6577,1712773620500,28.463,647,516.928
6578,1712773621000,28.463,647,566.144
6578,1712773621500,27.664,142,566.144
6579,1712773622500,28.591,142,601.456
6580,1712773623000,28.591,142,595.232
6580,1712773623500,29.534,142,595.232
6581,1712773624500,30.478,142,721.16
6582,1712773625000,30.478,647,772.84
6582,1712773625500,29.676,647,772.84
6583,1712773626500,28.619,647,856.192
6584,1712773627000,28.619,1904,789.912
6584,1712773627500,29.558,1904,789.912
6585,1712773628500,28.494,1904,821.312
6586,1712773629000,28.494,1904,491.8
6586,1712773629500,27.688,1904,491.8
6587,1712773630000,27.688,142,1172.144
6587,1712773630500,28.525,142,1172.144
6588,1712773631000,28.525,647,819.176
6588,1712773631500,29.508,647,819.176
6589,1712773632500,30.507,647,1347.296
6590,1712773633000,30.507,1093,390.04
6590,1712773633500,29.706,1093,390.04
6591,1712773634500,28.647,1093,1453.752
6592,1712773635500,29.59,647,809.904
6593,1712773636500,30.522,647,1221.128
6594,1712773637000,30.522,1093,553.848
6594,1712773637500,29.614,1093,553.848
6595,1712773638500,28.51,1093,1621.44
6596,1712773639500,29.594,1093,323.56
6597,1712773640500,30.542,1093,2137.784
6598,1712773641000,30.542,1093,1189.792
6598,1712773641500,29.478,1904,1189.792
6599,1712773642500,30.679,1904,1495.696
6600,1712773643000,30.679,3886,590.296
6600,1712773643500,29.622,3886,590.296
6601,1712773644500,28.557,3886,2350.912
6602,1712773645000,28.557,3886,604.696
6602,1712773645500,29.491,1904,604.696
6603,1712773646500,30.598,1904,2537.952
6604,1712773647500,29.635,1904,3054.192
6605,1712773648500,30.512,1904,3106.576
6606,1712773649000,30.512,1904,1240.616
6606,1712773649500,29.487,3886,1240.616
6607,1712773650500,28.713,3886,2303.544
6608,1712773651000,28.713,3886,3435.816
6608,1712773651500,29.588,1904,3435.816
6609,1712773652500,28.59,1904,2297.912
6610,1712773653500,29.513,3886,318.96
6611,1712773654500,28.716,3886,3170.4
6612,1712773655000,28.716,1904,2220.928
6612,1712773655500,29.65,1904,2220.928
6613,1712773656500,30.588,1904,4039.904
6614,1712773657000,30.588,1904,2923.288
6614,1712773657500,29.522,3886,2923.288
6615,1712773658500,28.465,3886,3617.72
6616,1712773659000,28.465,3886,4328.456
6616,1712773659500,29.667,3886,4328.456
6617,1712773660500,28.604,3886,4305.56
6618,1712773661000,28.604,3886,4488.712
6618,1712773661500,29.542,3886,4488.712
6619,1712773662500,28.482,3886,4478.04
6620,1712773663000,28.482,3886,4630.104
6620,1712773663500,27.68,3886,4630.104
6621,1712773664000,27.68,1904,4648.392
6621,1712773664500,28.623,1904,4648.392
6622,1712773665000,28.623,1904,4755.512
6622,1712773665500,27.56,1904,4755.512
6623,1712773666500,28.482,1904,4697.968
6624,1712773667000,28.482,1904,4859.848
6624,1712773667500,27.7,1904,4859.848
6625,1712773668500,28.515,1904,4882.248
6626,1712773669500,27.576,1904,4875.776
6627,1712773670500,28.513,1904,4412.048
6628,1712773671000,28.513,1904,845.424
6628,1712773671500,27.717,1904,845.424
6629,1712773672500,26.652,1904,2909.896
6630,1712773673000,26.652,1904,19.528
6630,1712773673500,27.592,1904,19.528
6631,1712773674500,30.522,1904,4359.232
6632,1712773675000,30.522,3886,321.112
6632,1712773675500,29.732,3886,321.112
6633,1712773676500,30.669,3886,2633.496
6634,1712773677500,29.607,3886,4984.296
6635,1712773678500,30.513,3886,4889.104
6636,1712773679000,30.513,3886,4929.12
6636,1712773679500,29.478,3886,4929.12
6637,1712773680500,28.683,3886,4841.744
6638,1712773681000,28.683,3886,4858.664
6638,1712773681500,27.623,3886,4858.664
6639,1712773682500,28.559,3886,4803.312
6640,1712773683000,28.559,3886,4702.208
6640,1712773683500,27.498,3886,4702.208
6641,1712773684500,28.48,3886,4698.44
6642,1712773685000,28.48,3886,4573.208
6642,1712773685500,27.635,3886,4573.208
6643,1712773686500,28.564,3886,4509.168
6644,1712773687000,28.564,3886,2919.984
6644,1712773687500,27.512,3886,2919.984
6645,1712773688500,26.499,3886,2727.24
6646,1712773689500,27.655,3886,1401.616
6647,1712773690000,27.655,1904,3069.544
6647,1712773690500,28.592,1904,3069.544
6648,1712773691500,29.525,1904,4155.392
6649,1712773692500,28.468,1904,3967.552
6650,1712773693000,28.468,1904,3928.224
6650,1712773693500,29.665,3886,3928.224
6651,1712773694500,28.607,3886,3851.392
6652,1712773695500,27.546,3886,680.92
6653,1712773696000,27.546,1904,3166.536
6653,1712773696500,28.483,1904,3166.536
6654,1712773697500,29.685,1904,3523.144
6655,1712773698500,30.509,1904,3313.832
6656,1712773699500,29.554,3886,2175.424
6657,1712773700500,28.493,3886,2917.328
6658,1712773701500,29.499,1904,3072.68
6659,1712773702500,28.638,1904,2937.64
6660,1712773703000,28.638,3886,2092.808
6660,1712773703500,29.576,3886,2092.808
6661,1712773704500,28.512,3886,2696.568
6662,1712773705000,28.512,3886,2573.4
6662,1712773705500,27.717,3886,2573.4
6663,1712773706500,26.649,3886,2453.576
6664,1712773707000,26.649,1904,620.352
6664,1712773707500,27.59,1904,620.352
6665,1712773708500,28.52,1904,2120.128
6666,1712773709500,29.577,1904,1622.248
6667,1712773710500,28.5,1904,1731.304
6668,1712773711000,28.5,3886,1232.28
6668,1712773711500,29.599,3886,1232.28
6669,1712773712500,28.54,3886,1386.472
6670,1712773713500,29.48,3886,320.696
6671,1712773714500,28.687,3886,1095.656
6672,1712773715000,28.687,1904,786.184
6672,1712773715500,29.616,1904,786.184
6673,1712773716500,30.551,1904,1191.232
6674,1712773717500,29.495,1904,464.52
6675,1712773718500,28.515,1904,1155.256
6676,1712773719000,28.515,1093,384.8
6676,1712773719500,29.57,1093,384.8
6677,1712773720500,30.568,1093,904.208
6678,1712773721500,29.513,1093,909.84
6679,1712773722500,30.558,1093,830.4
6680,1712773723000,30.558,3886,430.416
6680,1712773723500,29.473,3886,430.416
6681,1712773724000,29.473,647,620.608
6681,1712773724500,28.579,647,620.608
6682,1712773725000,28.579,647,218.608
6682,1712773725500,29.523,647,218.608
6683,1712773726500,30.469,647,591.816
6684,1712773727500,29.67,647,409.584
6685,1712773728500,28.519,647,512.4
6686,1712773729000,28.519,647,477.232
6686,1712773729500,29.541,647,477.232
6687,1712773730500,28.484,647,452.456
6688,1712773731000,28.484,647,417.336
6688,1712773731500,29.686,647,417.336
6689,1712773732000,29.686,142,418.816
6689,1712773732500,28.615,142,418.816
6690,1712773733000,28.615,142,396.744
6690,1712773733500,27.561,142,396.744
6691,1712773734500,28.487,142,378.168
6692,1712773735000,28.487,142,383.992
6692,1712773735500,29.492,142,383.992
6693,1712773736500,28.633,142,414.912
6694,1712773737500,29.573,142,434.12
6695,1712773738500,28.515,142,452.96
6696,1712773739500,29.705,142,178.184
6697,1712773740500,30.648,142,520.352
6698,1712773741000,30.648,142,563.808
6698,1712773741500,29.592,142,563.808
6699,1712773742500,28.522,142,597.224
6700,1712773743000,28.522,647,652.936
6700,1712773743500,29.469,647,652.936
6701,1712773744500,28.669,142,591.192
6702,1712773745000,28.669,142,382.68
6702,1712773745500,27.6,142,382.68
6703,1712773746500,28.543,142,512.504
6704,1712773747500,29.471,142,101.816
6705,1712773748500,30.518,142,437.168
6706,1712773749000,30.518,142,325.6
6706,1712773749500,29.619,142,325.6
6707,1712773750500,30.553,142,586.24
6708,1712773751500,29.499,142,326.84
6709,1712773752500,30.699,142,958.208
6710,1712773753000,30.699,142,1456.984
6710,1712773753500,29.628,142,1456.984
6711,1712773754500,30.573,142,1563.36
6712,1712773755500,29.503,3886,1659.848
6713,1712773756000,29.503,1093,1773.928
6713,1712773756500,28.636,1093,1773.928
6714,1712773757500,27.656,1093,1868.64
6715,1712773758500,28.505,1093,1999.672
6716,1712773759500,27.526,1093,2124.92
6717,1712773760500,28.47,1093,2231.512
6718,1712773761000,28.47,1093,1476.744
6718,1712773761500,27.664,1093,1476.744
6719,1712773762500,28.61,1093,2219.424
6720,1712773763500,29.546,1093,458.856
6721,1712773764500,28.484,1093,2705.552
6722,1712773765500,29.689,1093,1800.024
6723,1712773766500,30.623,1093,2730.328
6724,1712773767000,30.623,1904,3049.944
6724,1712773767500,29.55,1904,3049.944
6725,1712773768500,28.499,1904,3173.32
6726,1712773769000,28.499,3886,3225.304
6726,1712773769500,29.638,3886,3225.304
