Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-09 19:02:21,0,0,NaN,NaN,0,,,
2024-04-09 19:02:22,0,0,NaN,NaN,0,,,
2024-04-09 19:02:22,0,0,NaN,NaN,0,,,
2024-04-09 19:02:23,0,0,NaN,NaN,0,,,
2024-04-09 19:02:23,0,0,NaN,NaN,0,,,
2024-04-09 19:02:24,0,0,NaN,NaN,0,,,
2024-04-09 19:02:24,0,0,NaN,NaN,0,,,
2024-04-09 19:02:25,0,0,NaN,NaN,0,,,
2024-04-09 19:02:25,0,0,NaN,NaN,0,,,
2024-04-09 19:02:26,0,647,0.4,NaN,0,,,
2024-04-09 19:02:26,0,3886,1,Infinity,0,,,
2024-04-09 19:02:27,3.558,3886,1,0.4,0,0.02 | 0.02 | 0.02,0.23 | 0.25 | 0.26,7.75 | 8.15 | 8.58
2024-04-09 19:02:27,3.558,3886,1,0.4,0,0.02 | 0.02 | 0.02,0.23 | 0.25 | 0.26,7.75 | 8.15 | 8.58
2024-04-09 19:02:28,2.496,3886,1,0.4,0,0.02 | 0.02 | 0.02,0.23 | 0.25 | 0.26,7.75 | 8.15 | 8.58
2024-04-09 19:02:28,2.496,1904,0.8,0.4,0,0.02 | 0.02 | 0.02,0.23 | 0.25 | 0.26,7.75 | 8.15 | 8.58
2024-04-09 19:02:29,3.433,1904,0.8,0.4,0,0.02 | 0.02 | 0.02,0.23 | 0.72 | 1.67,1.20 | 2.78 | 8.58
2024-04-09 19:02:29,3.433,3886,1,0.4,0,0.02 | 0.02 | 0.02,0.23 | 0.72 | 1.67,1.20 | 2.78 | 8.58
2024-04-09 19:02:30,4.366,3886,1,0.4,0,0.02 | 0.02 | 0.02,0.23 | 0.79 | 1.67,1.20 | 2.52 | 8.58
2024-04-09 19:02:30,4.366,3886,1,1,0,0.02 | 0.02 | 0.02,0.23 | 0.79 | 1.67,1.20 | 2.52 | 8.58
2024-04-09 19:02:31,5.372,1904,0.8,1,0,0.02 | 0.02 | 0.02,0.23 | 1.13 | 1.67,1.20 | 1.77 | 8.58
2024-04-09 19:02:31,5.372,1904,0.8,1,0,0.02 | 0.02 | 0.02,0.23 | 1.13 | 1.67,1.20 | 1.77 | 8.58
2024-04-09 19:02:32,6.371,3886,1,1,0,0.01 | 0.02 | 0.02,0.73 | 1.25 | 1.67,1.20 | 1.60 | 2.74
2024-04-09 19:02:32,6.371,3886,1,0.8,0,0.01 | 0.02 | 0.02,0.73 | 1.25 | 1.67,1.20 | 1.60 | 2.74
2024-04-09 19:02:33,5.447,3886,1,0.8,0,0.01 | 0.02 | 0.02,0.73 | 1.25 | 1.67,1.20 | 1.60 | 2.74
2024-04-09 19:02:33,5.447,3886,1,0.8,0,0.01 | 0.02 | 0.02,0.73 | 1.25 | 1.67,1.20 | 1.60 | 2.74
2024-04-09 19:02:34,6.384,3886,1,0.8,0,0.01 | 0.04 | 0.10,0.73 | 1.26 | 1.69,1.18 | 1.59 | 2.74
2024-04-09 19:02:34,6.384,3886,1,1,0,0.01 | 0.04 | 0.10,0.73 | 1.26 | 1.69,1.18 | 1.59 | 2.74
2024-04-09 19:02:35,5.591,3886,1,1,0,0.01 | 0.04 | 0.10,0.73 | 1.26 | 1.69,1.18 | 1.59 | 2.74
2024-04-09 19:02:35,5.591,3886,1,1,0,0.01 | 0.04 | 0.10,0.73 | 1.26 | 1.69,1.18 | 1.59 | 2.74
2024-04-09 19:02:36,6.398,3886,1,1,0,0.01 | 0.04 | 0.10,0.73 | 1.52 | 2.07,0.96 | 1.31 | 2.74
2024-04-09 19:02:36,6.398,3886,1,0.8,0,0.01 | 0.04 | 0.10,0.73 | 1.52 | 2.07,0.96 | 1.31 | 2.74
2024-04-09 19:02:37,5.464,3886,1,0.8,0,0.01 | 0.04 | 0.10,0.73 | 1.52 | 2.07,0.96 | 1.31 | 2.74
2024-04-09 19:02:37,5.464,3886,1,0.8,0,0.01 | 0.04 | 0.10,0.73 | 1.52 | 2.07,0.96 | 1.31 | 2.74
