Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 17:25:25,0,0,NaN,NaN,0,,,
2024-04-10 17:25:26,0,0,NaN,NaN,0,,,
2024-04-10 17:25:26,0,0,NaN,NaN,0,,,
2024-04-10 17:25:27,0,142,0.2,NaN,0,,,
2024-04-10 17:25:27,0,1904,0.8,NaN,0,,,
2024-04-10 17:25:28,3.984,1904,0.8,1,0,0.01 | 0.03 | 0.04,0.03 | 0.41 | 0.79,2.53 | 4.85 | 60.61
2024-04-10 17:25:28,3.984,1904,0.8,1,0,0.01 | 0.03 | 0.04,0.03 | 0.41 | 0.79,2.53 | 4.85 | 60.61
2024-04-10 17:25:29,5.031,1904,0.8,1,0,0.01 | 0.02 | 0.04,0.03 | 0.49 | 0.79,2.53 | 4.09 | 60.61
2024-04-10 17:25:29,5.031,1904,0.8,1,0,0.01 | 0.02 | 0.04,0.03 | 0.49 | 0.79,2.53 | 4.09 | 60.61
2024-04-10 17:25:30,7.968,1904,0.8,0.2,0,0.01 | 0.01 | 0.02,0.03 | 0.45 | 0.64,3.12 | 4.44 | 60.61
2024-04-10 17:25:30,7.968,1904,0.8,0.2,0,0.01 | 0.01 | 0.02,0.03 | 0.45 | 0.64,3.12 | 4.44 | 60.61
2024-04-10 17:25:31,10.906,1904,0.8,0.2,0,0.01 | 0.01 | 0.02,0.39 | 0.52 | 0.59,3.38 | 3.85 | 5.10
2024-04-10 17:25:31,10.906,1904,0.8,0.2,0,0.01 | 0.01 | 0.02,0.39 | 0.52 | 0.59,3.38 | 3.85 | 5.10
2024-04-10 17:25:32,13.97,1904,0.8,0.8,0,0.01 | 0.01 | 0.02,0.39 | 0.55 | 0.67,3.00 | 3.65 | 5.10
2024-04-10 17:25:32,13.97,1904,0.8,0.8,0,0.01 | 0.01 | 0.02,0.39 | 0.55 | 0.67,3.00 | 3.65 | 5.10
2024-04-10 17:25:33,15.045,1904,0.8,0.8,0,0.01 | 0.01 | 0.02,0.56 | 0.62 | 0.70,2.87 | 3.21 | 3.58
2024-04-10 17:25:33,15.045,1904,0.8,0.8,0,0.01 | 0.01 | 0.02,0.56 | 0.62 | 0.70,2.87 | 3.21 | 3.58
