id,time,buffer,bitrate,throughput
239,1712691825000,0.0,647,4512.152
239,1712691825500,3.278,647,4512.152
240,1712691826500,8.189,647,4480.816
241,1712691827000,8.189,1093,5989.264
241,1712691827500,11.147,1093,5989.264
242,1712691828000,11.147,1904,20105.136
242,1712691828500,14.216,1904,20105.136
243,1712691829500,17.292,3886,35502.792
244,1712691830500,18.225,3886,9595.744
245,1712691831500,21.157,3886,22953.36
246,1712691832500,26.166,3886,16808.104
247,1712691833500,27.31,3886,290.048
248,1712691834500,28.236,3886,5367.128
249,1712691835500,31.188,3886,9579.464
250,1712691836500,30.393,3886,13747.192
251,1712691837500,29.327,3886,315.696
252,1712691838500,30.258,3886,12776.92
253,1712691839500,29.201,3886,293.808
254,1712691840500,30.141,3886,3151.496
255,1712691841500,31.13,3886,8550.304
256,1712691842500,30.279,3886,4461.976
257,1712691843500,29.206,3886,297.976
258,1712691844500,30.145,3886,4189.8
259,1712691845500,29.35,3886,299.784
260,1712691846500,30.297,3886,6737.888
261,1712691847500,29.226,3886,364.072
262,1712691848500,30.166,3886,8004.472
263,1712691849500,31.172,3886,2043.208
264,1712691850500,30.298,3886,9729.784
265,1712691851500,29.248,3886,24.072
266,1712691852500,30.182,3886,6903.072
267,1712691853500,29.39,3886,3584.04
268,1712691854500,30.319,3886,8708.248
269,1712691855500,29.257,3886,298.096
270,1712691856500,30.192,3886,3633.976
271,1712691857500,29.138,3886,3847.024
272,1712691858500,30.289,3886,7002.024
273,1712691859500,29.266,3886,294.224
274,1712691860500,30.211,3886,6387.856
275,1712691861500,29.144,3886,1575.424
276,1712691862500,30.308,3886,5570.56
277,1712691863500,29.3,3886,286.8
278,1712691864500,30.229,3886,4948.896
279,1712691865500,29.162,3886,294.72
280,1712691866500,30.245,3886,5323.928
281,1712691867500,29.308,3886,14.952
282,1712691868500,30.242,3886,4258.888
283,1712691869500,31.183,3886,1754.432
284,1712691870500,30.386,3886,5499.12
285,1712691871500,29.305,3886,291.328
286,1712691872500,30.246,3886,8392.808
287,1712691873500,29.175,3886,292.912
288,1712691874500,30.277,3886,7919.848
289,1712691875500,29.325,3886,291.104
290,1712691876500,30.261,3886,8541.928
291,1712691877500,31.201,3886,295.2
292,1712691878500,30.142,3886,8197.36
293,1712691879500,29.339,3886,1624.624
294,1712691880500,30.276,3886,7321.832
295,1712691881500,29.205,3886,322.776
296,1712691882500,30.159,3886,4241.368
297,1712691883500,29.362,3886,5003.008
298,1712691884500,30.286,3886,9106.592
299,1712691885500,29.227,3886,292.464
300,1712691886500,30.173,3886,4059.84
301,1712691887500,29.371,3886,4356.248
302,1712691888500,30.3,3886,10174.024
303,1712691889500,29.251,3886,302.504
304,1712691890500,30.179,3886,4183.008
305,1712691891500,29.387,3886,22333.992
306,1712691892500,30.31,3886,18747.664
