id,time,buffer,bitrate,throughput
526,1712680587000,3.215,3886,3184.88
527,1712680588000,4.239,3886,10183.08
527,1712680588500,4.239,3886,10183.08
528,1712680589000,9.173,647,9788.624
529,1712680590000,10.288,1904,8538.616
529,1712680590500,10.288,3886,8538.616
530,1712680591000,11.239,3886,9391.984
531,1712680592000,14.258,3886,31054.56
531,1712680592500,14.258,1904,31054.56
532,1712680593000,17.192,3886,27156.888
533,1712680594000,20.247,3886,15671.68
534,1712680595000,21.3,3886,17097.392
535,1712680596000,26.204,3886,14943.04
536,1712680597000,27.201,3886,13.92
537,1712680598000,30.222,3886,14175.848
537,1712680598500,30.222,3886,14175.848
538,1712680599000,29.34,3886,4136.8
539,1712680600000,30.294,3886,9533.28
539,1712680600500,30.294,3886,9533.28
540,1712680601000,29.224,3886,12.992
541,1712680602000,30.159,3886,11981.192
541,1712680602500,30.159,3886,11981.192
542,1712680603000,31.204,3886,16.328
543,1712680604000,30.304,3886,4653.336
544,1712680605000,29.244,3886,1705.696
545,1712680606000,30.167,3886,3270.896
546,1712680607000,29.372,3886,700.528
547,1712680608000,30.32,3886,6474.064
548,1712680609000,31.164,3886,15.744
549,1712680610000,30.189,3886,9831.144
549,1712680610500,30.189,3886,9831.144
550,1712680611000,29.399,3886,371.144
551,1712680612000,30.284,3886,9980.872
551,1712680612500,30.284,3886,9980.872
552,1712680613000,29.263,3886,26.792
553,1712680614000,30.213,3886,10379.088
554,1712680615000,29.403,3886,379.76
555,1712680616000,30.263,3886,8952.896
556,1712680617000,29.287,3886,299.792
557,1712680618000,30.221,3886,7355.344
558,1712680619000,29.432,3886,1795.744
559,1712680620000,30.194,3886,6007.456
560,1712680621000,29.3,3886,11.376
561,1712680622000,30.244,3886,7952.024
562,1712680623000,29.179,3886,2488.536
563,1712680624000,30.384,3886,3889.84
564,1712680625000,29.323,3886,878.048
565,1712680626000,30.257,3886,4483.808
566,1712680627000,31.186,3886,12.72
567,1712680628000,30.395,3886,5519.496
568,1712680629000,29.325,3886,1369.064
569,1712680630000,30.273,3886,4784.272
570,1712680631000,29.208,3886,11.6
571,1712680632000,30.217,3886,5605.624
572,1712680633000,29.338,3886,301.28
573,1712680634000,30.266,3886,8628.584
574,1712680635000,29.204,3886,292.264
575,1712680636000,30.258,3886,8116.168
576,1712680637000,29.352,3886,354.992
577,1712680638000,30.287,3886,8691.88
578,1712680639000,29.222,3886,2446.264
579,1712680640000,30.171,3886,7870.992
580,1712680641000,29.359,3886,15.024
581,1712680642000,30.306,3886,7808.088
582,1712680643000,31.214,3886,17.616
583,1712680644000,30.176,3886,9119.616
584,1712680645000,29.38,3886,385.648
585,1712680646000,30.315,3886,9577.072
586,1712680647000,29.255,3886,15.808
587,1712680648000,30.166,3886,7101.976
588,1712680649000,29.389,3886,1499.328
589,1712680650000,30.298,3886,10364.072
590,1712680651000,29.271,3886,313.848
591,1712680652000,30.21,3886,26754.544
592,1712680653000,29.395,3886,323.584
593,1712680654000,30.315,3886,19214.448
594,1712680655000,29.157,3886,12.76
595,1712680656000,30.214,3886,11901.536
596,1712680657000,29.163,3886,3037.776
597,1712680658000,30.373,3886,9494.304
598,1712680659000,29.306,3886,13.728
599,1712680660000,30.242,3886,9615.272
600,1712680661000,31.17,3886,2190.312
601,1712680662000,30.374,3886,13149.984
