id,time,buffer,bitrate,throughput
6007,1710781546500,11.659,3886,2419.576
6007,1710781547500,26.687,3886,2419.576
6007,1710781548500,25.696,3886,2419.576
6007,1710781549500,24.636,3886,2419.576
6007,1710781550500,23.837,3886,2419.576
6007,1710781551500,22.778,3886,2419.576
6007,1710781552000,22.778,3886,2419.576
6007,1710781552500,21.713,3886,2419.576
6007,1710781553500,20.654,3886,2419.576
6007,1710781554500,21.713,3886,2419.576
6007,1710781555500,20.794,3886,2419.576
6007,1710781556500,19.724,3886,2419.576
6007,1710781557500,18.66,3886,2419.576
6007,1710781558500,17.874,3886,2419.576
6007,1710781559500,16.814,3886,2419.576
6007,1710781560500,15.746,3886,2419.576
6007,1710781561500,14.682,3886,2419.576
6007,1710781562500,15.619,1093,2419.576
6007,1710781563500,14.811,1093,2419.576
6007,1710781564500,13.757,1093,2419.576
6007,1710781565500,12.7,1093,2419.576
6007,1710781566500,11.627,1093,2419.576
6007,1710781567000,11.627,142,2419.576
6007,1710781567500,10.835,142,2419.576
6007,1710781568500,9.779,142,2419.576
6007,1710781569500,10.691,142,2419.576
6007,1710781570500,11.645,142,2419.576
6007,1710781571500,10.861,142,2419.576
6007,1710781572500,9.774,142,2419.576
6007,1710781573500,8.737,142,2419.576
6007,1710781574500,9.662,142,2419.576
6007,1710781575500,8.869,142,2419.576
6007,1710781576500,9.732,142,2419.576
6007,1710781577500,8.739,142,2419.576
6007,1710781578000,8.739,142,2419.576
6007,1710781578500,7.672,142,2419.576
6007,1710781579500,6.619,142,2419.576
6007,1710781580500,5.826,142,2419.576
6007,1710781581500,4.757,142,2419.576
6007,1710781582500,3.695,142,2419.576
6007,1710781583500,4.631,142,2419.576
6007,1710781584500,3.835,142,2419.576
6007,1710781585500,2.61,142,2419.576
6007,1710781586500,3.709,142,2419.576
6007,1710781587500,2.64,142,2419.576
6008,1710781588500,4.066,142,2621.424
6010,1710781590500,6.066,142,2771.616
6012,1710781592500,7.764,142,3016.832
6013,1710781593500,6.699,142,3243.456
6014,1710781594500,7.644,142,3220.36
6015,1710781595500,8.582,142,3476.824
6016,1710781596500,9.789,142,3594.312
6017,1710781597500,10.723,142,2820.056
6018,1710781598500,11.659,142,665.752
6019,1710781599500,10.594,142,123.768
6020,1710781600500,11.807,142,19.152
6021,1710781601500,12.736,142,22.184
6022,1710781602500,11.681,142,111.4
6023,1710781603500,12.61,142,32.872
6024,1710781604500,11.807,142,89.504
6025,1710781605500,12.75,142,133.344
6026,1710781606500,11.694,142,185.272
6027,1710781607500,12.621,142,128.344
6028,1710781608500,11.568,142,20.936
6029,1710781609500,12.744,142,28.088
6030,1710781610000,12.744,647,55.424
6030,1710781610500,11.653,647,55.424
6031,1710781611500,12.574,647,20.184
6032,1710781612500,11.577,647,19.456
6033,1710781613500,12.788,647,58.856
6034,1710781614000,12.788,1093,32.008
6034,1710781614500,11.69,1093,32.008
6035,1710781615500,12.606,1093,21.792
6036,1710781616500,11.604,1093,56.216
6037,1710781617500,12.753,1093,21.288
6038,1710781618500,11.73,1904,22.784
6039,1710781619500,10.68,1904,56.232
6040,1710781620500,11.613,1904,30.984
6041,1710781621500,10.81,1904,32.672
6042,1710781622500,11.694,1904,57.56
6043,1710781623500,10.689,1904,27.744
6044,1710781624500,11.633,1904,37.88
6045,1710781625500,10.569,1904,75.952
6046,1710781626500,11.758,1904,21.968
6047,1710781627500,10.704,1904,23.728
6048,1710781628500,11.647,1904,75.776
6049,1710781629500,12.57,1904,114.656
6050,1710781630500,11.781,1904,4517.752
6051,1710781631500,10.723,1904,2650.64
6052,1710781632500,11.65,1904,4371.832
6053,1710781633500,12.567,1904,2558.232
6054,1710781634500,11.79,1904,3655.608
6055,1710781635500,10.561,1904,654.728
6056,1710781636500,11.677,1904,3569.44
6057,1710781637500,10.616,1904,747.6
6058,1710781638500,9.825,1904,3242.152
6059,1710781639000,9.825,3886,853.768
6059,1710781639500,10.63,3886,853.768
6060,1710781640500,9.692,3886,3463.712
6061,1710781641500,8.628,3886,527.096
6062,1710781642500,7.574,3886,2935.392
6063,1710781643000,7.574,1904,525.256
6063,1710781643500,8.667,1904,525.256
6064,1710781644500,7.709,1904,2586.432
6065,1710781645500,8.632,1904,653.12
6066,1710781646500,9.573,1904,2453.792
6067,1710781647500,10.676,1904,899.16
6068,1710781648500,9.709,1904,2572.24
6069,1710781649500,10.645,1904,605.168
6070,1710781650000,10.645,1904,2161.624
6070,1710781650500,9.585,1904,2161.624
6071,1710781651500,8.793,1904,1259.328
6072,1710781652000,8.793,1904,2081.016
6072,1710781652500,9.729,1904,2081.016
6073,1710781653500,8.663,1904,1946.616
6074,1710781654500,7.603,1904,1755.88
6075,1710781655500,6.799,1093,1710.424
6076,1710781656500,7.738,1093,1560.536
6077,1710781657500,6.605,1093,1476.984
6078,1710781658500,7.616,1093,992.52
6079,1710781659500,6.824,1093,1270.872
6080,1710781660500,5.758,1093,1158.344
6081,1710781661500,6.581,647,1074.832
6082,1710781662500,5.631,647,963.184
6083,1710781663500,4.573,647,887.072
6084,1710781664500,5.755,647,792.656
6085,1710781665500,6.679,647,691.872
6086,1710781666500,7.58,1093,637.032
6087,1710781667500,6.583,1093,569.096
6088,1710781668500,5.79,1093,291.328
6089,1710781669000,5.79,647,343.136
6089,1710781669500,6.701,647,343.136
6090,1710781670500,5.655,647,398.968
6091,1710781671500,6.6,647,347.32
6092,1710781672500,5.786,647,308.968
6093,1710781673500,4.746,647,271.64
6094,1710781674000,4.746,647,248.624
6094,1710781674500,5.674,647,248.624
6095,1710781675500,4.615,647,222.992
6096,1710781676500,3.811,647,212.72
6097,1710781677500,4.756,647,199.488
6098,1710781678500,3.694,647,207.52
6099,1710781679500,2.624,647,200.744
6100,1710781680500,3.573,142,223.76
6101,1710781681500,4.688,142,237.48
6102,1710781682500,7.593,142,253.432
6103,1710781683500,8.648,142,289.656
6104,1710781684000,8.648,142,337.56
6104,1710781684500,7.583,142,337.56
6105,1710781685500,10.56,142,376.744
6106,1710781686500,9.722,142,413.424
6107,1710781687500,10.652,142,481.68
6108,1710781688500,9.603,142,535.712
6109,1710781689500,10.798,142,614.368
6110,1710781690500,11.599,142,677.848
6111,1710781691500,10.67,142,760.464
6112,1710781692500,11.615,142,843.04
6113,1710781693500,12.686,142,933.28
6114,1710781694500,11.751,142,1025.72
6115,1710781695500,10.691,142,1114.664
6116,1710781696500,11.622,142,1228.688
6117,1710781697500,10.563,142,1321.536
6118,1710781698500,9.761,142,1434.64
6119,1710781699500,8.708,142,1518.72
6120,1710781700500,9.639,142,1611.76
6121,1710781701500,8.59,142,1674.688
6122,1710781702500,7.792,142,835.224
6123,1710781703500,6.719,142,443.864
6124,1710781704500,5.652,142,1273.056
6125,1710781705500,6.601,142,56.72
6126,1710781706500,5.808,142,1684.152
6127,1710781707500,4.739,142,2519.336
6128,1710781708500,5.666,142,2613.936
6129,1710781709500,4.617,142,2656.24
6130,1710781710500,5.575,142,2871.792
6131,1710781711500,4.745,142,2988.44
6132,1710781712500,5.689,142,3123.704
6133,1710781713500,4.631,142,3139.096
6134,1710781714500,7.569,142,3163.128
6135,1710781715500,6.769,142,3488.304
6136,1710781716500,7.6,142,3586.192
6137,1710781717500,8.64,142,3715.376
6138,1710781718500,9.58,142,3824.0
6139,1710781719500,10.786,142,3677.44
6140,1710781720500,9.724,142,4027.88
6141,1710781721500,10.658,142,4128.928
6142,1710781722500,11.581,142,4220.24
6143,1710781723500,12.798,142,4315.128
6144,1710781724500,11.733,142,3218.8
6145,1710781725500,12.652,142,4480.928
6146,1710781726500,11.612,142,4404.536
6147,1710781727500,12.807,142,4625.968
6148,1710781728500,11.754,142,4507.096
6149,1710781729500,12.686,142,4567.896
6150,1710781730500,11.623,142,4580.016
6151,1710781731500,12.57,142,4622.352
6152,1710781732500,11.768,142,4722.056
6153,1710781733500,12.705,142,4912.688
6154,1710781734500,13.574,142,4097.384
6155,1710781735500,12.58,142,2417.584
6156,1710781736500,11.783,142,2232.888
6157,1710781737500,12.729,142,501.096
6158,1710781738500,13.652,142,2388.712
6159,1710781739500,12.586,142,483.72
6160,1710781740500,11.809,142,1955.84
6161,1710781741500,12.738,142,526.88
6162,1710781742500,13.664,142,402.848
6163,1710781743500,12.615,142,3520.632
6164,1710781744500,11.816,142,1417.792
6165,1710781745500,12.595,142,1143.792
6166,1710781746500,13.691,142,1419.68
6167,1710781747500,12.626,142,1157.128
6168,1710781748500,13.575,142,1307.944
6169,1710781749500,12.776,142,2377.4
6170,1710781750500,11.71,142,1770.384
6171,1710781751500,12.639,142,468.576
6172,1710781752500,11.578,142,1581.0
