id,time,buffer,bitrate,throughput
3,1712424957500,4.958,1904,40.288
3,1712424958500,5.87,1904,40.288
4,1712424959500,6.895,1093,2073.896
5,1712424960000,6.895,1904,2858.192
5,1712424960500,8.076,1904,2858.192
6,1712424961500,10.967,1904,2918.664
7,1712424962500,11.89,1904,3022.264
8,1712424963500,12.908,1904,2951.184
9,1712424964000,12.908,3886,3180.944
9,1712424964500,14.078,3886,3180.944
10,1712424965500,14.997,3886,3266.352
11,1712424966500,13.983,3886,3275.832
12,1712424967000,13.983,1904,3329.624
12,1712424967500,14.916,1904,3329.624
13,1712424968000,14.916,3886,3478.072
13,1712424968500,15.859,3886,3478.072
14,1712424969000,15.859,1904,3550.504
14,1712424969500,15.061,1904,3550.504
15,1712424970500,14.936,1904,3536.728
15,1712424970500,14.003,1904,3536.728
16,1712424971500,13.875,1904,3546.312
17,1712424972500,15.077,1904,3650.944
18,1712424973500,15.997,1904,3765.648
19,1712424974500,14.922,1904,3826.824
20,1712424975500,15.895,1904,3857.568
21,1712424976500,15.094,1904,3895.84
22,1712424977500,16.034,1904,3925.6
23,1712424978500,14.969,1904,3956.944
23,1712424978500,16.034,1904,3956.944
24,1712424979500,14.969,3886,3982.96
24,1712424979500,15.903,1904,3982.96
25,1712424980500,15.11,1904,4003.696
26,1712424981500,14.045,1904,4018.272
27,1712424982001,14.045,1904,4029.24
27,1712424982500,14.984,1904,4029.24
28,1712424983500,15.905,1904,3919.392
29,1712424984500,14.859,1904,3971.32
30,1712424985500,16.063,1904,4032.936
31,1712424986500,14.997,1904,4012.4
32,1712424987500,15.937,1904,4002.296
33,1712424988500,16.874,1904,3974.416
34,1712424989500,18.077,1904,3953.928
35,1712424990500,19.016,1904,3930.408
36,1712424991500,19.957,1904,3903.92
37,1712424992500,18.891,3886,3857.32
38,1712424993500,20.09,3886,3813.592
39,1712424994500,19.029,3886,3766.696
40,1712424995500,19.968,1904,3724.584
41,1712424996500,18.903,1904,3586.736
42,1712424997500,20.103,1904,2439.936
43,1712424998500,21.0,1904,3539.56
44,1712424999500,19.984,1904,3481.744
45,1712425000500,19.984,647,3281.696
45,1712425000500,22.922,1093,3281.696
46,1712425001500,23.937,1904,3332.744
47,1712425002000,22.922,1904,3258.456
47,1712425002500,25.063,3886,3258.456
48,1712425003500,24.006,3886,3189.576
49,1712425004500,24.937,1904,3072.88
49,1712425004500,24.006,1904,3072.88
50,1712425005500,25.876,1904,2849.656
51,1712425006500,26.903,1093,2847.504
52,1712425007500,26.903,1904,2846.496
52,1712425007500,28.016,1904,2846.496
53,1712425008500,26.95,1904,2693.224
54,1712425009500,27.891,1904,2675.056
55,1712425010500,26.942,1904,2584.792
56,1712425011500,28.024,1904,2399.752
57,1712425012500,26.976,1904,2404.24
58,1712425013500,27.907,1904,2304.184
59,1712425014500,26.859,1904,2209.16
60,1712425015500,26.047,1904,2110.024
61,1712425016001,26.047,1904,2030.176
61,1712425016500,26.984,1904,2030.176
62,1712425017500,25.922,1904,1935.84
63,1712425018500,25.124,1904,1846.92
64,1712425019500,26.063,1904,1757.224
65,1712425020500,26.063,1093,1666.792
65,1712425020500,24.998,1093,1666.792
66,1712425021500,23.937,1093,1592.312
67,1712425022500,24.876,1093,1497.72
68,1712425023500,23.945,1093,1409.592
69,1712425024001,23.945,1093,1304.04
69,1712425024500,22.861,1093,1304.04
70,1712425025500,23.943,1093,1260.632
71,1712425026500,22.891,1093,1186.0
72,1712425027500,22.093,1093,1113.712
73,1712425028500,21.035,1093,1049.912
74,1712425029500,21.89,647,979.8
75,1712425030500,20.903,647,924.76
76,1712425031500,20.11,647,863.424
77,1712425032500,19.038,647,800.272
78,1712425033500,19.99,142,760.312
79,1712425034500,18.915,142,716.288
80,1712425035500,17.86,142,669.656
81,1712425036500,19.063,142,632.432
82,1712425037500,17.999,142,598.2
83,1712425038500,16.931,142,573.24
84,1712425039500,15.874,142,551.952
85,1712425040500,15.076,142,290.552
86,1712425041500,16.016,142,215.104
87,1712425042500,16.947,142,10.64
88,1712425043500,15.892,142,16.896
89,1712425044500,17.094,142,471.44
90,1712425045500,16.026,142,441.816
91,1712425046500,16.026,647,512.928
91,1712425046500,16.971,647,512.928
92,1712425047500,15.897,647,296.184
93,1712425048500,15.097,647,440.632
94,1712425049500,14.05,647,303.928
95,1712425050500,12.985,647,341.08
96,1712425051500,13.929,647,307.456
97,1712425052500,13.124,647,601.544
98,1712425053500,12.063,647,722.248
99,1712425054001,12.063,647,773.08
99,1712425054500,10.998,647,773.08
100,1712425055500,11.942,647,822.104
101,1712425056500,10.874,647,881.856
102,1712425057500,10.077,647,934.352
103,1712425058500,9.022,647,999.296
104,1712425059500,7.95,647,1064.56
105,1712425060500,8.89,647,1135.416
106,1712425061500,8.1,647,1211.408
107,1712425062500,7.03,647,1279.968
108,1712425063500,7.971,1093,1350.744
109,1712425064500,6.862,1093,1438.608
110,1712425065500,6.11,1093,1525.408
111,1712425066500,5.05,1093,1611.432
112,1712425067500,3.984,1093,1660.88
113,1712425068500,2.924,1093,1782.136
114,1712425069500,1.861,1093,1872.936
115,1712425070500,1.861,1904,1965.496
115,1712425070500,3.063,1904,1965.496
116,1712425071500,2.004,1904,2049.168
117,1712425072500,2.004,1904,2145.496
117,1712425072500,0.937,1904,2145.496
118,1712425073500,0.0,1904,2241.144
124,1712425079500,0.0,142,2775.568
124,1712425079500,4.534,647,2775.568
125,1712425080500,3.735,647,2853.368
126,1712425081500,3.735,1904,2940.544
126,1712425081500,4.674,1904,2940.544
127,1712425082500,3.608,1904,3022.528
128,1712425083500,2.55,1904,2918.72
129,1712425084500,1.486,1904,3191.208
130,1712425085500,0.687,1904,3154.4
131,1712425086500,0.0,1904,3346.624
132,1712425087500,0.546,142,3406.704
133,1712425088500,0.546,1904,3484.36
133,1712425088500,3.501,1904,3484.36
134,1712425089500,2.701,1904,3550.112
135,1712425090500,1.64,1904,3610.328
136,1712425091500,0.587,1904,3667.904
137,1712425092500,3.517,1904,3526.392
137,1712425092500,0.587,142,3526.392
138,1712425093500,2.721,1904,3782.944
139,1712425094500,3.487,1904,3814.912
140,1712425095000,2.721,1904,3860.472
140,1712425095500,2.595,1904,3860.472
141,1712425096500,3.535,1904,3643.504
142,1712425097500,2.74,1904,3926.136
143,1712425098500,3.659,1904,3960.84
144,1712425099500,2.595,1904,3978.376
145,1712425100500,3.535,1904,3963.752
146,1712425101500,2.738,1904,4016.456
147,1712425102500,3.488,1904,3989.872
148,1712425103500,2.609,1904,4038.344
149,1712425104500,1.493,1904,4006.768
150,1712425105500,6.54,1093,4029.656
151,1712425106500,6.54,1904,4016.408
151,1712425106500,7.536,1904,4016.408
152,1712425107500,10.62,1904,3985.824
153,1712425108500,15.507,3886,3982.216
154,1712425109500,14.501,3886,2940.32
155,1712425110500,17.497,3886,3758.464
155,1712425110500,14.501,1904,3758.464
156,1712425111500,18.506,3886,3904.48
157,1712425112500,19.582,1904,3814.2
158,1712425113500,20.514,3886,3715.144
159,1712425114500,19.486,3886,3679.8
159,1712425114500,20.514,3886,3679.8
160,1712425115500,20.661,1904,3582.904
160,1712425115500,19.486,1904,3582.904
161,1712425116500,19.592,1904,3608.904
162,1712425117500,20.535,1904,3518.008
163,1712425118500,19.735,1904,3548.04
164,1712425119500,20.507,3886,3369.064
165,1712425120500,19.609,3886,3401.488
166,1712425121500,18.548,3886,3315.872
167,1712425122500,19.487,1904,3262.72
168,1712425123500,20.614,3886,3183.448
169,1712425124500,19.488,3886,2978.656
170,1712425125500,20.556,1904,3023.504
171,1712425126500,21.492,1904,2844.368
172,1712425127500,21.492,647,2731.568
172,1712425127500,24.661,1904,2731.568
173,1712425128500,27.5,1093,2781.456
174,1712425129000,24.661,1093,2600.008
174,1712425129500,28.501,1093,2600.008
175,1712425130500,29.518,1904,2575.624
176,1712425131500,28.726,1904,2375.808
177,1712425132500,27.661,1904,2329.848
178,1712425133000,28.726,1904,2309.648
178,1712425133500,28.599,1904,2309.648
179,1712425134500,29.486,1904,1593.84
180,1712425135500,30.526,1904,22.6
181,1712425136500,29.672,1904,1052.728
182,1712425137000,30.526,1904,1928.872
182,1712425137500,28.613,1904,1928.872
183,1712425138500,29.487,1904,1842.0
184,1712425139500,28.488,1904,1770.008
185,1712425140500,28.488,1904,708.728
185,1712425140500,29.698,1093,708.728
186,1712425141500,30.519,1093,1226.808
187,1712425142500,29.56,1093,1139.848
188,1712425143500,28.495,1093,1343.48
189,1712425144500,27.486,1093,1318.664
189,1712425144500,28.495,1093,1318.664
190,1712425145500,28.6,1093,1263.664
191,1712425146500,27.57,1093,584.864
192,1712425147500,28.522,1093,176.072
193,1712425148500,27.675,1093,593.936
194,1712425149500,28.59,1093,678.408
195,1712425150500,27.596,1093,597.232
196,1712425151500,26.528,142,556.728
197,1712425152500,29.601,142,776.432
198,1712425153500,28.588,142,516.936
199,1712425154500,27.489,142,457.92
200,1712425155500,26.548,142,672.176
201,1712425156500,25.496,142,638.744
202,1712425157500,24.683,142,375.552
203,1712425158500,23.618,142,12.496
204,1712425159500,22.549,142,9.36
205,1712425160500,21.747,142,3.616
206,1712425161500,20.684,142,12.384
207,1712425162500,19.631,142,12.632
208,1712425163500,18.559,142,11.504
209,1712425164500,17.488,142,58.896
210,1712425165500,16.709,142,19.12
211,1712425166500,17.635,647,11.848
212,1712425167500,16.584,647,15.664
213,1712425168500,15.521,647,55.552
214,1712425169500,16.72,1093,19.728
214,1712425169500,15.521,1093,19.728
215,1712425170500,16.72,142,174.712
215,1712425170500,17.653,142,174.712
216,1712425171000,16.72,142,355.528
216,1712425171500,16.591,142,355.528
217,1712425172500,17.54,142,187.472
218,1712425173500,16.745,142,729.2
219,1712425174500,19.49,142,697.28
220,1712425175500,24.604,142,384.072
221,1712425176500,25.542,142,293.056
222,1712425177500,26.741,142,322.408
223,1712425178500,25.69,142,313.728
224,1712425179500,26.622,142,1054.736
225,1712425180500,25.569,142,1135.544
226,1712425181500,25.569,1093,836.664
226,1712425181500,26.5,1093,836.664
227,1712425182500,25.703,1093,307.072
228,1712425183500,24.648,1093,560.752
229,1712425184500,25.585,1093,18.4
230,1712425185500,28.522,1093,282.936
231,1712425186500,28.522,1093,347.608
231,1712425186500,29.649,1904,347.608
232,1712425187500,28.668,1904,730.808
233,1712425188500,27.601,1904,1777.824
234,1712425189500,30.538,1904,1875.4
235,1712425190500,29.746,1904,1959.224
236,1712425191500,28.68,1904,431.48
237,1712425192500,29.604,1904,1328.616
238,1712425193500,30.554,1904,2235.352
239,1712425194500,29.757,1904,567.328
240,1712425195500,30.546,1904,1179.648
241,1712425196500,29.619,3886,948.008
242,1712425197500,28.574,3886,1665.184
243,1712425198500,29.507,3886,68.344
244,1712425199500,28.709,3886,1868.808
245,1712425200500,29.643,3886,892.24
246,1712425201500,28.585,3886,2239.944
247,1712425202500,29.516,3886,1946.248
248,1712425203500,28.719,3886,2893.376
249,1712425204500,29.492,3886,2116.52
250,1712425205500,30.56,3886,3019.696
251,1712425206500,29.533,3886,1438.576
252,1712425207500,30.52,3886,2176.536
253,1712425208500,29.655,3886,2254.184
254,1712425209000,30.52,3886,3305.112
254,1712425209500,28.601,3886,3305.112
255,1712425210500,29.535,3886,988.392
256,1712425211500,28.736,3886,2944.312
257,1712425212500,29.674,3886,1138.832
258,1712425213500,28.616,3886,2877.392
259,1712425214500,29.555,3886,3819.448
260,1712425215500,30.501,3886,3850.128
261,1712425216500,30.501,3886,2703.08
261,1712425216500,29.684,3886,2703.08
262,1712425217500,30.633,3886,3409.688
263,1712425218500,29.566,3886,3947.152
264,1712425219500,30.492,3886,3986.712
265,1712425220500,29.699,3886,371.472
266,1712425221500,30.653,3886,3095.288
267,1712425222500,29.583,3886,300.976
268,1712425223500,28.522,3886,2695.832
269,1712425224500,29.722,3886,643.368
270,1712425225500,28.663,3886,3704.704
271,1712425226500,29.596,3886,458.928
272,1712425227500,28.541,3886,3761.912
273,1712425228500,29.742,3886,2295.84
274,1712425229500,28.681,3886,3953.136
275,1712425230500,29.606,3886,2237.392
276,1712425231500,28.556,3886,3894.28
277,1712425232500,29.755,3886,2280.504
278,1712425233500,30.613,3886,3743.448
279,1712425234500,29.626,3886,1543.216
280,1712425235500,28.569,3886,2429.176
281,1712425236500,29.503,3886,3665.672
282,1712425237500,28.709,3886,3609.4
283,1712425238500,28.709,1904,755.488
283,1712425238500,27.648,1904,755.488
284,1712425239500,26.584,1904,2950.816
285,1712425240500,27.522,1904,3410.264
286,1712425241500,26.722,1904,3315.224
287,1712425242500,27.563,1093,3216.2
288,1712425243500,26.603,1093,3188.288
289,1712425244500,27.494,1093,3092.552
290,1712425245500,26.739,1093,3021.44
291,1712425246500,25.67,1093,2931.992
292,1712425247500,26.617,1093,2772.64
293,1712425248500,25.556,1093,2766.312
294,1712425249500,24.756,1093,2669.48
295,1712425250500,24.756,1904,2575.376
295,1712425250500,25.695,1904,2575.376
296,1712425251500,24.63,1904,2458.376
297,1712425252500,25.572,1904,2402.576
298,1712425253500,26.508,1904,2304.616
299,1712425254500,27.494,1904,2146.48
300,1712425255500,26.648,1904,2115.88
301,1712425256500,27.576,1093,2023.544
302,1712425257500,26.523,1093,1937.944
303,1712425258500,25.728,1093,1853.264
304,1712425259500,26.662,1093,1741.728
305,1712425260500,25.603,1093,1647.104
306,1712425261500,24.541,1093,1579.608
307,1712425262500,25.739,1093,1502.936
308,1712425263500,24.675,1093,1414.056
309,1712425264500,23.493,1093,1343.768
310,1712425265500,24.549,1093,1258.512
311,1712425266500,23.752,647,1193.112
312,1712425267500,22.696,647,1104.856
313,1712425268500,21.631,647,1047.128
314,1712425269500,22.561,647,985.816
315,1712425270500,21.505,647,924.632
316,1712425271500,22.708,647,842.488
317,1712425272500,21.647,647,809.496
318,1712425273500,22.58,647,752.248
319,1712425274500,21.526,647,712.672
320,1712425275500,20.725,647,668.016
321,1712425276500,21.655,647,632.192
322,1712425277000,20.725,647,602.944
322,1712425277500,21.655,142,602.944
322,1712425277500,20.604,142,602.944
323,1712425278500,21.532,142,568.848
324,1712425279500,20.732,142,559.232
325,1712425280500,19.685,142,532.336
326,1712425281500,18.615,142,511.408
327,1712425282500,17.563,142,291.728
328,1712425283500,16.759,142,303.064
329,1712425284500,15.499,142,11.632
329,1712425284500,16.759,142,11.632
330,1712425285500,16.63,142,10.16
331,1712425286500,15.574,142,11.992
332,1712425287500,16.5,647,10.192
333,1712425288500,15.709,647,173.6
334,1712425289500,14.649,647,541.528
335,1712425290500,15.503,647,296.384
336,1712425291500,14.526,647,275.272
337,1712425292500,15.708,1093,483.992
338,1712425293500,14.641,1093,735.936
339,1712425294500,13.591,1093,452.912
340,1712425295500,14.539,1093,815.656
341,1712425296500,13.743,1093,878.408
342,1712425297500,14.649,647,921.08
343,1712425298500,17.563,647,1000.072
344,1712425299500,18.557,1093,1057.176
344,1712425299500,17.563,1093,1057.176
345,1712425300500,18.557,647,1133.368
345,1712425300500,21.5,647,1133.368
346,1712425301500,21.5,1904,1159.168
346,1712425301500,22.682,1904,1159.168
347,1712425302500,23.606,1904,1265.544
348,1712425303500,22.523,1904,1340.384
349,1712425304500,23.508,647,1437.296
349,1712425304500,22.523,3886,1437.296
350,1712425305500,24.713,647,1518.448
351,1712425306500,29.65,647,1606.272
352,1712425307500,28.579,647,1699.44
353,1712425308500,29.519,647,1756.192
354,1712425309500,28.724,647,1845.152
355,1712425310500,29.652,647,1965.88
356,1712425311500,28.601,647,662.072
357,1712425312500,29.543,647,1360.776
358,1712425313500,28.743,647,812.544
359,1712425314500,28.743,647,1363.928
359,1712425314500,29.496,647,1363.928
360,1712425315500,30.611,647,296.624
361,1712425316500,29.557,1904,1564.576
362,1712425317500,28.501,1904,763.176
363,1712425318500,28.501,1904,1684.416
363,1712425318500,29.612,1904,1684.416
364,1712425319500,28.641,1904,1675.944
365,1712425320500,29.511,1904,23.144
366,1712425321500,28.508,1904,2952.36
367,1712425322500,29.709,1904,3020.632
368,1712425323500,28.649,1904,3083.176
369,1712425324500,29.494,3886,3194.792
370,1712425325500,28.53,3886,3263.224
371,1712425326500,27.735,3886,3341.92
372,1712425327500,28.662,3886,3404.304
373,1712425328500,27.609,3886,2518.832
374,1712425329500,28.543,3886,2890.928
375,1712425330500,27.743,3886,3608.416
376,1712425331500,26.688,3886,3669.104
377,1712425332500,27.62,3886,3722.44
378,1712425333500,26.556,3886,3769.848
379,1712425334500,27.496,3886,3819.288
380,1712425335500,26.7,3886,3855.512
381,1712425336500,25.636,3886,3891.56
382,1712425337500,26.575,3886,3939.544
383,1712425338500,25.509,3886,3955.712
384,1712425339500,24.716,3886,3964.76
385,1712425340500,25.649,3886,4005.656
386,1712425341500,24.59,3886,3986.448
387,1712425342500,25.523,3886,4023.776
388,1712425343500,24.73,3886,4037.192
389,1712425344500,25.494,3886,4029.848
390,1712425345500,24.606,3886,4024.184
391,1712425346500,23.536,3886,3946.432
392,1712425347500,24.743,3886,4006.672
393,1712425348500,23.683,3886,3978.696
394,1712425349500,24.617,3886,3947.704
395,1712425350500,23.557,3886,3929.392
396,1712425351500,22.496,3886,3898.576
397,1712425352500,23.696,3886,3858.888
398,1712425353500,22.642,3886,3815.048
399,1712425354500,21.495,3886,3760.064
400,1712425355500,22.514,3886,3727.976
401,1712425356500,21.716,3886,3636.744
402,1712425357500,20.648,3886,3604.504
403,1712425358500,21.595,3886,3543.84
404,1712425359500,20.523,3886,3487.592
405,1712425360500,19.723,3886,3396.344
406,1712425361500,20.669,1904,3336.32
406,1712425361500,19.723,1904,3336.32
407,1712425362500,21.604,1904,3222.376
408,1712425363500,22.543,1904,3191.248
409,1712425364500,23.495,1904,3100.824
410,1712425365500,24.496,1904,2935.968
411,1712425366500,23.617,1904,2933.16
412,1712425367500,24.557,1904,2849.384
413,1712425368500,25.496,1904,2759.352
414,1712425369500,24.696,1904,2676.088
415,1712425370500,25.639,1904,2578.592
416,1712425371500,24.577,1904,2490.064
417,1712425372500,25.51,1904,2397.112
418,1712425373500,24.716,1904,2305.728
419,1712425374500,23.495,1904,2208.08
420,1712425375500,24.591,1904,2124.928
421,1712425376500,23.53,1904,2026.664
422,1712425377500,24.59,1904,1940.344
423,1712425378500,23.496,1093,1847.632
424,1712425379500,22.587,1093,1766.84
425,1712425380500,23.53,1093,1662.272
426,1712425381500,22.728,1093,1587.92
427,1712425382500,21.663,1093,1479.352
428,1712425383000,22.728,1093,1416.544
428,1712425383500,22.609,1093,1416.544
429,1712425384500,21.495,1093,1334.576
430,1712425385500,20.743,1093,1266.44
431,1712425386500,21.681,1093,1184.624
432,1712425387500,20.624,1093,1116.992
433,1712425388500,19.561,1093,1038.864
434,1712425389500,20.762,1093,979.904
435,1712425390500,19.692,1093,919.976
436,1712425391500,20.508,142,861.64
437,1712425392500,21.568,142,818.216
438,1712425393500,20.513,142,752.76
439,1712425394500,19.714,142,708.68
440,1712425395500,18.645,142,677.432
441,1712425396500,17.592,142,638.992
442,1712425397500,16.528,142,373.04
443,1712425398500,15.723,142,10.368
444,1712425399500,15.723,1904,10.096
444,1712425399500,16.669,1904,10.096
445,1712425400500,15.6,1904,14.248
446,1712425401001,15.6,142,12.032
446,1712425401500,14.532,142,12.032
447,1712425402500,15.574,142,164.04
448,1712425403500,16.68,142,353.656
449,1712425404500,17.583,142,309.16
450,1712425405500,16.559,142,507.16
451,1712425406500,17.516,142,509.592
452,1712425407500,16.689,142,478.84
453,1712425408500,17.59,142,415.768
454,1712425409500,16.564,142,403.168
455,1712425410500,17.508,142,196.44
456,1712425411500,16.714,142,370.72
457,1712425412500,17.653,647,209.976
458,1712425413000,16.714,142,429.4
458,1712425413500,16.592,647,429.4
459,1712425414500,17.53,647,244.144
460,1712425415500,18.589,647,470.208
461,1712425416500,19.542,647,260.704
462,1712425417500,20.609,647,924.816
463,1712425418500,19.543,647,991.864
464,1712425419500,20.74,1093,1068.976
465,1712425420500,19.676,1093,1130.184
466,1712425421500,18.624,1093,1214.632
467,1712425422500,17.557,1093,1254.72
468,1712425423500,18.5,1093,1344.616
469,1712425424500,17.704,1093,1435.304
470,1712425425500,16.637,1093,1522.64
471,1712425426500,17.577,1093,1614.216
472,1712425427500,18.508,1904,1694.84
473,1712425428500,17.545,1093,1774.128
474,1712425429500,16.656,1093,1874.312
475,1712425430500,15.586,1093,1964.208
476,1712425431500,16.532,1093,1968.336
477,1712425432500,15.734,1093,2168.744
478,1712425433500,16.67,1093,2218.664
479,1712425434500,15.605,1093,2305.072
480,1712425435500,16.553,1093,2406.816
481,1712425436500,17.549,1093,2498.592
482,1712425437500,16.689,1093,2589.28
483,1712425438500,17.617,1093,2670.176
484,1712425439500,16.557,1093,2766.28
485,1712425440500,16.557,1904,2864.736
485,1712425440500,17.5,1904,2864.736
486,1712425441500,16.704,1904,2938.984
487,1712425442500,17.545,1904,3023.64
488,1712425443500,20.502,1904,3104.768
489,1712425444500,19.5,1904,3094.352
490,1712425445500,18.717,1904,3263.952
491,1712425446500,18.717,3886,3347.856
491,1712425446500,19.609,1904,3347.856
492,1712425447500,18.585,1904,3386.456
493,1712425448500,19.531,1904,3422.36
494,1712425449500,18.557,1904,3542.192
495,1712425450500,17.67,1904,3510.928
496,1712425451500,18.611,1904,3669.688
497,1712425452500,19.546,1904,3727.44
498,1712425453500,18.747,1904,3771.456
499,1712425454500,19.502,1904,3814.32
500,1712425455500,20.625,1904,3839.944
501,1712425456500,19.561,1904,3906.24
502,1712425457500,20.642,3886,3933.304
503,1712425458500,20.642,3886,3959.376
503,1712425458500,19.695,3886,3959.376
504,1712425459500,18.642,3886,3981.784
505,1712425460500,18.642,1904,3993.352
505,1712425460500,19.575,1904,3993.352
506,1712425461500,20.523,1904,3874.6
507,1712425462500,19.714,1904,4027.248
507,1712425462500,20.523,1904,4027.248
508,1712425463500,19.714,3886,4033.912
508,1712425463500,20.657,3886,4033.912
509,1712425464500,19.502,3886,3879.44
510,1712425465500,20.504,1904,4017.136
511,1712425466500,21.636,3886,4017.624
512,1712425467500,20.67,1904,3831.352
513,1712425468500,23.611,3886,3980.848
514,1712425469500,22.544,3886,3955.712
515,1712425470500,23.657,3886,3677.952
516,1712425471500,22.684,3886,3890.48
517,1712425472500,22.684,1904,3729.272
517,1712425472500,23.501,1904,3729.272
518,1712425473500,26.564,1093,3706.168
519,1712425474500,26.564,3886,3757.44
519,1712425474500,27.501,3886,3757.44
520,1712425475500,28.625,3886,3720.576
521,1712425476500,29.643,3886,3511.896
522,1712425477500,30.57,3886,3555.968
523,1712425478500,29.516,3886,2574.488
524,1712425479500,28.72,3886,3474.0
525,1712425480500,29.578,3886,3405.92
526,1712425481000,28.72,3886,2864.272
526,1712425481500,30.594,3886,2864.272
527,1712425482500,29.531,3886,292.16
528,1712425483500,28.726,3886,1970.728
529,1712425484500,29.499,3886,1879.92
530,1712425485000,28.726,3886,3023.616
530,1712425485500,28.611,3886,3023.616
531,1712425486500,29.555,1904,741.56
532,1712425487500,30.705,1904,2355.672
533,1712425488500,29.696,1904,1672.432
534,1712425489000,30.705,1904,2667.272
534,1712425489500,30.617,1904,2667.272
535,1712425490500,29.564,1904,1013.72
536,1712425491500,30.727,1904,1659.184
537,1712425492500,30.727,1904,338.344
