id,time,buffer,bitrate,throughput
4505,1710778715000,0.0,0,49.2
4505,1710778715500,0.0,3886,49.2
4507,1710778717500,0.0,3886,60.344
4508,1710778718000,0.0,647,25.584
4511,1710778721000,0.0,142,17.768
4511,1710778721500,1.665,142,17.768
4512,1710778722500,0.597,142,71.088
4513,1710778723500,0.0,142,22.896
4514,1710778724000,0.0,142,18.56
4514,1710778724500,0.479,142,18.56
4515,1710778725500,1.675,142,75.344
4516,1710778726500,2.619,142,16.584
4517,1710778727500,3.465,142,19.392
4518,1710778728500,2.495,142,65.688
4519,1710778729500,3.703,142,22.296
4520,1710778730500,4.629,142,65.128
4521,1710778731500,5.56,142,28.6
4522,1710778732500,4.517,142,105.72
4523,1710778733500,5.712,142,15.424
4524,1710778734500,6.658,142,19.928
4525,1710778735500,7.572,142,55.248
4526,1710778736500,8.481,142,20.152
4527,1710778737500,9.464,142,66.792
4528,1710778738500,8.669,142,26.584
4529,1710778739500,9.604,142,19.408
4530,1710778740500,10.468,142,62.296
4531,1710778741500,9.476,142,24.656
4532,1710778742500,10.674,142,20.104
4533,1710778743500,11.624,142,93.12
4534,1710778744500,12.464,142,113.392
4535,1710778745500,11.494,647,72.896
4536,1710778746500,10.487,647,19.832
4537,1710778747500,11.575,647,56.048
4538,1710778748500,10.49,647,14.016
4539,1710778749500,11.517,647,58.736
4540,1710778750500,10.719,647,20.152
4541,1710778751500,11.644,647,56.472
4542,1710778752500,10.59,647,60.832
4543,1710778753500,11.52,647,52.792
4544,1710778754500,10.47,647,14.384
4545,1710778755000,10.47,1093,20.264
4545,1710778755500,11.672,1093,20.264
4546,1710778756500,10.484,1093,120.392
4547,1710778757000,10.484,1093,59.84
4547,1710778757500,9.549,1093,59.84
4548,1710778758000,9.549,647,25.736
4548,1710778758500,10.484,647,25.736
4549,1710778759500,9.681,647,72.296
4550,1710778760500,10.543,647,19.696
4551,1710778761500,9.463,647,55.184
4552,1710778762500,10.499,647,25.832
4553,1710778763500,11.633,647,59.912
4554,1710778764500,10.561,647,13.984
4555,1710778765500,11.572,647,59.808
4556,1710778766500,12.485,647,33.0
4557,1710778767000,12.485,647,57.88
4557,1710778767500,11.45,647,57.88
4558,1710778768500,12.551,647,24.816
4559,1710778769000,12.551,647,103.648
4559,1710778769500,11.588,647,103.648
4560,1710778770500,12.533,647,25.832
4561,1710778771500,11.466,647,64.904
4562,1710778772500,12.658,647,21.56
4562,1710778773500,11.604,647,21.56
4562,1710778774500,10.539,647,21.56
4562,1710778775500,11.48,1904,21.56
4562,1710778776500,10.483,1904,21.56
4562,1710778777500,9.617,1904,21.56
4562,1710778778500,10.562,1904,21.56
4562,1710778779500,9.493,1904,21.56
4562,1710778780500,10.54,1904,21.56
4562,1710778781500,9.637,1904,21.56
4562,1710778782500,10.576,1904,21.56
4562,1710778783500,9.507,1904,21.56
4562,1710778784500,10.713,1904,21.56
4562,1710778785500,9.653,1904,21.56
4562,1710778786500,10.479,1904,21.56
4562,1710778787000,10.479,1904,21.56
4562,1710778787500,9.529,1904,21.56
4562,1710778788500,10.456,1904,21.56
4562,1710778789500,9.657,1904,21.56
4562,1710778790500,10.599,1904,21.56
4562,1710778791500,9.545,1904,21.56
4562,1710778792500,8.481,1904,21.56
4562,1710778793000,8.481,1093,21.56
4562,1710778793500,9.68,1093,21.56
4562,1710778794500,8.52,1093,21.56
4562,1710778795500,7.56,1093,21.56
4562,1710778796500,6.481,1093,21.56
4562,1710778797000,6.481,647,21.56
4562,1710778797500,7.701,647,21.56
4562,1710778798500,6.622,647,21.56
4562,1710778799500,5.555,647,21.56
4562,1710778800500,6.456,647,21.56
4563,1710778801500,5.705,647,983.544
4563,1710778802500,4.63,647,983.544
4563,1710778803000,4.63,647,983.544
4563,1710778803500,5.544,142,983.544
4563,1710778804500,4.466,142,983.544
4563,1710778805000,4.466,142,983.544
4563,1710778805500,3.711,142,983.544
4563,1710778806500,4.492,142,983.544
4563,1710778807500,3.527,142,983.544
4563,1710778808500,4.533,142,983.544
4563,1710778809500,3.45,142,983.544
4563,1710778810500,4.645,142,983.544
4563,1710778811500,3.591,142,983.544
4563,1710778812500,2.524,142,983.544
4563,1710778813500,3.458,142,983.544
4563,1710778814500,2.661,142,983.544
4563,1710778815500,1.6,142,983.544
4563,1710778816500,2.49,142,983.544
4563,1710778817500,1.479,142,983.544
4563,1710778818500,0.684,142,983.544
4563,1710778819500,0.071,142,983.544
4563,1710778827500,1.672,142,983.544
4563,1710778828500,0.6,142,983.544
4563,1710778829500,0.066,142,983.544
4564,1710778830500,2.066,142,2730.16
4566,1710778832500,4.066,142,3118.808
4568,1710778834500,3.45,142,3351.864
4569,1710778835500,4.403,142,3243.712
4570,1710778836500,6.055,142,3603.144
4572,1710778838500,7.23,142,3819.368
4573,1710778839500,6.172,142,3737.32
4574,1710778840500,8.05,142,4037.592
4576,1710778842500,10.05,142,4223.864
4578,1710778844500,12.05,142,4390.792
4581,1710778847500,11.436,142,4392.904
4582,1710778848500,10.357,142,4479.848
4583,1710778849500,11.324,142,4515.984
4584,1710778850500,12.259,142,4786.208
4585,1710778851500,11.462,142,4852.64
4586,1710778852500,12.4,142,4686.344
4587,1710778853500,11.332,647,4939.272
4588,1710778854500,10.276,647,4637.568
4589,1710778855500,9.478,647,4990.088
4590,1710778856500,8.264,647,4672.384
4591,1710778857500,9.359,647,5005.096
4592,1710778858500,10.244,647,4707.736
4593,1710778859500,9.231,647,4953.416
4594,1710778860500,10.431,647,4791.8
4595,1710778861500,9.326,647,4703.056
4596,1710778862500,8.301,647,4946.992
4597,1710778863500,9.251,647,4646.928
4598,1710778864500,8.401,647,4623.648
4599,1710778865000,8.401,647,4577.32
4599,1710778865500,9.242,142,4577.32
4600,1710778866500,8.268,142,4784.04
4601,1710778867500,7.259,142,4559.36
4602,1710778868500,8.398,142,4413.712
4603,1710778869500,7.403,142,4408.112
4604,1710778870500,8.337,142,4524.624
4605,1710778871500,9.277,142,4392.792
4606,1710778872500,10.484,142,4252.88
4607,1710778873500,11.277,1093,4258.24
4608,1710778874500,10.24,1093,3987.512
4609,1710778875000,10.24,1093,4093.272
4609,1710778875500,9.293,1093,4093.272
4610,1710778876500,8.236,142,3819.752
4611,1710778877500,9.434,142,3888.936
4612,1710778878500,8.366,142,3779.36
4613,1710778879500,9.311,142,3493.32
4614,1710778880500,10.243,142,3560.32
4615,1710778881500,11.25,647,3283.768
4616,1710778882500,10.379,647,3315.04
4617,1710778883500,9.319,647,3203.184
4618,1710778884500,10.256,647,2987.096
4619,1710778885000,10.256,647,2901.32
4619,1710778885500,11.471,647,2901.32
4620,1710778886500,12.26,647,2817.848
4621,1710778887000,12.26,647,2700.056
4621,1710778887500,11.334,647,2700.056
4622,1710778888500,12.28,647,2461.488
4623,1710778889500,11.478,647,2449.752
4624,1710778890500,10.414,647,2322.024
4625,1710778891500,11.353,647,2191.152
