id,time,buffer,bitrate,throughput
767,1712649354000,0.0,0,2193.08
768,1712649356500,0.0,3886,2483.536
770,1712649358000,0.0,142,13871.016
770,1712649358500,0.0,3886,13871.016
771,1712649359000,3.246,3886,12272.112
772,1712649360000,10.168,3886,15021.176
773,1712649361000,13.107,3886,17074.944
774,1712649362000,18.168,3886,35364.584
774,1712649362500,18.168,1904,35364.584
775,1712649363000,23.152,3886,16115.088
776,1712649364000,24.2,3886,16.104
777,1712649365000,29.136,3886,4445.584
778,1712649366000,30.341,3886,4632.128
778,1712649366500,30.341,1093,4632.128
779,1712649367000,29.277,1093,285.304
780,1712649368000,30.215,1093,9.68
781,1712649369000,31.153,1093,4255.152
782,1712649370000,30.356,1093,787.32
783,1712649371000,29.294,1093,3083.896
784,1712649372000,30.23,1093,31.736
785,1712649373000,29.169,1093,3586.696
786,1712649374000,30.106,1093,844.416
787,1712649375000,29.31,1093,2352.288
788,1712649376000,30.247,1093,436.648
789,1712649377000,29.184,1093,1149.84
790,1712649378000,30.122,1093,203.512
791,1712649379000,31.11,1093,1222.8
792,1712649380000,30.263,1093,133.768
793,1712649381000,29.2,1093,2035.824
794,1712649382000,30.138,1093,287.312
795,1712649383000,29.341,1093,7959.656
796,1712649384000,30.278,1093,9842.272
796,1712649384500,30.278,3886,9842.272
797,1712649385000,29.215,3886,1964.776
798,1712649386000,30.153,3886,4077.368
799,1712649387000,31.214,3886,6415.304
800,1712649388000,30.292,3886,19.176
801,1712649389000,29.23,3886,4494.888
802,1712649390000,30.168,3886,1698.632
802,1712649390500,30.168,1904,1698.632
803,1712649391000,29.106,1904,2307.728
804,1712649392000,30.309,1904,517.752
805,1712649393000,31.106,1904,3084.784
806,1712649394000,30.184,1904,463.616
807,1712649395000,29.121,1904,3157.672
808,1712649396000,30.324,1904,296.704
809,1712649397000,29.106,1904,5839.856
810,1712649398000,30.199,1904,3.84
810,1712649398500,30.199,3886,3.84
811,1712649399000,29.137,3886,4937.728
812,1712649400000,30.278,3886,5324.104
813,1712649401000,29.278,3886,288.584
814,1712649402000,30.121,3886,4.216
815,1712649403000,31.152,3886,2784.984
816,1712649404000,30.355,3886,1701.16
816,1712649404500,30.355,1904,1701.16
817,1712649405000,29.235,1904,4364.312
818,1712649406000,30.168,3886,738.336
819,1712649407000,29.105,3886,7662.136
820,1712649408000,30.105,3886,305.392
821,1712649409000,29.309,3886,4219.064
822,1712649410000,30.215,3886,572.568
822,1712649410500,30.215,1904,572.568
823,1712649411000,29.137,1904,3987.88
824,1712649412000,30.121,1904,2982.52
825,1712649413000,29.324,1904,2152.584
826,1712649414000,30.261,1904,2148.152
827,1712649415000,31.184,1904,1913.704
828,1712649416000,30.136,1904,412.912
829,1712649417000,31.103,1904,4382.944
830,1712649418000,30.277,1904,3205.992
831,1712649419000,29.215,1904,2195.28
832,1712649420000,30.152,1904,512.416
833,1712649421000,31.131,1904,3735.4
834,1712649422000,30.292,1904,3393.864
835,1712649423000,29.23,1904,2643.68
836,1712649424000,30.167,1904,598.056
837,1712649425000,31.105,1904,13594.144
838,1712649426000,30.309,1904,2529.656
839,1712649427000,29.104,1904,7385.128
840,1712649428000,30.184,1904,10.072
841,1712649429000,29.122,1904,6273.4
842,1712649430000,30.324,1904,4562.712
843,1712649431000,29.261,1904,1570.48
844,1712649432000,30.2,1904,9.2
845,1712649433000,31.136,1904,1912.0
846,1712649434000,30.34,1904,3326.376
847,1712649435000,29.276,1904,1862.952
848,1712649436000,28.215,1904,2995.68
848,1712649436500,28.215,3886,2995.68
849,1712649437000,29.106,3886,9424.432
850,1712649438000,28.355,1093,613.368
851,1712649439000,27.293,1093,9303.152
852,1712649440000,30.231,1093,328.632
853,1712649441000,29.167,1093,8653.304
854,1712649442000,30.106,1093,4060.28
855,1712649443000,29.308,1093,10260.8
856,1712649444000,30.246,1093,1716.336
857,1712649445000,29.183,1093,10651.104
858,1712649446000,30.12,1093,294.592
859,1712649447000,29.105,1093,29594.704
860,1712649448000,30.105,1093,3329.056
860,1712649448500,30.105,3886,3329.056
861,1712649449000,29.2,3886,22260.952
862,1712649450000,30.137,3886,4.464
863,1712649451000,29.34,3886,26577.68
864,1712649452000,30.152,3886,3934.912
865,1712649453000,29.214,3886,30928.968
866,1712649454000,30.152,3886,5.184
867,1712649455000,29.356,3886,42554.368
868,1712649456000,30.198,3886,17520.848
869,1712649457000,29.105,3886,27106.952
870,1712649458000,30.15,3886,4.048
871,1712649459000,29.106,3886,35233.32
