id,time,buffer,bitrate,throughput
2291,1712517861000,0.0,1093,14.072
2291,1712517861500,0.0,1093,14.072
2292,1712517862000,3.473,1093,10.368
2293,1712517863000,2.41,1093,11.008
2293,1712517863500,2.41,647,11.008
2294,1712517864000,3.347,647,56.416
2295,1712517865000,6.547,647,96.336
2295,1712517865500,6.547,647,96.336
2296,1712517866000,9.475,647,878.848
2297,1712517867000,10.426,647,947.952
2297,1712517867500,10.426,1093,947.952
2298,1712517868000,11.36,1093,1156.12
2299,1712517869000,12.328,1093,1188.04
2299,1712517869500,12.328,1093,1188.04
2300,1712517870000,13.503,1093,1263.256
2301,1712517871000,14.439,1904,1408.48
2301,1712517871500,14.439,1904,1408.48
2302,1712517872000,15.376,1904,1512.176
2302,1712517872500,15.376,1093,1512.176
2303,1712517873000,16.362,1093,1493.304
2304,1712517874000,15.517,1093,1724.616
2305,1712517875000,16.439,1904,1821.984
2306,1712517876000,15.393,1904,1928.64
2307,1712517877000,14.333,1904,1958.456
2308,1712517878000,15.333,1904,2004.84
2309,1712517879000,14.47,1904,2240.088
2309,1712517879500,14.47,1904,2240.088
2310,1712517880000,13.41,1904,2389.072
2311,1712517881000,14.347,1904,2382.824
2311,1712517881500,14.347,3886,2382.824
2312,1712517882000,15.379,3886,2614.072
2312,1712517882500,15.379,1904,2614.072
2313,1712517883000,14.49,1904,2736.136
2314,1712517884000,13.427,1904,2810.576
2315,1712517885000,14.353,1904,2946.048
2316,1712517886000,13.565,1904,3053.032
2317,1712517887000,14.347,1904,3039.128
2317,1712517887500,14.347,1904,3039.128
2318,1712517888000,13.441,1904,3028.576
2319,1712517889000,12.378,1904,3414.048
2319,1712517889500,12.378,1904,3414.048
2320,1712517890000,13.317,1904,3505.856
2321,1712517891000,14.389,1904,3639.392
2321,1712517891500,14.389,1904,3639.392
2322,1712517892000,13.457,1904,3742.064
2322,1712517892500,13.457,3886,3742.064
2323,1712517893000,14.395,3886,3814.272
