id,time,buffer,bitrate,throughput
364,1712344886000,0.0,3886,80.984
364,1712344886500,0.0,1904,80.984
365,1712344887000,0.0,3886,470.552
365,1712344887500,3.341,3886,470.552
366,1712344888500,4.255,3886,3853.208
367,1712344889000,4.255,3886,3346.2
367,1712344889500,11.228,3886,3346.2
368,1712344890500,16.433,3886,12092.664
369,1712344891500,23.268,3886,19615.08
370,1712344892500,26.276,3886,16151.784
371,1712344893500,25.25,3886,26682.928
372,1712344894500,28.451,3886,18484.208
373,1712344895500,29.38,3886,10878.256
374,1712344896500,34.274,3886,20804.88
375,1712344897500,37.262,3886,27715.04
376,1712344898500,42.36,3886,35304.304
377,1712344899500,47.293,3886,28801.152
378,1712344900500,52.282,3886,16237.152
379,1712344901500,57.271,3886,30408.936
380,1712344902500,60.471,3886,23724.376
381,1712344903500,61.393,3886,19004.264
382,1712344904500,60.334,3886,5889.424
383,1712344905500,59.258,3886,6156.368
384,1712344906500,60.317,3886,33.264
385,1712344907500,59.387,3886,1088.176
386,1712344908500,60.329,3886,4596.032
387,1712344909500,59.262,3886,8870.008
388,1712344910500,60.468,3886,295.664
389,1712344911500,59.365,3886,6335.392
390,1712344912500,60.314,3886,2018.224
391,1712344913500,59.255,3886,8787.936
392,1712344914500,60.457,3886,306.96
393,1712344915500,59.223,3886,3520.92
394,1712344916500,60.317,3886,6227.696
395,1712344917500,59.253,3886,7732.968
396,1712344918500,60.457,3886,368.152
397,1712344919500,59.374,3886,3464.32
398,1712344920500,60.318,3886,5670.24
399,1712344921500,59.247,3886,7747.144
400,1712344922500,60.454,3886,2143.264
401,1712344923500,59.384,3886,1458.104
402,1712344924500,60.329,3886,7193.752
403,1712344925500,59.226,3886,8611.616
404,1712344926500,60.471,3886,2074.752
405,1712344927500,59.383,3886,26582.288
406,1712344928500,60.331,3886,423.776
407,1712344929500,59.261,3886,18919.856
408,1712344930500,60.467,3886,353.752
409,1712344931500,59.383,3886,8987.232
410,1712344932500,60.313,3886,3152.632
411,1712344933500,59.272,3886,11887.816
412,1712344934500,60.474,3886,349.112
413,1712344935500,59.215,3886,2390.152
414,1712344936500,60.301,3886,7540.184
415,1712344937500,59.264,3886,6445.816
416,1712344938500,60.466,3886,8503.584
417,1712344939500,59.394,3886,20502.496
418,1712344940500,60.333,3886,938.312
419,1712344941500,59.265,3886,28139.12
420,1712344942500,58.468,3886,316.616
421,1712344943500,59.382,3886,10461.76
422,1712344944500,60.315,3886,23165.84
423,1712344945500,59.221,3886,12293.344
424,1712344946500,60.449,3886,38280.704
425,1712344947500,59.392,3886,47335.568
426,1712344948500,60.325,3886,287.52
427,1712344949500,59.267,3886,13190.544
428,1712344950500,60.467,3886,16508.176
429,1712344951500,59.367,3886,24408.16
430,1712344952500,60.315,3886,290.992
431,1712344953500,59.245,3886,10689.856
432,1712344954500,60.46,3886,15173.0
433,1712344955500,59.22,3886,21612.248
434,1712344956500,60.326,3886,13220.696
435,1712344957500,59.272,3886,36943.984
436,1712344958500,60.474,3886,10785.944
437,1712344959500,59.403,3886,32187.632
438,1712344960500,60.287,3886,7287.184
439,1712344961500,59.274,3886,42165.736
440,1712344962500,60.219,3886,290.344
441,1712344963500,59.408,3886,5588.664
442,1712344964500,58.351,3886,25618.352
443,1712344965500,59.226,3886,36.12
