id,time,buffer,bitrate,throughput
1302,1712768344500,2.0,142,747.608
1302,1712768345000,3.072,142,747.608
1302,1712768345500,3.072,1904,747.608
1303,1712768346000,6.062,1904,854.472
1303,1712768346500,6.062,142,854.472
1304,1712768347000,4.987,142,914.576
1305,1712768348000,10.103,142,1004.816
1306,1712768349000,15.139,142,1079.104
1307,1712768350000,18.069,142,1161.736
1308,1712768351000,21.014,142,1264.032
1309,1712768352000,20.219,142,1363.168
1310,1712768353000,23.065,142,1294.08
1311,1712768354000,24.095,142,1544.344
1312,1712768355000,25.029,142,1647.008
1313,1712768356000,28.234,142,1750.2
1314,1712768357000,31.074,142,1883.064
1315,1712768358000,30.111,1904,1981.104
1316,1712768359000,29.048,1093,2083.84
1317,1712768360000,27.988,1093,2242.68
1318,1712768361000,27.191,1093,2340.024
1319,1712768362000,28.133,1093,551.296
1320,1712768363000,27.064,1093,1077.488
1321,1712768364000,28.002,1093,9.472
1322,1712768365000,29.196,1093,1849.152
1323,1712768366000,30.14,1093,660.432
1324,1712768367000,31.08,1093,2568.04
1325,1712768368000,30.014,1093,3167.856
1326,1712768369000,29.218,1093,3295.352
1327,1712768370000,30.147,3886,3343.104
1328,1712768371000,29.094,3886,3488.064
1329,1712768372000,28.035,3886,3629.024
1330,1712768373000,27.237,3886,3724.376
1330,1712768373500,27.237,1904,3724.376
1331,1712768374000,28.169,1904,3775.56
1332,1712768375000,27.111,1904,3163.8
1333,1712768376000,28.049,1904,9.344
1334,1712768377000,28.987,1904,1249.384
1335,1712768378000,28.19,1904,11.328
1336,1712768379000,29.123,1904,3834.664
1337,1712768380000,30.066,1904,4286.232
1337,1712768380500,30.066,647,4286.232
1338,1712768381000,30.989,647,2721.32
1339,1712768382000,30.192,3886,313.352
1340,1712768383000,29.018,3886,3834.008
1341,1712768384000,28.081,1904,1508.328
1342,1712768385000,31.018,1904,3436.992
1343,1712768386000,30.218,3886,2611.672
1344,1712768387000,29.157,3886,4860.08
1345,1712768388000,30.086,3886,603.68
1346,1712768389000,29.038,3886,4503.648
1347,1712768390000,30.225,3886,2658.464
1348,1712768391000,29.172,3886,4969.704
1349,1712768392000,30.112,3886,2702.728
1350,1712768393000,29.021,3886,5003.24
