id,time,buffer,bitrate,throughput
27,1712760733500,6.698,3886,9019.376
27,1712760734000,6.698,3886,9019.376
27,1712760734500,9.632,3886,9019.376
28,1712760735500,12.574,3886,8084.856
29,1712760736500,13.638,3886,11312.32
30,1712760737500,16.718,3886,11632.96
31,1712760738500,19.65,3886,12929.32
32,1712760739500,20.584,3886,10910.28
33,1712760740500,21.63,3886,9770.68
34,1712760741500,22.732,3886,14282.824
35,1712760742500,23.668,3886,10284.808
36,1712760743500,24.606,3886,10327.552
37,1712760744500,25.649,3886,10422.824
38,1712760745500,24.593,3886,11799.904
39,1712760746500,25.688,3886,10013.872
40,1712760747500,24.619,3886,8680.72
41,1712760748500,25.564,3886,9982.208
42,1712760749500,26.761,3886,11278.632
43,1712760750500,27.645,3886,5528.376
44,1712760751500,26.637,3886,4247.216
45,1712760752500,27.578,3886,310.176
46,1712760753500,30.653,3886,1038.56
47,1712760754500,29.713,3886,4247.712
48,1712760755500,30.657,3886,3215.272
49,1712760756500,29.585,3886,6376.488
50,1712760757500,30.643,3886,4781.36
51,1712760758500,29.735,3886,5592.824
52,1712760759500,28.67,3886,19.064
53,1712760760500,29.61,3886,8273.784
54,1712760761500,30.62,3886,4488.496
55,1712760762500,29.755,3886,6835.264
56,1712760763500,28.682,3886,1616.528
57,1712760764500,29.613,3886,5907.792
58,1712760765500,30.563,3886,1647.68
59,1712760766500,29.767,3886,5715.56
60,1712760767500,30.578,3886,18.176
61,1712760768500,29.633,3886,7614.872
62,1712760769500,30.572,3886,3912.392
63,1712760770500,29.776,3886,2447.76
64,1712760771500,28.559,3886,1697.88
65,1712760772500,29.653,3886,3574.144
66,1712760773500,30.582,3886,3655.328
67,1712760774500,29.785,3886,1746.576
68,1712760775500,30.734,3886,1963.592
69,1712760776500,29.665,3886,4108.704
70,1712760777500,30.583,3886,5292.88
71,1712760778500,29.807,3886,549.624
72,1712760779500,30.756,3886,2682.168
73,1712760780500,29.69,3886,5809.312
74,1712760781500,30.556,3886,6074.128
75,1712760782500,29.56,3886,2507.272
76,1712760783500,28.765,3886,2012.184
77,1712760784500,29.641,3886,6730.84
78,1712760785500,30.629,3886,1966.8
79,1712760786500,29.573,3886,7792.696
80,1712760787500,30.588,3886,965.328
81,1712760788500,29.711,3886,6707.752
82,1712760789500,28.659,3886,3982.384
83,1712760790500,29.596,3886,5585.288
84,1712760791500,28.553,3886,3760.896
85,1712760792500,29.734,3886,5698.032
86,1712760793500,30.662,3886,2574.72
87,1712760794500,29.61,3886,5603.384
88,1712760795500,30.62,3886,2389.696
89,1712760796500,29.745,3886,8124.232
90,1712760797500,30.573,3886,2154.632
91,1712760798500,29.63,3886,8162.856
92,1712760799500,30.563,3886,10455.016
93,1712760800500,29.761,3886,10161.288
94,1712760801500,28.554,3886,12753.56
95,1712760802500,27.641,3886,7888.04
96,1712760803500,28.577,3886,10215.088
97,1712760804500,27.776,3886,7921.28
98,1712760805500,28.649,3886,448.936
99,1712760806500,29.657,3886,6986.768
100,1712760807500,28.6,3886,7814.848
101,1712760808500,29.792,3886,8117.984
102,1712760809500,28.737,3886,3209.072
103,1712760810500,29.678,3886,4451.944
104,1712760811500,28.562,3886,10292.4
105,1712760812500,29.761,3886,8963.592
106,1712760813500,28.748,3886,13919.008
107,1712760814500,27.687,3886,11060.928
108,1712760815500,28.628,3886,8443.752
109,1712760816500,27.566,3886,10109.792
110,1712760817500,28.68,3886,8334.632
111,1712760818500,27.709,3886,8541.328
112,1712760819500,26.642,3886,12825.52
113,1712760820500,25.57,3886,9380.2
114,1712760821500,26.561,3886,8925.032
115,1712760822500,25.722,3886,10399.088
116,1712760823500,24.655,3886,8342.248
117,1712760824500,23.597,3886,10329.84
118,1712760825500,22.796,3886,14603.8
119,1712760826500,23.65,3886,11975.232
120,1712760827500,22.676,3886,9667.896
121,1712760828500,21.618,3886,10305.672
122,1712760829500,20.819,3886,10766.88
123,1712760830500,21.668,3886,8079.616
124,1712760831500,20.559,3886,9481.416
125,1712760832500,19.624,3886,11479.96
126,1712760833500,20.562,3886,10406.488
127,1712760834500,19.761,3886,12150.144
128,1712760835500,18.707,3886,9458.512
129,1712760836500,19.644,3886,10973.416
130,1712760837500,18.582,3886,12458.256
131,1712760838500,19.749,3886,9209.192
132,1712760839500,18.721,3886,7940.448
133,1712760840500,17.658,3886,12049.688
134,1712760841500,18.568,3886,8372.376
135,1712760842500,17.798,3886,14396.72
136,1712760843500,16.734,3886,10760.4
137,1712760844500,15.676,3886,3136.336
138,1712760845500,14.613,3886,8035.272
139,1712760846500,15.786,3886,9217.104
140,1712760847500,14.751,3886,9100.12
141,1712760848500,13.696,3886,11622.504
142,1712760849500,12.627,3886,11249.512
143,1712760850500,13.561,3886,14467.992
144,1712760851500,12.764,3886,10440.8
145,1712760852500,11.713,3886,11453.976
146,1712760853500,10.645,3886,10514.568
147,1712760854500,11.582,3886,8585.08
148,1712760855500,10.784,3886,8730.576
149,1712760856500,11.633,3886,12234.768
150,1712760857500,10.663,3886,11006.016
151,1712760858500,11.598,3886,9977.64
152,1712760859500,12.71,3886,9760.544
153,1712760860500,11.739,3886,12079.976
154,1712760861500,12.56,3886,9972.36
155,1712760862500,13.601,3886,10919.848
156,1712760863500,12.818,3886,14304.456
157,1712760864500,13.66,3886,9313.552
158,1712760865500,14.582,3886,7536.144
159,1712760866500,13.626,3886,6669.168
160,1712760867500,18.564,3886,7655.072
