Timestamp,CPU_Usage,Original_Data_Size,Total_Data_Size
1712930628221,2.79,3797,4517
1712930628323,2.51,3797,4517
1712930628443,2.88,3797,4517
1712930628523,2.94,3797,4517
1712930628621,2.81,3797,4517
1712930628722,2.81,3797,4517
1712930628823,2.95,3797,4517
1712930628940,2.82,3797,4517
1712930629040,2.97,3797,4517
1712930629142,2.26,3797,4517
1712930629241,2.25,3797,4517
1712930629343,2.25,3797,4517
1712930629464,2.12,3797,4517
1712930629545,2.11,3797,4517
1712930629644,2.11,3797,4517
1712930629745,1.98,3797,4517
1712930629867,1.95,3797,4517
1712930629945,2.09,3797,4517
1712930630064,3.68,7974,9474
1712930630145,3.77,7974,9474
1712930630268,3.91,7974,9474
1712930630344,4.04,7974,9474
1712930630445,3.89,7974,9474
1712930630543,3.92,7974,9474
1712930630645,4.18,7974,9474
1712930630744,4.17,7974,9474
1712930630845,4.08,7974,9474
1712930630944,4.10,7974,9474
1712930631085,2.21,7974,9474
1712930631164,2.24,7974,9474
1712930631264,1.83,7974,9474
1712930631365,1.41,7974,9474
1712930631465,1.54,7974,9474
1712930631565,1.40,7974,9474
1712930631665,0.85,7974,9474
1712930631765,1.12,7974,9474
1712930631866,0.97,7974,9474
1712930631965,1.10,7974,9474
1712930632103,1.36,10112,12012
1712930632165,1.38,10112,12012
1712930632289,1.89,10112,12012
1712930632366,1.90,10112,12012
1712930632466,1.89,10112,12012
1712930632566,2.15,10112,12012
1712930632666,2.27,10112,12012
1712930632766,2.13,10112,12012
1712930632868,2.25,10112,12012
1712930632967,2.51,10112,12012
1712930633068,2.25,10112,12012
1712930633168,2.38,10112,12012
1712930633307,2.11,10112,12012
1712930633368,2.14,10112,12012
1712930633468,2.03,10112,12012
1712930633568,2.16,10112,12012
1712930633692,2.16,10112,12012
1712930633768,2.03,10112,12012
1712930633869,1.77,10112,12012
1712930633968,1.37,10112,12012
1712930634069,1.50,10112,12012
1712930634169,1.50,10112,12012
1712930634291,2.26,10112,12012
1712930634369,2.58,10112,12012
1712930634469,3.12,10112,12012
1712930634588,3.27,10112,12012
1712930634669,3.16,10112,12012
1712930634788,3.32,10112,12012
1712930634870,3.60,10112,12012
1712930634969,3.76,10112,12012
1712930635070,3.77,10112,12012
1712930635169,3.65,10112,12012
1712930635293,2.84,10112,12012
1712930635393,1.71,10112,12012
1712930635493,1.42,10112,12012
1712930635594,1.42,10112,12012
1712930635693,1.40,10112,12012
1712930635795,3.22,35320,41900
1712930635911,4.64,35320,41900
1712930635994,4.62,35320,41900
1712930636094,4.80,35320,41900
1712930636212,4.88,35320,41900
1712930636312,4.92,35320,41900
1712930636394,5.15,35320,41900
1712930636494,4.99,35320,41900
1712930636595,5.10,35320,41900
1712930636695,5.42,35320,41900
1712930636811,3.27,35320,41900
1712930636912,2.08,35320,41900
1712930636995,2.32,35320,41900
1712930637119,2.25,41041,48681
1712930637212,2.02,41041,48681
1712930637294,2.16,41041,48681
1712930637394,1.78,41041,48681
1712930637494,1.79,41041,48681
1712930637595,1.81,41041,48681
1712930637694,1.81,41041,48681
1712930637812,1.96,41041,48681
1712930637894,1.83,41041,48681
1712930637993,2.14,41041,48681
1712930638111,2.22,41041,48681
1712930638194,2.25,41041,48681
1712930638294,2.37,42553,50473
1712930638393,2.47,42553,50473
1712930638494,2.44,42553,50473
1712930638594,2.30,42553,50473
1712930638711,1.87,42553,50473
1712930638795,1.98,42553,50473
1712930638894,1.84,42553,50473
1712930638994,1.57,42553,50473
1712930639111,1.32,42553,50473
1712930639231,1.43,42553,50473
1712930639311,1.19,42553,50473
1712930639412,1.20,42553,50473
1712930639512,1.35,42553,50473
1712930639612,1.62,42553,50473
1712930639713,1.76,42553,50473
1712930639811,1.78,42553,50473
1712930639912,1.78,44821,53161
1712930640012,1.65,44821,53161
1712930640112,1.94,44821,53161
1712930640231,2.07,44821,53161
1712930640332,2.22,44821,53161
1712930640433,2.09,44821,53161
1712930640532,2.38,44821,53161
1712930640632,2.38,46333,54953
1712930640733,2.52,46333,54953
1712930640851,2.31,46333,54953
1712930640933,2.35,46333,54953
1712930641032,2.21,46333,54953
1712930641132,2.21,46333,54953
1712930641252,1.93,46333,54953
1712930641356,2.49,50113,59433
1712930641434,2.47,50113,59433
1712930641533,2.61,50113,59433
1712930641633,2.47,50113,59433
1712930641734,2.07,50113,59433
1712930641872,2.09,50113,59433
1712930641954,2.22,50113,59433
1712930642052,2.35,50113,59433
1712930642151,2.22,50113,59433
1712930642253,2.75,50113,59433
1712930642352,2.18,50113,59433
1712930642453,2.05,50113,59433
1712930642553,2.04,50113,59433
1712930642654,1.88,50113,59433
1712930642771,2.10,50113,59433
1712930642853,2.14,53893,63913
1712930642954,1.88,53893,63913
1712930643054,2.15,58102,68902
1712930643153,2.28,58102,68902
1712930643272,1.90,58102,68902
1712930643372,1.64,58102,68902
1712930643471,1.73,58102,68902
1712930643554,1.49,58102,68902
1712930643679,1.86,58963,69923
1712930643777,1.63,58963,69923
1712930643877,1.48,58963,69923
1712930643978,1.74,58963,69923
1712930644077,1.47,58963,69923
1712930644177,1.32,58963,69923
1712930644278,1.32,58963,69923
1712930644377,1.72,58963,69923
1712930644478,1.73,59824,70944
1712930644577,1.35,59824,70944
1712930644679,1.60,59824,70944
1712930644780,1.75,59824,70944
1712930644880,2.02,59824,70944
1712930644981,1.74,59824,70944
1712930645080,1.73,59824,70944
1712930645180,1.87,59824,70944
1712930645279,1.99,59824,70944
1712930645380,2.93,61546,72986
1712930645481,3.21,61546,72986
1712930645581,3.33,61546,72986
1712930645681,3.32,61546,72986
1712930645780,3.43,61546,72986
1712930645881,3.55,61546,72986
1712930645981,3.60,61546,72986
1712930646081,3.66,63268,75028
1712930646199,3.40,63268,75028
1712930646281,3.14,63268,75028
1712930646381,1.93,63268,75028
1712930646482,1.53,63268,75028
1712930646582,1.28,63268,75028
1712930646682,1.16,63268,75028
1712930646782,1.03,63268,75028
1712930646883,1.47,64129,76049
1712930646983,1.77,64129,76049
1712930647082,2.05,64129,76049
1712930647183,2.76,64129,76049
1712930647281,2.77,64129,76049
1712930647383,2.62,64129,76049
1712930647483,2.89,64129,76049
1712930647582,2.99,64129,76049
1712930647683,2.97,64129,76049
1712930647807,3.19,73500,87160
1712930647883,2.56,73500,87160
1712930647984,2.70,73500,87160
1712930648084,2.56,73500,87160
1712930648183,1.87,73500,87160
1712930648284,2.00,73500,87160
1712930648383,2.00,73500,87160
1712930648484,1.99,73500,87160
1712930648584,2.14,73500,87160
1712930648684,2.27,73500,87160
1712930648809,1.98,73500,87160
1712930648908,1.70,73500,87160
1712930649008,1.84,73500,87160
1712930649108,1.57,73500,87160
1712930649208,1.71,73500,87160
1712930649309,1.84,73500,87160
1712930649408,2.43,74788,88688
1712930649509,2.56,74788,88688
1712930649609,2.55,74788,88688
1712930649729,2.55,74788,88688
1712930649807,2.56,74788,88688
1712930649908,2.70,74788,88688
1712930650008,2.38,74788,88688
1712930650109,2.62,74788,88688
1712930650209,2.89,74788,88688
1712930650307,2.76,74788,88688
1712930650407,2.06,74788,88688
1712930650508,1.79,74788,88688
1712930650627,2.04,79320,94060
1712930650709,2.22,79320,94060
1712930650827,2.49,79320,94060
1712930650928,2.50,79320,94060
1712930651009,2.38,79320,94060
1712930651110,2.40,79320,94060
1712930651210,1.99,79320,94060
1712930651309,2.54,79320,94060
1712930651410,2.54,79320,94060
1712930651511,2.95,79320,94060
1712930651629,2.53,79320,94060
1712930651729,2.51,79320,94060
1712930651829,2.24,79320,94060
1712930651948,2.24,79320,94060
1712930652029,2.23,79320,94060
1712930652128,2.79,82017,97257
1712930652251,2.86,82017,97257
1712930652327,2.39,82017,97257
1712930652429,2.54,82017,97257
1712930652528,2.41,82017,97257
1712930652628,2.27,82017,97257
1712930652729,2.27,82017,97257
1712930652830,2.41,82017,97257
1712930652929,2.42,82017,97257
1712930653029,2.28,82017,97257
1712930653147,1.86,82017,97257
1712930653251,1.71,82017,97257
1712930653352,2.14,82017,97257
1712930653451,1.86,82017,97257
1712930653551,2.28,96453,114373
1712930653652,2.28,96453,114373
1712930653753,2.15,100785,119505
1712930653872,2.01,100785,119505
1712930653952,2.29,100785,119505
1712930654052,2.29,100785,119505
1712930654152,2.01,100785,119505
1712930654271,2.25,100785,119505
1712930654371,2.14,100785,119505
1712930654453,2.13,100785,119505
1712930654576,1.57,100785,119505
1712930654653,1.99,105794,125434
1712930654752,1.71,105794,125434
